소속 ,국회 ,직위 ,국회의원 ,성명 ,이해찬 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"79,368","109,207","45,243","143,332",,,
,,,,,,,
본인 ,전 ,"충청남도 청양군 대치면 주정리 440-3번지 2,182.00m² (2,182.00m² 증가) ",- ,"19,878",0,"19,878",상속 
,,,,"-19,878",,,
,,,,,,,
본인 ,임야 ,"충청남도 청양군 대치면 주정리 산 5-1번지 28,959.00m² (28,959.00m² 증가) ",- ,"39,963",0,"39,963",상속 
,,,,"-39,963",,,
,,,,,,,
배우자 ,전 ,세종특별자치시 전동면 미곡리 51-6번지 875.00m² ,"79,368",0,"45,243","34,125",지번분리신고 및 가액변동 
,,,,,,,
배우자 ,대지 ,세종특별자치시 전동면 미곡리 51-4번지 653.00m² (653.00m² 증가) ,- ,"49,366",0,"49,366",지번분리신고 및 가액변동 
,,,,"-49,366",,,
,,,,,,,
▶ 건물(소계) ,"618,632",0,0,"618,632",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,세종특별자치시 도담동 도담센트럴프라자 대지 30.74m² 건물 123.71m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 관악구 신림동 건영3차아파트 건물 84.82m² ,"326,000",0,0,"326,000",변동없음 
,,,,,,,
배우자 ,창고 ,세종특별자치시 전동면 미곡리 건물 18.00m² ,"3,400",0,0,"3,400",변동없음 
,,,,,,,
배우자 ,단독주택 ,세종특별자치시 전동면 미곡리 대지 653.00m² 건물 172.53m² ,"259,232",0,0,"259,232",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"31,451",0,"6,191","25,260",,,
,,,,,,,
본인 ,자동차 ,"2018년식 쏘나타 배기량(1,999cc) ","31,451",0,"6,191","25,260",가액변동 
,,,,,,,
▶ 예금(소계) ,"306,081","707,151","208,780","804,452",,,
,,,,,,,
본인 ,,"우리은행 0(134 감소), 농협은행 630,997(527,829 증가) ","103,302","569,001","41,306","630,997",상속으로 인한 예금 증가 
,,,,,,,
배우자 ,,"세종중앙신협 45,849(870 증가), 전의신협 46,860(810 증가), 농협중앙회 45,324(900 증가), 우리은행 35,285(31,904 감소), 한국투자증권 16, 세종중앙신협 121 ","202,779","138,150","167,474","173,455",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"111,121",118,0,"111,239",,,
,,,,,,,
본인 ,,"농협중앙회 111,239(118 증가) ","111,121",118,0,"111,239",정치자금 
,,,,,,,
▶ 채권(소계) ,0,"40,000",0,"40,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,0,"40,000",0,"40,000",사인간채권 증가 
,,,,,,,
▶ 채무(소계) ,"320,000",0,"10,264","309,736",,,
,,,,,,,
본인 ,기타 ,현대자동차(주) 감소 ,"20,000",0,"10,264","9,736",자동차할부금 일부상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 관악구 대학동 건영3차아파트 임대보증금 ,"300,000",0,0,"300,000",변동없음 
,,,,,,,
총계 ,"826,653","856,476","249,950","1,433,179","증 감 액 : 606,526천원 (가액변동: -51,434천원) ",,
,,,,,,,
