소속 ,국회 ,직위 ,국회의원 ,성명 ,이헌승 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"372,495","281,353",0,"653,848",,,
,,,,,,,
본인 ,답 ,"경상남도 밀양시 무안면 내진리 461번지 2,806.00m² ","72,956","8,418",0,"81,374",가액변동 
,,,,,,,
본인 ,대지 ,경상남도 밀양시 무안면 내진리 277번지 274.00m² ,"18,851","3,041",0,"21,892",가액변동 
,,,,,,,
본인 ,전 ,"경상남도 밀양시 무안면 내진리 279-2번지 1,379.00m² ","66,192","13,927",0,"80,119",가액변동 
,,,,,,,
본인 ,하천 ,경상남도 밀양시 무안면 내진리 279-5번지 26.00m² ,754,132,0,886,가액변동 
,,,,,,,
본인 ,전 ,경상남도 밀양시 무안면 내진리 281-5번지 121.00m² ,"6,098","1,283",0,"7,381",가액변동 
,,,,,,,
본인 ,전 ,"경상남도 밀양시 무안면 내진리 284-2번지 1,041.00m² ","52,466","11,035",0,"63,501",가액변동 
,,,,,,,
본인 ,전 ,경상남도 밀양시 무안면 운정리 404번지 488.00m² ,"4,065",912,0,"4,977",가액변동 
,,,,,,,
본인 ,답 ,"경상남도 밀양시 무안면 동산리 178번지 1,931.00m² 중 1,287.00m² ","20,592","1,287",0,"21,879",가액변동 
,,,,,,,
본인 ,전 ,"경상남도 밀양시 청도면 고법리 230번지 2,244.00m² 중 1,496.00m² ","30,967","2,992",0,"33,959",가액변동 
,,,,,,,
본인 ,잡종지 ,"부산광역시 사상구 주례동 60-46번지 172.00m² 중 99.76m² (총면적 172.00m² 증가, 지분면적 99.76m² 증가) ",- ,"134,676",0,"134,676",증여받음 
,,,,"-134,676",,,
,,,,,,,
배우자 ,대지 ,울산광역시 울주군 삼남면 방기리 956-2번지 765.80m² 중 382.90m² ,"99,554","6,126",0,"105,680",가액변동 
,,,,,,,
장녀 ,잡종지 ,"부산광역시 사상구 주례동 60-46번지 172.00m² 중 36.12m² (총면적 172.00m² 증가, 지분면적 36.12m² 증가) ",- ,"48,762",0,"48,762",증여받음 
,,,,"-48,762",,,
,,,,,,,
차녀 ,잡종지 ,"부산광역시 사상구 주례동 60-46번지 172.00m² 중 36.12m² (총면적 172.00m² 증가, 지분면적 36.12m² 증가) ",- ,"48,762",0,"48,762",증여받음 
,,,,"-48,762",,,
,,,,,,,
▶ 건물(소계) ,"1,601,000","455,000",0,"2,056,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 반포2동 신반포한신아파트 건물 108.89m² ,"1,040,000","264,000",0,"1,304,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 반포동 반포미도2차아파트 건물 71.49m² ,"561,000","191,000",0,"752,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"58,780","29,180","15,440","72,520",,,
,,,,,,,
본인 ,자동차 ,"2011년식 제네시스 배기량(3,342cc) ","22,260",0,"4,010","18,250",가액변동 
,,,,,,,
본인 ,자동차 ,"2015년식 카니발 배기량(2,199cc) ","17,180",0,"3,040","14,140",가액변동 
,,,,,,,
배우자 ,자동차 ,"2014년식 스파크 1.0 DOHC 배기량(1,000cc) 감소 ","6,480",0,"6,480",0,차량매도 
,,,,,"-6,480",,
,,,,,,,
배우자 ,자동차 ,"2018년식 A200 배기량(1,595cc) 증가 ",0,"29,180",0,"29,180",차량구입 
,,,,,,,
장녀 ,자동차 ,"2014년식 크루즈 2.0 디젤 배기량(2,000cc) ","12,860",0,"1,910","10,950",가액변동 
,,,,,,,
▶ 예금(소계) ,"510,003","105,295","55,820","559,478",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 1,521(124 증가), 푸르덴셜생명보험 43,519(2,607 증가), 부산은행 35, 중소기업은행 36, 우리은행 10,149(10,149 증가), 농협은행 68,587(45,903 증가), 개금2동 527(7 증가), 국민은행 1,207(14 증가), (주)KEB하나은행 0(275 감소), 한국투자증권 61, 가야1동 104(2 증가), 교보생명보험 19,692, 스탠다드차타드은행 30, 유진투자증권 14, 새마을금고중앙회 공제사업부 57,723(12,152 증가) ","132,522","71,630",947,"203,205",상속 및 급여저축 
,,,,,,,
배우자 ,,"하나금융투자 255(4 증가), (주)KEB하나은행 12,006(36,029 감소), 스탠다드차타드은행 244(38 감소), 유안타증권 0(5,670 감소), 새마을금고중앙회 공제사업부 18,887(2,405 증가), 케이디비생명보험 20,300(8,400 증가), 메리츠화재해상보험 68,237, 금정 12, 메리츠종금증권 13(13 증가), 삼성생명보험 25,200, 반포본동 10, 농협은행 12,141(2,417 증가), 한화생명보험 35,532(5,150 감소), 교보생명보험 118,192, 부산은행 9,385(8,079 증가) ","345,983","29,093","54,662","320,414",
,,,,,,,
장녀 ,,"(주)KEB하나은행 10,224(1,918 증가), 메리츠종금증권 60(60 증가), 에이비엘생명보험 137(137 증가), 현대해상화재보험 145(145 증가), 우리은행 23,508(1,271 증가), 중앙일보신협 683(240 증가), 한국카카오은행(주) 3(3 증가), 신한은행 0(19 감소), (주)KB손해보험 25(25 증가) ","31,005","3,898",118,"34,785",
,,,,,,,
차녀 ,,"국민은행 36, 씨티은행 26, (주)KEB하나은행 996(624 증가), 우리은행 13(43 감소), 하나금융투자 3 ",493,674,93,"1,074",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"82,249","45,654",0,"127,903",,,
,,,,,,,
본인 ,,"농협은행 127,903(45,654 증가) ","82,249","45,654",0,"127,903",정치후원금 이체 
,,,,,,,
▶ 유가증권(소계) ,"399,906","417,549","2,444","815,011",,,
,,,,,,,
본인 ,상장주식 ,"동국제강 72주, 홈캐스트 75주, LG상사 57주, 한양증권 400주, 에이치엘비 10,122주, 디케이디앤아이 90주, KB금융 3주, SK증권 332주(80주 증가), LG패션 43주 ","399,719","417,549","2,444","814,824",주가변동 및 유상증자 
,,,,,,,
본인 ,비상장주식 ,엔에스아이 374주 ,187,0,0,187,
,,,,,,,
▶ 채무(소계) ,"825,774","500,000","511,094","814,680",,,
,,,,,,,
본인 ,금융기관채무 ,"우리은행 500,000(500,000 증가), (주)KEB하나은행 0(60,000 감소) ","60,000","500,000","60,000","500,000",전세보증금 반환을 위한 대출 
,,,,,,,
배우자 ,,사인간채무 ,"250,000",0,0,"250,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 64,680(1,094 감소) ","65,774",0,"1,094","64,680",일부상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 서초구 반포동 반포미도2차아파트 임대보증금 감소 ,"450,000",0,"450,000",0,대출금으로 상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"2,198,659","834,031","-437,390","3,470,080","증 감 액 : 1,271,421천원 (가액변동: 910,368천원) ",,
,,,,,,,
