소속 ,국회 ,직위 ,국회의원 ,성명 ,이현재 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,0,"8,000",0,"8,000",,,
,,,,,,,
장남 ,전 ,충청북도 보은군 회인면 애곡리 285-4번지 112.00m² (112.00m² 증가) ,- ,"1,500",0,"1,500",토지 매입 
,,,,"-1,500",,,
,,,,,,,
장남 ,전 ,충청북도 보은군 회인면 애곡리 285-17번지 662.00m² (662.00m² 증가) ,- ,"6,500",0,"6,500",토지 매입 
,,,,"-6,500",,,
,,,,,,,
▶ 건물(소계) ,"693,980","506,250","383,980","816,250",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,"경기도 하남시 창우동 꿈동산신안아파트 건물 83,165.70m² ","310,000",0,0,"310,000",변동없음 
,,,,,,,
장남 ,아파트 (분양권) ,서울특별시 성동구 행당동 서울숲리버뷰자이 건물 0.00m² (건물 84.95m² 감소) ,"383,980",0,"383,980",0,소유권전환등 
,,,,,,,
장남 ,아파트 ,서울특별시 성동구 행당동 서울숲리버뷰자이 건물 84.95m² (건물 84.95m² 증가) ,- ,"469,850",0,"469,850",잔금납부및소유권전환 
,,,,"-469,850",,,
,,,,,,,
장남 ,단독주택 ,"충청북도 보은군 회인면 애곡리 대지 292.00m² 건물 62.00m² (대지 292.00m² 증가, 건물 62.00m² 증가) ",- ,"36,400",0,"36,400",주택 매입 
,,,,"-36,400",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"14,190",0,"3,490","10,700",,,
,,,,,,,
배우자 ,자동차 ,"2014년식 더뉴아반떼1.6VGT 배기량(1,591cc) ","14,190",0,"3,490","10,700",가액 변동 
,,,,,,,
▶ 예금(소계) ,"888,608","659,563","584,377","963,794",,,
,,,,,,,
본인 ,,"삼성생명보험 6,672, 농협은행 5,208(4,591 증가), 하남 100(100 증가), (주)KEB하나은행 40,281(5,430 감소), 국민은행 32,382(26,134 증가), 농협중앙회 100, 동부신협 75,000(200,000 감소), 하남선린신협 318, 동부신협 10,000, DB손해보험(주) 1,690(383 증가) ","345,973","106,808","281,030","171,751","본인,자녀의급여저축및 생활비지출등 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 12,861(3,973 감소), 신용협동조합중앙회 신용공제사업부 12,950(600 증가), 흥국생명보험 12,151, 삼성화재해상보험 70,290(11,880 증가), 현대해상화재보험 0(1,591 감소), 국민은행 5,187(5,187 증가), 삼성생명보험 6,000, 농협중앙회 47(47 증가), 롯데손해보험 18,000, 동부신협 10,231(575 증가), 한화손해보험 0(5,511 감소), 한화생명보험 12,000, DB생명보험(주) 8,262(412 증가), 동부신협 478,131(227,131 증가), 교보생명보험 21,715(4,447 감소), 농협생명보험 46,400(9,600 증가), 라이나생명보험 0(1,074 감소)","475,389","515,064","276,228","714,225",
,,,,,,,
,,,,,,,
장남 ,,"신한은행 1,150(660 증가), 동부신협 10,181(13,355 감소), 흥국생명보험 5,856, (주)KEB하나은행 7,914(3,958 감소), 우리은행 368(154 증가), 흥국화재해상보험(주) 5,961(621 증가), DB손해보험(주) 21,493(3,582 증가), 교보생명보험 3,485(1,458 증가), 농협은행 21,410(21,410 증가) ","67,246","37,691","27,119","77,818",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"11,424","13,009",0,"24,433",,,
,,,,,,,
본인 ,,"국민은행 24,433(13,009 증가) ","11,424","13,009",0,"24,433",후원금증가등 
,,,,,,,
▶ 채무(소계) ,"231,186","278,345","231,186","278,345",,,
,,,,,,,
장남 ,,사인간채무 증가 ,0,"80,000",0,"80,000",잔금납부를위한채무증가 
,,,,,,,
장남 ,금융기관채무 ,"우리은행 0(231,184 감소), (주)KEB하나은행 0(2 감소), 농협은행 198,345(198,345 증가) ","231,186","198,345","231,186","198,345",일부상환후재대출등 
,,,,,,,
총계 ,"1,377,016","908,477","740,661","1,544,832","증 감 액 : 167,816천원 (가액변동: -3,490천원) ",,
,,,,,,,
