소속 ,국회 ,직위 ,국회의원 ,성명 ,이혜훈 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"2,907,647","32,855",0,"2,940,502",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 서초구 반포동 래미안퍼스티지 건물 270.00m² ,"2,200,000",0,0,"2,200,000",변동없음 
,,,,,,,
배우자 ,상가 ,"서울특별시 성동구 응봉동 대림종합상가 대지 46,394.00m² 중 49.25m² 건물 78.66m² ","236,838","10,983",0,"247,821",공시지가 변동 
,,,,,,,
배우자 ,상가 ,"서울특별시 성동구 응봉동 대림종합상가 대지 46,394.00m² 중 50.96m² 건물 81.41m² ","245,021","11,411",0,"256,432",공시지가 변동 
,,,,,,,
배우자 ,상가 ,"서울특별시 성동구 응봉동 대림종합상가 대지 46,394.00m² 중 46.95m² 건물 74.99m² ","225,788","10,461",0,"236,249",공시지가 변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"85,773","106,910","40,223","152,460",,,
,,,,,,,
본인 ,자동차 ,"2009년식 에쿠스 배기량(3,778cc) 감소 ","18,270",0,"18,270",0,차량매도 
,,,,,"-7,000",,
,,,,,,,
본인 ,자동차 ,"2018년식 THE K9 GDI 배기량(3,778cc) 증가 ",0,"64,110",0,"64,110",차량매입 
,,,,,,,
배우자 ,자동차 ,"2006년식 오피러스 배기량(3,342cc) 감소 ","6,820",0,"6,820",0,차량매도 
,,,,,"-2,200",,
,,,,,,,
배우자 ,자동차 ,"2015년식 K3 배기량(1,600cc) ","10,990",0,"1,390","9,600",감가상각 
,,,,,,,
배우자 ,자동차 ,"2018년식 캠리 Wild Hybrid 2.5 배기량(2,487cc) 증가 ",0,"42,800",0,"42,800",차량매입 
,,,,,,,
장남 ,자동차 ,"2017년식 Mercedes-Benz(미국거주) 배기량(1,997cc) ","49,693",0,"13,743","35,950",감가상각 
,,,,,,,
▶ 예금(소계) ,"2,822,716","2,488,749","2,624,649","2,686,816",,,
,,,,,,,
본인 ,,"우리은행 42,199(1,748 증가), 삼성증권 1, 농협은행 16,271(16,271 증가), 한국산업은행 1,001,638(94,985 감소), 농협중앙회 6,969(5,594 증가) ","1,138,450","1,026,380","1,097,752","1,067,078","예금만기, 차량 구입 등 "
,,,,,,,
배우자 ,,"한국교직원공제회 72,044(6,672 증가), 국민은행 15,412(204 증가), 삼성화재해상보험 8,006(356 증가), 삼성생명보험 39,600(1,200 증가), 한국산업은행 842,217(435,800 감소), 우리은행 25,842(19,160 감소), 농협생명보험 3,500(3,500 증가) ","1,449,649","861,278","1,304,306","1,006,621",
,,,,,,,
장남 ,,"농협생명보험 3,000(3,000 증가), 한국산업은행 206,237(108,570 증가), 우리은행 19,334(18,289 증가), Chase Manhattan 107,153(59,504 증가) ","146,361","329,375","140,012","335,724",
,,,,,,,
차남 ,,"농협생명보험 3,500(3,500 증가), 한국산업은행 177,128(103,192 증가), 우리은행 18,291(9,199 증가) ","83,028","193,492","77,601","198,919",
,,,,,,,
삼남 ,,"농협생명보험 3,000(3,000 증가), 중소기업은행 32(26 증가), 경남중앙신협 23, 한국산업은행 59,748(55,520 증가), 우리은행 15,671(14,700 증가) ","5,228","78,224","4,978","78,474",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,648,"4,278",0,"4,926",,,
,,,,,,,
본인 ,,"농협중앙회 4,926(4,278 증가) ",648,"4,278",0,"4,926",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"300,000","300,000","300,000","300,000",,,
,,,,,,,
배우자 ,회사채 ,제이투비씨 30주(30주 증가) ,0,"300,000",0,"300,000",회사채 보유 변동 
,,,,,,,
장남 ,회사채 ,제이투비씨 0주(12주 감소) ,"120,000",0,"120,000",0,
,,,,,,,
차남 ,회사채 ,제이투비씨 0주(11주 감소) ,"110,000",0,"110,000",0,
,,,,,,,
삼남 ,회사채 ,제이투비씨 0주(7주 감소) ,"70,000",0,"70,000",0,
,,,,,,,
▶ 채권(소계) ,"101,000","100,000","12,000","189,000",,,
,,,,,,,
배우자 ,,사인간채권 증가 ,"101,000","100,000","12,000","189,000","일부채권회수, 채권증가 "
,,,,,,,
▶ 채무(소계) ,"122,847","102,000","32,847","192,000",,,
,,,,,,,
본인 ,,사인간채무 증가 ,"30,000","102,000","30,000","102,000",채무 증가 
,,,,,,,
본인 ,금융기관채무 ,"농협은행 0(2,847 감소) ","2,847",0,"2,847",0,마이너스계좌 전액상환 
,,,,,,,
배우자 ,,사인간채무 ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 성동구 응봉동 대림종합상가 3건 임대보증금 ,"40,000",0,0,"40,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"6,094,937","2,930,792","2,944,025","6,081,704","증 감 액 : -13,233천원 (가액변동: 17,722천원) ",,
,,,,,,,
