소속 ,국회 ,직위 ,국회의원 ,성명 ,김경협 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"33,623",0,555,"33,068",,,
,,,,,,,
본인 ,답 ,인천광역시 강화군 내가면 고천리 1339-3번지 793.00m² ,"33,623",0,555,"33,068",가액변동 
,,,,,,,
▶ 건물(소계) ,"330,000","4,000",0,"334,000",,,
,,,,,,,
본인 ,연립주택 ,"경기도 부천시 원미구 원미동 대지 1,230.00m² 중 44.00m² 건물 358.68m² 중 51.24m² ","80,000","4,000",0,"84,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 부천시 원미구 춘의동 우민늘사랑아파트2차 건물 422.35m² ,"250,000",0,0,"250,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"362,264","126,504","236,599","252,169",,,
,,,,,,,
본인 ,,"부천제일 64(2 증가), 북부천 2,000(2,000 증가), 우리은행 7,016(2,467 감소), 남부천신협 639(4 증가), 중소기업은행 19, 농협은행 3,924(3,147 감소), 한화투자증권 104,729(106,755 감소), 부천중앙 3,004(2 증가), 신한생명보험 5,865(3,060 증가), 동양생명보험 16,050, 흥국화재해상보험(주) 5,209(753 증가), 농협중앙회 18, 소사신협 34(1 증가), DB손해보험(주) 9,953(1,285 증가), 부천제일 451 ","264,237","112,762","218,024","158,975","급여저축및 생활비,채권매입등지출 "
,,,,,,,
배우자 ,,"KB생명보험 4,740(4,310 감소), 국민은행 8,427(1,850 증가), KB증권 1, 신한은행 6,685(2,551 증가), 중소기업은행 3,000, (주)KB손해보험 4,750(1,500 증가), 롯데손해보험 14,372(2,409 증가), 신한생명보험 2,790(2,160 감소), 교보생명보험 3,034, 라이나생명보험 3,078(231 증가), 미래에셋생명보험 30,781(3,224 감소), 부국증권 61 ","82,872","12,009","13,162","81,719",
,,,,,,,
장남 ,,"한화생명보험 2,590(470 증가), 우리은행 2,240(240 증가), 농협은행 5 ","4,125",710,0,"4,835",
,,,,,,,
차남 ,,"한화생명보험 2,792(501 증가), 국민은행 1,325(5,413 감소), 우리은행 2,240(240 증가), 신한은행 283(282 증가) ","11,030","1,023","5,413","6,640",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"98,776","82,618",0,"181,394",,,
,,,,,,,
본인 ,,"농협은행 181,394(82,618 증가) ","98,776","82,618",0,"181,394",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"121,340","200,000","92,299","229,041",,,
,,,,,,,
본인 ,상장주식 ,"유한양행 0주(10주 감소), 제이스텍 2,350주(800주 증가), 한국항공우주 0주(500주 감소), 삼성전자 300주(280주 증가), 현대제철 0주(200주 감소) ","116,340",0,"92,299","24,041","일부주식매도및매입, 채권매입등 "
,,,,,,,
본인 ,회사채 ,"한화SF제17차1 20,000주(20,000주 증가) ",0,"200,000",0,"200,000",
,,,,,,,
배우자 ,비상장주식 ,"바보스탁 10,000주 ","5,000",0,0,"5,000",
,,,,,,,
▶ 채무(소계) ,"15,000",0,0,"15,000",,,
,,,,,,,
본인 ,건물임대채무 ,경기도 부천시 원미구 원미동 제비 임대보증금 ,"15,000",0,0,"15,000",변동없음 
,,,,,,,
총계 ,"931,003","413,122","329,453","1,014,672","증감액:83,669천원 (가액변동: 3,445천원) ",,
,,,,,,,
