소속 ,국회 ,직위 ,국회의원 ,성명 ,이후삼 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"499,000","53,000","20,000","532,000",,,
,,,,,,,
본인 ,아파트 ,충청북도 제천시 하소동 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,아파트 ,충청북도 제천시 하소동 청구아파트 건물 84.73m² ,"114,000",0,"14,000","100,000",가액변동 
,,,,,,,
본인 ,상가 전세(임차)권 ,충청북도 제천시 남천동 건물 183.21m² (건물 183.21m² 증가) ,- ,"30,000",0,"30,000",신규 계약 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 영등포구 당산동 하임3 건물 14.39m² (건물 14.39m² 증가) ,- ,"20,000",0,"20,000",신규 계약 
,,,,,,,
본인 ,상가 전세(임차)권 ,충청북도 단양군 단양읍 도전리 건물 122.30m² (건물 122.30m² 증가) ,- ,"3,000",0,"3,000",신규 계약 
,,,,,,,
배우자 ,아파트 ,경기도 용인시 수지구 신봉동 신봉LG자이1차아파트 건물 133.81m² ,"313,000",0,"6,000","307,000",가액변동 
,,,,,,,
배우자 ,아파트 ,경기도 용인시 수지구 신봉동 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,다세대주택 ,경기도 성남시 중원구 중앙동 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,다세대주택 ,경기도 성남시 중원구 중앙동 건물 47.40m² ,"72,000",0,0,"72,000",가액변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"17,500",0,"1,000","16,500",,,
,,,,,,,
본인 ,자동차 ,"2014년식 투싼 배기량(1,995cc) ","13,000",0,500,"12,500",가액변동 
,,,,,,,
배우자 ,자동차 ,"2008년식 그랜저 배기량(2,656cc) ","4,500",0,500,"4,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"35,611","8,737","18,048","26,300",,,
,,,,,,,
본인 ,,"단양군산림조합 266(380 감소), 중소기업은행 3, 우체국 8,592, 알리안츠생명보험 0(13,520 감소), 농협은행 10,907(7,880 증가), 농협중앙회 8 ","25,796","7,880","13,900","19,776",급여저축및보험해약으로 인한예금감소등 
,,,,,,,
배우자 ,,"한국교직원공제회 2,035(334 증가), 국민은행 1,992(4,022 감소), 농협중앙회 5(2 감소), 신한은행 5(5 감소), 교보생명보험 2,470(478 증가), 세종중앙신협 17(74 감소) ","9,815",857,"4,148","6,524",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"74,519","4,316",0,"78,835",,,
,,,,,,,
본인 ,,"농협중앙회 78,835(4,316 증가) ","74,519","4,316",0,"78,835",후원금증가등 
,,,,,,,
▶ 채권(소계) ,"165,900",0,0,"165,900",,,
,,,,,,,
배우자 ,,사인간채권 ,"165,900",0,0,"165,900",변동없음 
,,,,,,,
▶ 채무(소계) ,"871,902","13,976","37,073","848,805",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"180,000",0,"30,000","150,000",급여등으로일부상환 
,,,,,,,
본인 ,금융기관채무 ,"산림조합중앙회 87,246(2,070 감소) ","89,316",0,"2,070","87,246",급여등으로일부상환 
,,,,,,,
배우자 ,금융기관채무 ,"한국교직원공제회 1,847(635 증가), 사립학교교직원연금공단 7,381(468 증가), 국민은행 6,893(971 감소), 농협중앙회 50,000, 신한은행 91,907(2,410 감소), 신용협동조합중앙회 6,260(1,020 감소), 교보생명보험 530(530 증가) ","167,586","2,235","5,003","164,818",급여등으로일부상환및 재대출 등 
,,,,,,,
배우자 ,건물임대채무 ,경기도 성남시 중원구 중앙동 임대보증금 ,"55,000",0,0,"55,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,경기도 용인시 수지구 신봉동 임대보증금 ,"380,000",0,0,"380,000",변동없음 
,,,,,,,
배우자 ,기타 ,한국장학재단 증가 ,0,"11,741",0,"11,741",학자금 신규 대출 
,,,,,,,
▶금및백금(소계) ,"6,000",0,0,"6,000",,,
,,,,,,,
배우자 ,,"금, 24K, 113g ","6,000",- ,- ,"6,000",변동없음 
,,,,,,,
총계 ,"-73,372","52,077","1,975","-23,270","증감액:50,102천원 (가액변동: -21,000천원) ",,
,,,,,,,
