소속 ,국회 ,직위 ,국회의원 ,성명 ,이훈 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"948,000","555,000","400,000","1,103,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 금천구 시흥동 럭키아파트 건물 0.00m² (건물 41.22m² 감소) ,"10,000",0,"10,000",0,계약 만료 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 금천구 독산동 금천롯데캐슬골드파크 1차 건물 84.81m² (건물 84.81m² 증가) ,- ,"500,000",0,"500,000",신규 계약 
,,,,,,,
배우자 ,아파트 ,경기도 과천시 부림동 주공아파트 건물 83.20m² ,"548,000","55,000",0,"603,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경기도 과천시 원문동 래미안슈르아파트 건물 0.00m² (건물 84.95m² 감소) ,"390,000",0,"390,000",0,계약 만료 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"6,000",0,0,"6,000",,,
,,,,,,,
배우자 ,자동차 ,"2010년식 SM3 배기량(1,598cc) ","6,000",- ,- ,"6,000",가액변동 없음 
,,,,,,,
▶ 예금(소계) ,"511,030","80,516","128,081","463,465",,,
,,,,,,,
본인 ,,"삼성생명보험 29,694(3,000 증가), 우리은행 597, 농협은행 18,404(8,722 증가), 국민은행 2,479(666 감소), 교보생명보험 22,358(1,064 증가), 교보증권 123(1 증가) ","61,534","12,787",666,"73,655",본인및배우자의급여저축등 
,,,,,,,
배우자 ,,"한국교직원공제회 80,118(8,832 증가), 국민은행 156,344(74,510 감소), 삼성생명보험 119,071(4,160 증가), 농협중앙회 1, 신한은행 436, (주)KB손해보험 2,372(390 증가), 상록신협 5, 한국투자증권 1 ","419,476","66,287","127,415","358,348",
,,,,,,,
장남 ,,"신한은행 6, 국민은행 11,184(840 증가), (주)KB손해보험 5,000 ","15,350",840,0,"16,190",
,,,,,,,
차남 ,,"(주)KB손해보험 5,000, 국민은행 10,272(602 증가) ","14,670",602,0,"15,272",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"191,754","28,152",0,"219,906",,,
,,,,,,,
본인 ,,"농협은행 219,906(28,152 증가) ","191,754","28,152",0,"219,906",후원금증가등 
,,,,,,,
▶ 채권(소계) ,"20,000",0,0,"20,000",,,
,,,,,,,
본인 ,,사인간채권 ,"20,000",0,0,"20,000",변동 없음 
,,,,,,,
▶ 채무(소계) ,"378,368",0,"70,208","308,160",,,
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 0(70,208 감소), 공무원연금공단 8,160 ","78,368",0,"70,208","8,160",예금 등으로 상환 
,,,,,,,
배우자 ,건물임대채무 ,경기도 과천시 부림동 주공아파트 임대보증금 ,"300,000",0,0,"300,000",변동 없음 
,,,,,,,
총계 ,"1,298,416","663,668","457,873","1,504,211","증 감 액 : 205,795천원 (가액변동: 55,000천원) ",,
,,,,,,,
