소속 ,국회 ,직위 ,국회의원 ,성명 ,인재근 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,0,"183,646",0,"183,646",,,
,,,,,,,
본인 ,답 ,"인천광역시 강화군 교동면 1684-2번지 1,237.70m² (1,237.70m² 증가) ",- ,"28,467",0,"28,467",부친으로부터 증여 
,,,,"-28,467",,,
,,,,,,,
본인 ,전 ,인천광역시 강화군 교동면 306-2번지 752.00m² (752.00m² 증가) ,- ,"42,864",0,"42,864",부친으로부터 증여 
,,,,"-42,864",,,
,,,,,,,
본인 ,답 ,"인천광역시 강화군 교동면 952-3번지 6,957.20m² (6,957.20m² 증가) ",- ,"40,006",0,"40,006",부친으로부터 증여 
,,,,"-40,006",,,
,,,,,,,
본인 ,답 ,"인천광역시 강화군 하점면 1174-13번지 9,641.20m² (9,641.20m² 증가) ",- ,"72,309",0,"72,309",부친으로부터 증여 
,,,,"-72,309",,,
,,,,,,,
▶ 건물(소계) ,"424,000","34,000",0,"458,000",,,
,,,,,,,
본인 ,다세대주택 ,서울특별시 도봉구 창동 건물 139.95m² ,"344,000","4,000",0,"348,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 도봉구 창동 태영빌딩 5층 건물 132.23m² ,"80,000","30,000",0,"110,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"3,912","12,148",200,"15,860",,,
,,,,,,,
장남 ,자동차 ,"2005년식 뉴아반떼XD 배기량(1,600cc) ","2,290",0,200,"2,090",가액변동 
,,,,,,,
장남 ,자동차 ,"2014년식 올란도 배기량(1,998cc) ","1,622","12,148",0,"13,770",가액수정 
,,,,,,,
▶ 예금(소계) ,"861,616","310,706","282,738","889,584",,,
,,,,,,,
본인 ,,"의정부중앙 200,001(150,002 감소), 신한은행 1,725(118 감소), 삼성생명보험 38,231(6,000 증가), KB증권 234(3 증가), 새마을금고 150,000(150,000 증가), 농협은행 52,020(18,152 증가), 에이비엘생명보험 40,800(3,600 증가), 국민은행 10,000, 수협은행 143,385(9 증가), (주)KEB 하나은행 10,091(4,015 증가), 오렌지라이프생명보험 8,376 ","623,204","186,989","155,330","654,863",급여저축 및 생활비 지출 
,,,,,,,
장남 ,,"신한은행 6,700, 오렌지라이프생명보험 45,799(2,244 증가), 현대해상화재보험 11,734(2,133 증가), 수원 10,119(100,010 감소), 삼성생명보험 44,792(7,200 증가), 우리은행 756(1,522 감소), 국민은행 65, 농협은행 1,060(632 감소), NH투자증권 1,936(24,864 감소), 새마을금고 111,760(111,760 증가)","238,412","123,717","127,408","234,721",
,,,,,,,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"394,486",801,"15,320","379,967",,,
,,,,,,,
본인 ,,"농협은행 379,967(14,519 감소) ","394,486",801,"15,320","379,967",후원금 감소 
,,,,,,,
▶ 유가증권(소계) ,0,"13,802",0,"13,802",,,
,,,,,,,
장남 ,상장주식 ,"두산우 181주(181주 증가), AT&T 10주(10주 증가) ",0,"13,802",0,"13,802",주식매입 
,,,,,,,
총계 ,"1,684,014","555,103","298,258","1,940,859","증 감 액 : 256,845천원 (가액변동: 15,948천원) ",,
,,,,,,,
