소속 ,국회 ,직위 ,국회의원 ,성명 ,임이자 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"385,000",0,0,"385,000",,,
,,,,,,,
본인 ,아파트 ,경기도 안산시 단원구 고잔동 호수공원아파트 건물 87.19m² ,"365,000",0,0,"365,000",가액변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 안산시 단원구 고잔동 밀레니엄 1 3층 건물 111.00m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"196,529","28,132","102,095","122,566",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 36,000(12,000 증가), 신한은행 4, 우리은행 2,404(101,050 감소), 우체국 276(1,044 감소), 한화손해보험 4,602(708 증가), (주)KB손해보험 8,065(1,267 증가), 농협은행 5, 케이디비생명보험 50,948(10,190 증가), 교보생명보험 18,900(3,600 증가), 삼성화재해상보험 1,107(360 증가), 안산서부 255(6 증가) ","196,529","28,132","102,095","122,566",급여저축 및 정기예금인출로 주택담보대출 상환 
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"94,552","90,503",975,"184,080",,,
,,,,,,,
본인 ,,"농협은행 184,080(89,528 증가) ","94,552","90,503",975,"184,080",후원회의 후원금 입금으로 인한 정치자금 증가 
,,,,,,,
▶ 채권(소계) ,"110,000",0,0,"110,000",,,
,,,,,,,
본인 ,,사인간채권 ,"110,000",0,0,"110,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"154,219",0,"145,629","8,590",,,
,,,,,,,
본인 ,금융기관채무 ,"우리은행 8,590(145,629 감소) ","154,219",0,"145,629","8,590",주택담보대출상환 
,,,,,,,
▶금및백금(소계) ,"6,324",0,0,"6,324",,,
,,,,,,,
본인 ,,"금, 24K, 130g ","6,324",- ,- ,"6,324",가액변동없음 
,,,,,,,
총계 ,"638,186","118,635","-42,559","799,380","증 감 액 : 161,194천원 ",,
,,,,,,,
