소속 ,국회 ,직위 ,국회의원 ,성명 ,임재훈 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"66,336",0,0,"66,336",,,
,,,,,,,
부 ,도로 ,전라북도 익산시 용안면 중신리 404번지 50.00m² ,940,0,0,940,
,,,,,,,
부 ,답 ,"전라북도 익산시 용안면 중신리 465-7번지 4,984.70m² 중 1,661.56m² ","21,600",0,0,"21,600",
,,,,,,,
부 ,답 ,"전라북도 익산시 용안면 중신리 470-1번지 5,106.60m² 중 1,702.20m² ","22,128",0,0,"22,128",
,,,,,,,
부 ,답 ,"전라북도 익산시 용안면 중신리 470-7번지 5,000.50m² 중 1,666.83m² ","21,668",0,0,"21,668",
,,,,,,,
▶ 건물(소계) ,"1,554,255",0,0,"1,554,255",,,
,,,,,,,
본인 ,아파트 ,서울특별시 영등포구 여의도동 삼부아파트 건물 839.67m² 중 38.85m² ,"361,000",0,0,"361,000",
,,,,,,,
배우자 ,아파트 ,서울특별시 영등포구 여의도동 삼부아파트 건물 839.67m² 중 38.85m² ,"361,000",0,0,"361,000",
,,,,,,,
부 ,상가 ,서울특별시 송파구 잠실동 건물 17.85m² ,"186,255",0,0,"186,255",
,,,,,,,
부 ,아파트 ,서울특별시 영등포구 여의도동 화랑아파트 건물 106.35m² ,"646,000",0,0,"646,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"15,000",0,0,"15,000",,,
,,,,,,,
본인 ,자동차 ,"2010년식 YF쏘나타 배기량(1,998cc) ","15,000",- ,- ,"15,000",
,,,,,,,
▶ 예금(소계) ,"107,694","32,178","15,527","124,345",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 243(314 감소), 현대해상화재보험 3,917 (154 증가), 여의도 32, 농협은행 4,408(2,747 증가), 스탠다드 차타드은행 481(99 증가), SK증권 1, 유진투자증권 26(3 감소) ","6,425","3,000",317,"9,108",급여저축 등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 29,204(7,948 증가), 스탠다드차타드은행 30,617(1,696 증가), 미래에셋대우(주) 9(9 증가), 여의도 32, 동양생명보험 6,300(900 증가), 한국카카오은행(주) 10, AIA생명보험 2,128(112 증가), 우리은행 12(12 증가) ","57,635","13,385","2,708","68,312",
,,,,,,,
부 ,,"미래에셋대우(주) 806(131 감소), SK증권 3, NH투자증권 2, 스탠다드차타드은행 10,016(11 증가), 농협중앙회 18,327(4,455 증가), (주)KEB하나은행 313(150 증가) ","24,982","15,792","11,307","29,467",
,,,,,,,
모 ,,"농협중앙회 17,336(996 감소), 우체국 5, SK증권 2, NH투자증권 113, 한양증권 1 ","18,453",1,997,"17,457",
,,,,,,,
장남 ,,(주)KEB하나은행 1(198 감소) ,199,0,198,1,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,0,"109,684",0,"109,684",,,
,,,,,,,
본인 ,,"농협은행 109,684(109,684 증가) ",0,"109,684",0,"109,684",신규개설 
,,,,,,,
▶ 유가증권(소계) ,"406,190",28,"114,383","291,835",,,
,,,,,,,
본인 ,상장주식 ,삼성바이오로직 54주 ,"29,052",0,"8,181","20,871",평가액 변동 
,,,,,,,
부 ,상장주식 ,삼성바이오로직 701주 ,"377,138",0,"106,202","270,936",
,,,,,,,
모 ,상장주식 ,한국정보통신 3주(3주증가) ,0,28,0,28,
,,,,,,,
▶ 채무(소계) ,"954,614","45,030","1,313","998,331",,,
,,,,,,,
본인 ,금융기관채무 ,"HSBC은행 177,520(929 감소), JB우리캐피탈 45,030(45,030 증가), 스탠다드차타드은행 75,781(384 감소) ","254,614","45,030","1,313","298,331",장기렌터카신규계약 등 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 영등포구 여의도동 삼부아파트 임대보증금 ,"275,000",0,0,"275,000",
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 영등포구 여의도동 삼부아파트 임대보증금 ,"275,000",0,0,"275,000",
,,,,,,,
부 ,건물임대채무 ,서울특별시 송파구 잠실동 임대보증금 ,"150,000",0,0,"150,000",
,,,,,,,
총계 ,"1,194,861","96,860","128,597","1,163,124","증 감 액 : -31,737천원 (가액변동: -114,383천원) ",,
,,,,,,,
