소속 ,국회 ,직위 ,국회의원 ,성명 ,임종성 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"258,010","23,078","255,690","25,398",,,
,,,,,,,
본인 ,답 ,경기도 광주시 오포읍 능평리 180번지 0.00m² (441.00m² 감소) ,"240,000",0,"240,000",0,건물항목에합산신고 
,,,,,"-240,000",,
,,,,,,,
본인 ,도로 ,"경기도 광주시 오포읍 능평리 180-2번지 693.00m² 중 19.25m² (총면적 693.00m² 증가, 지분면적 19.25m² 증가) ",- ,"3,049",0,"3,049",추가신고 
,,,,"-3,049",,,
,,,,,,,
본인 ,도로 ,"경기도 광주시 오포읍 능평리 181-4번지 989.00m² 중 27.47m² (총면적 989.00m² 증가, 지분면적 27.47m² 증가) ",- ,"5,620",0,"5,620",추가신고 
,,,,"-5,620",,,
,,,,,,,
본인 ,도로 ,"경기도 광주시 오포읍 능평리 181-5번지 100.00m² 중 2.78m² (총면적 100.00m² 증가, 지분면적 2.78m² 증가) ",- ,440 (440) ,0,440,추가신고 
,,,,,,,
본인 ,도로 ,"경기도 광주시 오포읍 능평리 181-7번지 86.00m² 중 2.39m² (총면적 86.00m² 증가, 지분면적 2.39m² 증가) ",- ,378 (378) ,0,378,추가신고 
,,,,,,,
본인 ,도로 ,"경기도 광주시 오포읍 능평리 184-1번지 641.00m² 중 17.81m² (총면적 641.00m² 증가, 지분면적 17.81m² 증가) ",- ,"3,643",0,"3,643",추가신고 
,,,,"-3,643",,,
,,,,,,,
본인 ,도로 ,"경기도 광주시 오포읍 능평리 188-3번지 277.00m² 중 7.69m² (총면적 277.00m² 증가, 지분면적 7.69m² 증가) ",- ,"1,573",0,"1,573",추가신고 
,,,,"-1,573",,,
,,,,,,,
본인 ,도로 ,"경기도 광주시 오포읍 능평리 188-6번지 70.00m² 중 0.97m² (총면적 70.00m² 증가, 지분면적 0.97m² 증가) ",- ,198 (198) ,0,198,추가신고 
,,,,,,,
본인 ,도로 ,"경기도 광주시 오포읍 능평리 189-3번지 415.00m² 중 11.53m² (총면적 415.00m² 증가, 지분면적 11.53m² 증가) ",- ,"2,359",0,"2,359",추가신고 
,,,,"-2,359",,,
,,,,,,,
본인 ,도로 ,"경기도 광주시 오포읍 능평리 190-1번지 1,024.00m² 중 28.44m² (총면적 1,024.00m² 증가, 지분면적 28.44m² 증가) ",- ,"5,818",0,"5,818",추가신고 
,,,,"-5,818",,,
,,,,,,,
모 ,임야 ,경기도 양평군 옥천면 용천리 산 47-16번지 37.82m² (623.18m² 감소) ,"2,187",0,"2,060",127,면적 수정(지분 반영) 
,,,,,,,
모 ,임야 ,경기도 양평군 옥천면 용천리 산 47-17번지 14.00m² (647.00m² 감소) ,"2,214",0,"2,167",47,면적 수정(지분 반영) 
,,,,,,,
모 ,임야 ,경기도 양평군 옥천면 용천리 산 47-18번지 74.64m² (586.36m² 감소) ,"2,168",0,"1,920",248,면적 수정(지분 반영) 
,,,,,,,
모 ,임야 ,경기도 양평군 옥천면 용천리 산 47-19번지 82.54m² (578.46m² 감소) ,"2,168",0,"1,894",274,면적 수정(지분 반영) 
,,,,,,,
모 ,임야 ,경기도 양평군 옥천면 용천리 산 47-20번지 126.00m² (535.00m² 감소) ,"2,168",0,"1,749",419,면적 수정(지분 반영) 
,,,,,,,
모 ,임야 ,경기도 양평군 옥천면 용천리 산 47-21번지 127.00m² (534.00m² 감소) ,"2,412",0,"1,941",471,면적 수정(지분 반영) 
,,,,,,,
모 ,임야 ,경기도 양평군 옥천면 용천리 산 47-22번지 138.00m² (523.00m² 감소) ,"2,525",0,"1,989",536,면적 수정(지분 반영) 
,,,,,,,
모 ,임야 ,경기도 양평군 옥천면 용천리 산 47-1번지 59.54m² (601.46m² 감소) ,"2,168",0,"1,970",198,면적 수정(지분 반영) 
,,,,,,,
▶ 건물(소계) ,"40,000","276,000","30,000","286,000",,,
,,,,,,,
본인 ,상가 전세(임차)권 ,경기도 광주시 초월읍 대쌍령리 건물 99.00m² ,"10,000",0,0,"10,000",
,,,,,,,
본인 ,다세대주택 전세(임차)권 ,경기도 광주시 쌍령동 건물 0.00m² (건물 75.08m² 감소) ,"30,000",0,"30,000",0,전세권 만료 
,,,,,,,
본인 ,단독주택 ,"경기도 광주시 오포읍 능평리 대지 441.00m² 건물 177.23m² (대지 441.00m² 증가, 건물 177.23m² 증가) ",- ,"276,000",0,"276,000",건물 신축 
,,,,"-276,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"44,840",0,"6,390","38,450",,,
,,,,,,,
본인 ,자동차 ,"2016년식 카니발하이리무진 배기량(2,199cc) ","44,840",0,"6,390","38,450",가액변동 
,,,,,,,
▶ 예금(소계) ,"66,487","44,729","8,435","102,781",,,
,,,,,,,
본인 ,,"현대해상화재보험 2,090(1,437 증가), 중소기업은행 3(3 감소), 농협은행 3,409(539 감소), 농협중앙회 23,185(16,410 증가), 국민은행 0(98 감소), 경남은행 0(6 감소), 하남선린신협 978(365 감소), 삼성화재해상보험 33,957(6,302 증가) ","40,484","24,149","1,011","63,622",급여저축및생활비지출등 
,,,,,,,
모 ,,"농협중앙회 18,420(7,605 증가), 광주 1,424 ","12,239","13,605","6,000","19,844",
,,,,,,,
장남 ,,"현대해상화재보험 2,975(61 증가), 농협중앙회 884(381 감소), 우리은행 0(93 감소), 국민은행 2, 농협은행 2,713 ","6,987",431,844,"6,574",
,,,,,,,
차녀 ,,"씨티은행 1(211 감소), (주)KEB하나은행 32(343 감소), 신한은행 4,149(4,149 증가), 우리은행 1,288(1,288 증가), 농협중앙회 0(26 감소), 농협은행 1,340, 현대해상화재보험 5,931(1,107 증가) ","6,777","6,544",580,"12,741",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"133,886","45,078",0,"178,964",,,
,,,,,,,
본인 ,,"농협은행 178,964(45,078 증가) ","133,886","45,078",0,"178,964",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"150,000",0,0,"150,000",,,
,,,,,,,
모 ,,사인간채권 ,"150,000",0,0,"150,000",
,,,,,,,
▶ 채무(소계) ,"243,636","344,703","187,260","401,079",,,
,,,,,,,
본인 ,금융기관채무 ,"신용협동조합중앙회 20,000, JB우리캐피탈 21,249(13,225 감소), 농협중앙회 344,703(184,703 증가) ","214,474","344,703","173,225","385,952",건물신축비용등 
,,,,,,,
장남 ,금융기관채무 ,"우리은행 15,127(14,035 감소) ","29,162",0,"14,035","15,127",급여 등으로 상환 
,,,,,,,
총계 ,"449,587","44,182","113,255","380,514","증 감 액 : -69,073천원 (가액변동: -6,390천원) ",,
,,,,,,,
