소속 ,국회 ,직위 ,국회의원 ,성명 ,장병완 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"46,800","3,563",0,"50,363",,,
,,,,,,,
본인 ,전 ,전라남도 곡성군 곡성읍 구원리 497-1번지 106.00m² ,"1,123",117,0,"1,240",가액변동 
,,,,,,,
본인 ,임야 ,전라남도 곡성군 곡성읍 서계리 산 26번지 561.00m² ,633,85,0,718,가액변동 
,,,,,,,
본인 ,임야 ,"전라남도 곡성군 오곡면 봉조리 산 4번지 18,744.00m² ","15,088","1,313",0,"16,401",가액변동 
,,,,,,,
본인 ,임야 ,"전라남도 곡성군 삼기면 근촌리 산 16번지 7,934.00m² ","4,220",278,0,"4,498",가액변동 
,,,,,,,
본인 ,전 ,전라남도 곡성군 곡성읍 구원리 497-2번지 423.00m² ,"4,483",466,0,"4,949",가액변동 
,,,,,,,
본인 ,묘지 ,"전라남도 곡성군 곡성읍 구원리 513-1번지 1,170.00m² ","5,850",0,0,"5,850",변동없음 
,,,,,,,
본인 ,임야 ,"전라남도 곡성군 곡성읍 서계리 산 106-5번지 1,388.00m² ","1,679",222,0,"1,901",가액변동 
,,,,,,,
본인 ,유지 ,전라남도 곡성군 곡성읍 구원리 245-1번지 950.00m² ,"2,793",0,0,"2,793",변동없음 
,,,,,,,
본인 ,답 ,전라남도 곡성군 곡성읍 구원리 258-1번지 904.00m² ,"9,672",904,0,"10,576",가액변동 
,,,,,,,
본인 ,임야 ,전라남도 곡성군 곡성읍 묘천리 산 31번지 893.00m² ,"1,259",178,0,"1,437",가액변동 
,,,,,,,
▶ 건물(소계) ,"3,500,900","4,222,000","2,378,900","5,344,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 일원동 목련타운아파트 건물 134.00m² ,"1,032,000","72,000",0,"1,104,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,광주광역시 남구 봉선동 금호타운 건물 84.83m² ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,광주광역시 남구 진월동 넥스타워 6층 건물 144.67m² ,"40,000",0,0,"40,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,"서울특별시 용산구 한남동 한남더힐 건물 0.00m² 중 0.00m² (건물 총면적 284.21m² 감소, 지분면적 142.10m² 감소) ","1,189,450",0,"1,189,450",0,계약 만료 
,,,,,,,
본인 ,아파트 ,"서울특별시 용산구 한남동 한남더힐 건물 284.21m² 중 142.10m² (건물 총면적 284.21m² 증가, 지분면적 142.10m² 증가) ",- ,"2,075,000 (2,075,000) ",0,"2,075,000",신규 구입 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,"서울특별시 용산구 한남동 한남더힐 건물 0.00m² 중 0.00m² (건물 총면적 284.21m² 감소, 지분면적 142.10m² 감소) ","1,189,450",0,"1,189,450",0,계약 만료 
,,,,,,,
배우자 ,아파트 ,"서울특별시 용산구 한남동 한남더힐 건물 284.21m² 중 142.10m² (건물 총면적 284.21m² 증가, 지분면적 142.10m² 증가) ",- ,"2,075,000 (2,075,000) ",0,"2,075,000",신규 구입 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"134,790","4,970","29,090","110,670",,,
,,,,,,,
본인 ,자동차 ,"2010년식 그랜드 카니발 배기량(2,200cc) 감소 ","10,050",0,"10,050",0,매매 
,,,,,"-6,000",,
,,,,,,,
본인 ,자동차 ,"2011년식 에쿠스 배기량(3,778cc) ","31,830",0,830,"31,000",가액변동 
,,,,,,,
배우자 ,자동차 ,"2018년식 E300 4Matic 배기량(1,991cc) ","78,900",0,"4,200","74,700",가액변동 
,,,,,,,
장녀 ,자동차 ,"2012년식 K5 배기량(2,000cc) 감소 ","14,010",0,"14,010",0,매매 
,,,,,"-5,000",,
,,,,,,,
장녀 ,자동차 ,"2018년식 CLA250 4Matic 배기량(1,991cc) 증가 ",0,"4,970",0,"4,970",신규 
,,,,"-4,970",,,
,,,,,,,
▶ 예금(소계) ,"4,888,820","1,473,863","2,922,931","3,439,752",,,
,,,,,,,
본인 ,,"샘신협 52(1 증가), NH투자증권 308,381(27,670 감소), 한양증권 55, 새마을금고 0(56 감소), 농협은행 490,961 (855,031 감소), 국민은행 20, 한화생명보험 40,000, 광주은행 270(154 증가), 남광주신협 53, 월산 230(7 증가), 광남 106(3 증가), 교보생명보험 64,602, 삼성화재해상보험 100,000 ","1,887,322","9,014","891,606","1,004,730",주택매매로인한예금감소 
,,,,,,,
배우자 ,,"한국교직원공제회 146,657(3,812 증가), (주)KEB하나은행 129,773(674,848 감소), 미래에셋대우(주) 221,076(221,076 증가), 국민은행 23,219(210 증가), 삼성화재해상보험 150,000, 삼성생명보험 4,945, 신한은행 23, 메트라이프생명보험 57,743, 씨티은행 5(90,207 감소), 우리은행 725,128(55,295 감소), 한화생명보험 53,708(6,250 감소), 미래에셋생명보험 208,808 ","2,322,587","1,083,911","1,685,413","1,721,085",
,,,,,,,
장녀 ,,"국민은행 32,089(15,633 감소), (주)KEB하나은행 64,156(204 증가), 미래에셋대우(주) 325,616(325,616 증가), 삼성생명보험 107,000(12,000 증가), KB증권 145,559(306,315 감소), 신한은행 33,525(18,482 증가), (주)KB손해보험 5,992(672 증가) ","678,911","380,938","345,912","713,937",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"250,810","71,266",0,"322,076",,,
,,,,,,,
본인 ,,"농협은행 322,076(71,266 증가) ","250,810","71,266",0,"322,076",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"275,000",0,0,"275,000",,,
,,,,,,,
본인 ,,사인간채권 ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
배우자 ,,사인간채권 ,"270,000",0,0,"270,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"800,000","19,114",0,"819,114",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 19,114(19,114 증가) ",0,"19,114",0,"19,114",리스대금 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 일원동 목련타운아파트 임대보증금 ,"800,000",0,0,"800,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"17,000",0,0,"17,000",,,
,,,,,,,
배우자 ,기타 ,금강산 아난티골프 & 온천리조트 ,"17,000",- ,- ,"17,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"8,314,120","5,756,548","5,330,921","8,739,747","증 감 액 : 425,627천원 (가액변동: 70,533천원) ",,
,,,,,,,
