소속 ,국회 ,직위 ,국회의원 ,성명 ,장석춘 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"376,333","17,877","6,100","388,110",,,
,,,,,,,
본인 ,대지 ,경상북도 예천군 용궁면 산택리 59-2번지 645.00m² ,"13,158",322,0,"13,480",가액변동 
,,,,,,,
본인 ,전 ,경상북도 예천군 용궁면 산택리 118번지 0.00m² (684.00m² 감소) ,"5,752",0,"5,752",0,매매 
,,,,,"-17,000",,
,,,,,,,
본인 ,답 ,"경상북도 예천군 용궁면 산택리 107-8번지 1,689.00m² ","21,112","1,689",0,"22,801",가액변동 
,,,,,,,
본인 ,답 ,"경상북도 구미시 고아읍 항곡리 475번지 1,392.00m² 중 696.00m² ","41,829",0,348,"41,481",가액변동 
,,,,,,,
본인 ,도로 ,경기도 김포시 고촌읍 풍곡리 75-8번지 6.96m² ,353,14,0,367,가액변동 
,,,,,,,
본인 ,도로 ,경기도 김포시 고촌읍 풍곡리 75-19번지 140.00m² ,"7,112",280,0,"7,392",가액변동 
,,,,,,,
본인 ,도로 ,경기도 김포시 고촌읍 풍곡리 75-39번지 244.00m² ,"12,395",488,0,"12,883",가액변동 
,,,,,,,
본인 ,과수원 ,경기도 김포시 고촌읍 풍곡리 75-44번지 592.00m² ,"91,345","3,552",0,"94,897",가액변동 
,,,,,,,
본인 ,과수원 ,경기도 김포시 고촌읍 풍곡리 75-11번지 591.00m² ,"77,361","3,015",0,"80,376",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 구미시 사곡동 산 18-1번지 154,265.00m² 중 164.24m² ",891,110,0,"1,001",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 구미시 사곡동 산 18-7번지 41,092.00m² 중 43.80m² ",260,33,0,293,가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 구미시 사곡동 산 18-8번지 10,103.00m² 중 10.76m² ",227,0,0,227,변동없음 
,,,,,,,
부 ,답 ,"경상북도 예천군 용궁면 산택리 107-9번지 2,678.00m² ","33,475","2,678",0,"36,153",가액변동 
,,,,,,,
부 ,전 ,경상북도 예천군 용궁면 산택리 142번지 535.00m² ,"4,777",209,0,"4,986",가액변동 
,,,,,,,
부 ,답 ,"경상북도 예천군 용궁면 산택리 131번지 2,704.00m² ","23,687","2,217",0,"25,904",가액변동 
,,,,,,,
부 ,대지 ,경상북도 예천군 용궁면 산택리 80-3번지 292.00m² ,"7,180",436,0,"7,616",가액변동 
,,,,,,,
모 ,답 ,경상북도 예천군 용궁면 산택리 235-4번지 467.50m² ,"5,843",468,0,"6,311",가액변동 
,,,,,,,
모 ,답 ,"경상북도 예천군 용궁면 산택리 235-5번지 2,366.10m² ","29,576","2,366",0,"31,942",가액변동 
,,,,,,,
▶ 건물(소계) ,"780,520","64,064","20,000","824,584",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,경상북도 구미시 구평동 구미구평푸르지오 건물 59.93m² ,"160,000",0,0,"160,000",변동없음 
,,,,,,,
본인 ,단독주택 ,"경기도 김포시 고촌읍 풍곡리 대지 1,022.00m² 건물 199.78m² ","597,000","34,000",0,"631,000",가액변동 
,,,,,,,
본인 ,빌딩 전세(임차)권 ,경상북도 구미시 황상동 건물 0.00m² (건물 165.34m² 감소) ,"20,000",0,"20,000",0,사무실 이전 
,,,,,,,
본인 ,빌딩 전세(임차)권 ,경상북도 구미시 황상동 건물 105.70m² (건물 105.70m² 증가) ,- ,"30,000",0,"30,000",사무실 이전 
,,,,,,,
모 ,단독주택 ,경상북도 예천군 용궁면 산택리 건물 110.16m² ,"3,520",64,0,"3,584",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"7,890",0,"1,275","6,615",,,
,,,,,,,
배우자 ,자동차 ,"2013년식 싼타페 배기량(1,995cc) ","7,890",0,"1,275","6,615",가액변동 
,,,,,,,
▶ 예금(소계) ,"221,461","35,135","83,989","172,607",,,
,,,,,,,
본인 ,,"DB생명보험(주) 27,151(1,262 증가), 에이스아메리칸화재해상보험 3,354(1,915 증가), 우리은행 10, 한화손해보험 5,706(849 증가), 우체국 934(1 증가), 농협은행 884(13,544 감소), (주)KEB하나은행 50,755(45,255 감소), 한화생명보험 18,019, 라이나생명보험 3,238(442 증가), 삼성화재해상보험 2,440(480 증가) ","166,341","4,949","58,799","112,491",급여저축 및 생활비지출 등 
,,,,,,,
배우자 ,,"DB손해보험(주) 6,720(720 증가), 우체국 1,626(3 증가), 신한은행 6,907(2,163 증가), 우리은행 6,246(12,378 감소) ","30,991","4,626","14,118","21,499",
,,,,,,,
부 ,,"용궁 75(2 증가), 용궁 11,843(1,171 증가), 예천군산림조합 36(2 증가), 농협중앙회 26,448(13,712 증가) ","23,515","25,559","10,672","38,402",
,,,,,,,
모 ,,"농협중앙회 210(1 증가), 용궁 5(400 감소) ",614,1,400,215,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"96,621",0,"17,043","79,578",,,
,,,,,,,
본인 ,,"농협은행 79,578(17,043 감소) ","96,621",0,"17,043","79,578",의정활동 지출 
,,,,,,,
▶ 채무(소계) ,"344,453",0,"8,155","336,298",,,
,,,,,,,
본인 ,금융기관채무 ,"(주)KEB하나은행 336,298(8,155 감소) ","344,453",0,"8,155","336,298",일부 상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,138,372","117,076","120,252","1,135,196","증감액:-3,176천원 (가액변동: 50,318천원) ",,
,,,,,,,
