소속 ,국회 ,직위 ,국회의원 ,성명 ,장정숙 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"736,617","5,000",0,"741,617",,,
,,,,,,,
본인 ,아파트 ,서울특별시 마포구 동교동 광남벨라스 아파트 건물 135.89m² 중 67.94m² ,"315,000","2,500",0,"317,500",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 마포구 동교동 광남벨라스 아파트 건물 135.89m² 중 67.94m² ,"315,000","2,500",0,"317,500",가액변동 
,,,,,,,
모 ,아파트 전세(임차)권 ,경기도 남양주시 수동면 운수리 수동시니어타운 건물 53.17m² ,"76,000",0,0,"76,000",
,,,,,,,
장녀 ,연립주택 전세(임차)권 ,"Bellezza Hakubaicho, Kamiyagawa-cho 건물 33.00m² ",617,0,0,617,
,,,,,,,
장남 ,오피스텔 전세(임차)권 ,서울특별시 용산구 한강로2가 아스테리움 건물 74.30m² ,"30,000",0,0,"30,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"10,660","38,500","5,640","43,520",,,
,,,,,,,
배우자 ,자동차 ,"2005년식 체어맨 배기량(3,200cc) ","5,660",0,640,"5,020",가액변동 
,,,,,,,
모 ,자동차 ,"2006년식 쏘나타 배기량(1,998cc) 증가 ",0,"1,500",0,"1,500",추가신고 
,,,,,,,
장남 ,자동차 ,2012년식 스파크 1.0 DOHC 배기량(995cc) 감소 ,"5,000",0,"5,000",0,매도 
,,,,,"-3,800",,
,,,,,,,
장남 ,자동차 ,"2019년식 어코드 배기량(1,500cc) 증가 ",0,"37,000",0,"37,000",신규매입 
,,,,,,,
▶ 현금(소계) ,"10,000","2,000",0,"12,000",,,
,,,,,,,
본인 ,,현금 증가 ,"10,000","2,000",0,"12,000",일시적 보유 
,,,,,,,
▶ 예금(소계) ,"169,059","83,422","72,621","179,860",,,
,,,,,,,
본인 ,,"농협생명보험 12,908(1,313 증가), 하나금융투자 10, 제이티 저축은행 37(37증가),우리은행41(1증가),새마을금고316 (163 증가), (주)KB손해보험 2,874(233 증가), 농협은행 10,385(368 감소), (주)KEB하나은행 343(961 감소), 국민은행 10, 라이나생명보험 1,602, 새마을금고중앙회 공제사업부 22,900 ","51,008","5,389","4,971","51,426",급여저축 등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 72(70 감소), 새마을금고중앙회 공제사업부 5,250(25,000 감소), 스탠다드차타드은행 38(50 감소), 광주은행 114, 광명 972(895 증가), 국민은행 127(87 증가), 신한은행 56, 우리은행 55(7 증가), 농협은행 94 ","30,909","1,603","25,734","6,778",급여저축 등 
,,,,,,,
모 ,,"신한금융투자(주) 4, 중소기업은행 20, 우체국 69, 신한은행 9,377(7,950 증가), (주)KEB하나은행 14 ","1,534","7,950",0,"9,484",
,,,,,,,
장녀 ,,"국민은행 6,719(351 증가), (주)KEB하나은행 162(148 증가), 씨티은행(국외) 6,974(149 증가), 씨티은행 690(682 증가), 미래에셋대우(주) 1,573(1,573 증가), 삼성생명보험 30,128 (4,874 증가), 일본미츠이스미토모은행 4,107(709 감소) ","43,285","7,777",709,"50,353",
,,,,,,,
장남 ,,"중소기업은행 3, 우리은행 9,245(7,510 증가), 국민은행 11, (주)KEB하나은행 27(1,080 감소), 체킹어카운트 64(18 감소), 세이빙어카운트 83(23 감소), 한화투자증권 2 ","3,046","7,510","1,121","9,435",
,,,,,,,
차녀 ,,"성암 0(21,136 감소), 씨티은행 26,960(8,840 증가), 성암 10, 미래에셋대우(주) 923(923 증가), 중소기업은행 1,177(1,177 증가), (주)KEB하나은행 11, 신한은행 23,303(23,303 증가) ","39,277","53,193","40,086","52,384",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"27,225",0,"4,369","22,856",,,
,,,,,,,
본인 ,,"농협은행 22,856(4,369 감소) ","27,225",0,"4,369","22,856",정치활동으로 사용 
,,,,,,,
▶ 채무(소계) ,"739,656","95,900","107,839","727,717",,,
,,,,,,,
본인 ,금융기관채무 ,"농협생명보험 4,310, 신한은행 21,808(1,980 감소), 하나카드 0(1,500 감소), 새마을금고 23,385(3,112 증가), (주)KB손해보험 700, 농협은행 50,000(25,000 감소), JB우리캐피탈 37,004(7,597 감소), 새마을금고중앙회 공제사업부 7,010 ","177,182","15,000","47,965","144,217",급여로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"스탠다드차타드은행 80,000, 새마을금고중앙회 공제사업부 2,600(16,600 감소), 새마을금고 450,000 ","549,200","30,000","46,600","532,600",급여로 상환 
,,,,,,,
장남 ,금융기관채무 ,"현대카드(주) 0(7,125 감소), 우리은행 50,900(50,900 증가), 현대캐피탈 0(4,782 감소), 신한카드 0(1,367 감소) ","13,274","50,900","13,274","50,900",자동차구입등 
,,,,,,,
총계 ,"213,905","33,022","-25,209","272,136","증감액:58,231천원 (가액변동: -640천원) ",,
,,,,,,,
