소속 ,국회 ,직위 ,국회의원 ,성명 ,장제원 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"2,772,261","1,319,000","779,041","3,312,220",,,
,,,,,,,
본인 ,상가 ,부산광역시 해운대구 우동 해운대아이파크 대지 24.30m² 건물 149.99m² ,"1,488,220",0,0,"1,488,220",변동없음 
,,,,,,,
배우자 ,아파트 ,"부산광역시 해운대구 우동 현대베네시티 건물 0.00m² 중 0.00m² (건물 총면적 188.41m² 감소, 지분면적 188.42m² 감소) ","779,041",0,"779,041",0,매도 
,,,,,"-600,000",,
,,,,,,,
배우자 ,아파트 ,제주특별자치도 서귀포시 대정읍 보성리 삼성지에듀 건물 74.43m² ,"235,000","61,000",0,"296,000",가액변동 
,,,,,,,
배우자 ,아파트 ,부산광역시 사상구 주례동 엘지신주례아파트 건물 134.94m² ,"270,000","8,000",0,"278,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 용산구 한강로2가 용산푸르지오써밋 건물 169.06m² (건물 169.06m² 증가) ,- ,"1,250,000",0,"1,250,000",신규 계약 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"10,040",0,"10,040",0,,,
,,,,,,,
본인 ,자동차 ,"2012년식 그랜드카니발 배기량(2,199cc) 감소 ","10,040",0,"10,040",0,매도 
,,,,,"-8,000",,
,,,,,,,
▶ 예금(소계) ,"523,911","298,046","210,866","611,091",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 87,362(5,016 증가), 중소기업은행 15,087(7,636 증가), 신한은행 394(1 증가), 부산은행 38,565(36,593 증가), 삼성생명보험 131,827(62,782 증가), NH투자증권 61(1 증가), 농협은행 20,066(15,612 감소), 교보생명보험 26,344(1,068 증가) ","222,221","113,825","16,340","319,706",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 27,889(158,926 감소), 새마을금고중앙회 공제사업부 18,751(4,440 증가), 신한은행 30, 씨티은행 639, 하나생명보험 0(35,600 감소), 농협은행 7, 교보생명보험 9,784(1,033 증가) ","246,153","5,473","194,526","57,100",
,,,,,,,
장남 ,,"신한은행 280, 삼성생명보험 54,000, (주)KEB하나은행 2,462(1,357 증가), 농협은행 177,543(177,391 증가) ","55,537","178,748",0,"234,285",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"22,790","8,686",0,"31,476",,,
,,,,,,,
본인 ,,"농협은행 31,476(8,686 증가) ","22,790","8,686",0,"31,476",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"180,000",0,"180,000",0,,,
,,,,,,,
장남 ,비상장주식 ,"주식회사 굿엔베스트 0주(36,000주 감소) ","180,000",0,"180,000",0,전량매도 
,,,,,,,
▶ 채무(소계) ,"1,111,634","628,923","19,280","1,721,277",,,
,,,,,,,
본인 ,금융기관채무 ,"부산은행 910,000, 농협은행 26,460(15,120 감소) ","951,580",0,"15,120","936,460",급여로 일부 상환 
,,,,,,,
본인 ,건물임대채무 ,부산광역시 해운대구 우동 해운대아이파크 임대보증금 증가 ,0,"50,000",0,"50,000",보증금 
,,,,,,,
배우자 ,,사인간채무 증가 ,0,"400,000",0,"400,000",전세자금 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 168,923(168,923 증가), 삼성화재해상보험 155,894(4,160 감소) ","160,054","168,923","4,160","324,817",전세자금및생활비지출등 
,,,,,,,
배우자 ,건물임대채무 ,제주특별자치도 서귀포시 대정읍 보성리 삼성지에듀 임대보증금 증가 ,0,"10,000",0,"10,000",보증금 
,,,,,,,
▶ 회원권(소계) ,"160,640",0,0,"160,640",,,
,,,,,,,
본인 ,콘도미니엄 ,롯데리조트 아트빌라스 다구좌 ,"160,640",- ,- ,"160,640",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"2,558,008","996,809","1,160,667","2,394,150","증 감 액 : -163,858천원 (가액변동: 69,000천원) ",,
,,,,,,,
