소속 ,국회 ,직위 ,국회의원 ,성명 ,김관영 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"385,911","42,645",0,"428,556",,,
,,,,,,,
배우자 ,임야 ,"경기도 파주시 적성면 마지리 산 101-4번지 115,315.00m² 중 661.00m² (총면적 115,315.00m² 증가, 지분면적 661.00m² 증가) ",- ,"10,494",0,"10,494",예금액으로 매입 
,,,,"-10,494",,,
,,,,,,,
배우자 ,임야 ,"경기도 파주시 적성면 마지리 산 101-6번지 168,184.00m² 중 1,322.00m² (총면적 168,184.00m² 증가, 지분면적 1,322.00m² 증가) ",- ,"23,364",0,"23,364",채권 상환액으로 매입 
,,,,"-23,364",,,
,,,,,,,
부 ,전 ,"전라북도 군산시 회현면 학당리 280번지 1,273.00m² ","33,861","1,146",0,"35,007",가액변동 
,,,,,,,
부 ,전 ,전라북도 군산시 회현면 학당리 962번지 162.00m² 중 40.50m² ,862,20,0,882,가액변동 
,,,,,,,
부 ,전 ,전라북도 군산시 회현면 학당리 963번지 139.00m² 중 34.75m² ,813,21,0,834,가액변동 
,,,,,,,
부 ,대지 ,전라북도 군산시 회현면 학당리 964번지 436.00m² 중 109.00m² ,"4,338",109,0,"4,447",가액변동 
,,,,,,,
부 ,대지 ,전라북도 군산시 회현면 학당리 965번지 99.00m² 중 24.75m² ,945,22,0,967,가액변동 
,,,,,,,
부 ,임야 ,"전라북도 군산시 회현면 학당리 산 88번지 1,388.00m² 중 462.60m² ","6,245",0,0,"6,245",
,,,,,,,
부 ,임야 ,"전라북도 군산시 회현면 학당리 산 91번지 2,426.00m² 중 606.50m² ","4,773",121,0,"4,894",가액변동 
,,,,,,,
부 ,답 ,"전라북도 군산시 회현면 학당리 1507번지 3,897.10m² ","78,721","1,559",0,"80,280",가액변동 
,,,,,,,
부 ,답 ,"전라북도 군산시 회현면 학당리 1508번지 2,313.00m² ","46,722",925,0,"47,647",가액변동 
,,,,,,,
부 ,답 ,"전라북도 군산시 회현면 학당리 1509번지 1,584.00m² ","30,481","2,149",0,"32,630",가액변동 
,,,,,,,
부 ,답 ,"전라북도 군산시 회현면 학당리 1518번지 2,954.00m² ","59,670","1,182",0,"60,852",가액변동 
,,,,,,,
부 ,답 ,"전라북도 군산시 회현면 학당리 1519번지 2,965.00m² ","59,893","1,186",0,"61,079",가액변동 
,,,,,,,
부 ,임야 ,"전라북도 군산시 나포면 나포리 산 149-2번지 1,686.00m² ","11,245",304,0,"11,549",가액변동 
,,,,,,,
부 ,답 ,"전라북도 군산시 회현면 학당리 1268-7번지 0.00m² 중 0.00m² (총면적 0.00m² 감소, 지분면적 0.00m² 감소) ",0,0,0,0,
,,,,,,,
부 ,답 ,"전라북도 군산시 회현면 학당리 1928-0번지 2,558.00m² 중 852.66m² ","21,316",0,0,"21,316",행정구역변경 
,,,,,,,
모 ,전 ,전라북도 군산시 회현면 학당리 281-3번지 740.00m² ,"22,200",0,0,"22,200",변동 없음 
,,,,,,,
모 ,대지 ,전라북도 군산시 회현면 학당리 539-3번지 106.00m² ,"3,826",43,0,"3,869",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,209,778","147,802","7,000","1,350,580",,,
,,,,,,,
배우자 ,아파트 ,경기도 성남시 분당구 백현동 그랑블서해푸르지오아파트 건물 137.73m² ,"904,000","144,000",0,"1,048,000",가액변동 
,,,,,,,
배우자 ,아파트 ,전라북도 군산시 수송동 군산수송세영리첼아파트 건물 84.95m² ,"163,000",0,"7,000","156,000",가액변동 
,,,,,,,
부 ,기타 ,"전라북도 군산시 회현면 학당리 대지 1,048.00m² 건물 207.50m² ","90,156","1,719",0,"91,875",가액변동 
,,,,,,,
모 ,기타 ,전라북도 군산시 회현면 학당리 대지 707.00m² 건물 117.10m² ,"52,622","2,083",0,"54,705",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"33,530",0,"16,875","16,655",,,
,,,,,,,
본인 ,자동차 ,"2007년식 그랜저 TG 38G 배기량(3,800cc) ","8,000",- ,- ,"8,000",변동 없음 
,,,,,,,
본인 ,자동차 ,"2013년식 올란도 배기량(1,998cc) ","8,655",- ,- ,"8,655",변동 없음 
,,,,,,,
본인 ,자동차 ,"2012년식 제네시스 배기량(3,342cc) 감소 ","16,875",0,"16,875",0,양도 
,,,,,,,
▶ 예금(소계) ,"412,058","92,261","48,147","456,172",,,
,,,,,,,
본인 ,,"전북은행42(26감소),수협중앙회10,삼성생명보험24,146 (536 증가),군산대건신협61,KB증권4,농협은행3,708 (1,306증가), 군산월명신협 10(10증가),국민은행29,417(894증가), 동양생명보험 39,982(2,222 증가), (주)KEB하나은행 53,473(8,449 감소),군산팔마신협50,교보생명보험154,666 (6,258증가) ","302,818","14,162","11,411","305,569",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"DB손해보험(주) 8,361(1,300 증가), 삼성화재해상보험 15,395 (1,188 증가), 현대해상화재보험 6,135(2,045 증가), 국민은행 2,715(2,715 증가), 흥국화재해상보험(주) 762(762 증가), 신한 은행 2,852(2,300 증가), 중소기업은행 0(1 감소), (주)KB손해 보험 557(203 증가), 동양생명보험 72(72 증가), 신한생명보험 6,022(840 증가), 농협은행 1,500(1,429 감소), 교보생명보험 21,360(4,069 증가), 라이나생명보험 805(460 증가), 미래에셋 생명보험 3,366(779 증가) ","54,599","16,733","1,430","69,902",
,,,,,,,
부 ,,"농협중앙회 9,292(1,347 증가) ","7,945","1,347",0,"9,292",급여저축및생활비지출등 
,,,,,,,
모 ,,"농협중앙회 46,238(8,112 증가), 우체국 726, 교보생명보험 934, 한양증권 30 ","39,816","41,112","33,000","47,928",
,,,,,,,
차남 ,,"국민은행 80(95 감소), 신한은행 2,280(2,200 증가) ",255,"2,200",95,"2,360",
,,,,,,,
삼남 ,,"신한은행 2,280(2,200 증가), 우체국 593(291 증가) ",382,"2,491",0,"2,873",
,,,,,,,
장남 ,,"신한은행 4,593(4,413 증가), 중소기업은행 1,688(1,318 증가), 신한금융투자(주) 3(2 증가), 농협중앙회 167(160 증가), 국민은행 10,250(4,865 증가), (주)KEB하나은행 1,500(1,200 증가), 우리은행 47(47 증가) ","6,243","14,216","2,211","18,248",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"62,361","67,590",0,"129,951",,,
,,,,,,,
본인 ,,"농협은행 129,951(67,590 증가) ","62,361","67,590",0,"129,951",후원회에서 기부받음 
,,,,,,,
▶ 채권(소계) ,"20,000",0,"20,000",0,,,
,,,,,,,
본인 ,,사인간채권 감소 ,"20,000",0,"20,000",0,채권전부환수 
,,,,,,,
▶ 채무(소계) ,"418,034",399,"20,306","398,127",,,
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 131,157(10,586 감소), 농협은행 180,400(6,720 감소), 전북은행 86,570(2,601 감소) ","418,034",399,"20,306","398,127",급여로 일부 상환 
,,,,,,,
총계 ,"1,705,604","349,899","71,716","1,983,787","증 감 액 : 278,183천원 (가액변동: 149,589천원) ",,
,,,,,,,
