소속 ,국회 ,직위 ,국회의원 ,성명 ,전재수 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"5,000",0,"2,912","2,088",,,
,,,,,,,
부 ,임야 ,"경상남도 의령군 용덕면 용소리 산 118번지 2,678.00m² 중 2,678.00m² ","5,000",0,"2,912","2,088",가액변동 
,,,,,,,
▶ 건물(소계) ,"127,400","150,000","50,000","227,400",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,부산광역시 북구 구포동 현대아파트 건물 0.00m² (건물 92.00m² 감소) ,"50,000",0,"50,000",0,이사 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,부산광역시 북구 구포동 삼정그린코아아파트 건물 116.96m² (건물 116.96m² 증가) ,- ,"150,000",0,"150,000",이사 
,,,,,,,
부 ,아파트 (분양권) ,부산광역시 북구 만덕동 LH뉴웰시티 건물 84.95m² ,"24,700",- ,- ,"24,700",
,,,,,,,
부 ,아파트 (분양권) ,부산광역시 북구 만덕동 LH뉴웰시티 건물 74.85m² ,"22,700",- ,- ,"22,700",
,,,,,,,
부 ,연립주택 전세(임차)권 ,부산광역시 북구 만덕동 건물 66.00m² ,"30,000",- ,- ,"30,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"15,570",0,"1,410","14,160",,,
,,,,,,,
본인 ,자동차 ,"2015년식 티볼리 배기량(1,597cc) ","15,570",0,"1,410","14,160",가액변동 
,,,,,,,
▶ 현금(소계) ,"13,000",0,"13,000",0,,,
,,,,,,,
배우자 ,,현금 감소 ,"13,000",0,"13,000",0,생활자금 지출 
,,,,,,,
▶ 예금(소계) ,"111,454","56,971","14,839","153,586",,,
,,,,,,,
본인 ,,"농협은행 926(901 증가), 구남신협 10 ",35,901,0,936,급여 소득으로 인한 증가 
,,,,,,,
배우자 ,,"(주)KEB하나은행 0(37 감소), 대신증권 402(402 증가), 흥국생명 보험 9,564(1,395 증가), 스탠다드차타드은행 100(100 증가), 메리츠화재해상보험 8,937(1,141 증가), 삼성생명보험 40,886 (6,066 증가), 우체국 1,070(305 증가), 한국카카오은행(주) 827(827 증가), 우리은행 2,073(672 증가), 농협은행 273(1 증가), MG손해보험(주) 3,317(995 증가), 부산은행 4(4 증가) ","55,582","11,908",37,"67,453",
,,,,,,,
부 ,,"농협은행 25,000, 북부산 32,600(28,400 증가), 새마을금고 6,100(3,950 감소), 우리은행 10 ","39,260","28,597","4,147","63,710",
,,,,,,,
모 ,,"북부산 2,173(281 증가), 북부산 2,880(1,920 증가), 부산은행 13,000(3,000 증가), 새마을금고중앙회 공제사업부 3,434(364 증가) ","15,922","15,565","10,000","21,487",
,,,,,,,
장녀 ,,부산은행 0(556 감소) ,556,0,556,0,
,,,,,,,
차녀 ,,부산은행 0(99 감소) ,99,0,99,0,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"85,992","55,988",0,"141,980",,,
,,,,,,,
본인 ,,"농협은행 141,980(55,988 증가) ","85,992","55,988",0,"141,980",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"20,401","9,767",0,"30,168",,,
,,,,,,,
배우자 ,상장주식 ,아모레퍼시픽 144주(77주 증가) ,"20,401","9,767",0,"30,168",주식 매입 
,,,,,,,
▶ 채권(소계) ,"90,000",0,0,"90,000",,,
,,,,,,,
모 ,,사인간채권 ,"90,000",0,0,"90,000",
,,,,,,,
▶ 채무(소계) ,"54,439","41,900","40,777","55,562",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 41,900(41,900 증가), JB우리캐피탈 13,662(3,763 감소) ","17,425","41,900","3,763","55,562",생활비대출등 
,,,,,,,
배우자 ,금융기관채무 ,"삼성생명보험 0(17,014 감소), 씨티은행 0(20,000 감소) ","37,014",0,"37,014",0,급여로 상환 
,,,,,,,
총계 ,"414,378","230,826","41,384","603,820","증 감 액 : 189,442천원 (가액변동: -4,322천원) ",,
,,,,,,,
