소속 ,국회 ,직위 ,국회의원 ,성명 ,전해철 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"164,484","4,506",0,"168,990",,,
,,,,,,,
배우자 ,답 ,"경상북도 김천시 응명동 235-5번지 1,260.00m² ","100,800","3,780",0,"104,580",가액변동 
,,,,,,,
배우자 ,임야 ,"충청남도 서산시 팔봉면 양길리 산 11번지 36,000.00m² 중 4,000.00m² ","7,520",0,0,"7,520",변동없음 
,,,,,,,
배우자 ,임야 ,"충청남도 서산시 팔봉면 양길리 산 12번지 18,843.00m² 중 2,093.00m² ","3,976",0,0,"3,976",변동없음 
,,,,,,,
배우자 ,임야 ,"충청남도 서산시 팔봉면 양길리 산 13번지 20,331.00m² 중 2,259.00m² ","4,292",0,0,"4,292",변동없음 
,,,,,,,
배우자 ,임야 ,"충청남도 서산시 팔봉면 양길리 산 15번지 22,017.00m² 중 2,446.00m² ","10,909",0,0,"10,909",변동없음 
,,,,,,,
배우자 ,임야 ,"경기도 남양주시 조안면 삼봉리 산 46-1번지 56,033.00m² 중 4,670.00m² ","7,098",420,0,"7,518",가액변동 
,,,,,,,
배우자 ,도로 ,인천광역시 서구 석남동 578-26번지 494.80m² 중 33.00m² ,"9,692",109,0,"9,801",가액변동 
,,,,,,,
배우자 ,임야 ,"경기도 양평군 개군면 부리 산 23-1번지 26,312.00m² 중 2,193.00m² ","20,197",197,0,"20,394",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,761,000",0,"1,167,000","594,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 도곡동 도곡렉슬아파트 건물 0.00m² (건물 119.00m² 감소) ,"1,152,000",0,"1,152,000",0,매도 
,,,,,"(2,200,000",,
,,,,,         ),,
,,,,,,,
배우자 ,아파트 ,경기도 안산시 상록구 사동 안산고잔6차 푸르지오 건물 141.95m² ,"329,000",0,"15,000","314,000",가액변동 
,,,,,,,
장녀 ,아파트 전세(임차)권 ,서울특별시 용산구 한강로2가 푸르지오써밋 건물 66.86m² ,"280,000",0,0,"280,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"48,232",0,"3,252","44,980",,,
,,,,,,,
본인 ,자동차 ,"2015년식 K9 배기량(3,800cc) ","14,420",- ,- ,"14,420",가액변동없음 
,,,,,,,
본인 ,자동차 ,"2017년식 그랜저IG 배기량(2,999cc) ","33,812",0,"3,252","30,560",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,209,405","1,542,675","446,240","2,305,840",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 23,192(979 증가), 신한은행 1,218,211 (574,827 증가), 중소기업은행 310,753(7,603 증가), NH투자증권 502,835(502,835 증가), 반월신협 105(4 증가), 농협은행 1,421(2,714 감소), 신한금융투자(주) 127,615(8,363 감소), (주)KEB하나은행 35(1,232 감소), 국민은행 10,001, 반월신협 10, IBK연금보험 8,000(8,000 증가), 교보생명보험 31,620(4,080 증가) ","1,147,779","1,528,030","442,011","2,233,798","건물매도금액, 급여및 생활비지출등 "
,,,,,,,
배우자 ,,"흥국화재해상보험(주) 1,379(662 증가), 신한은행 21,364(400 증가), 중소기업은행 25 ","21,706","1,062",0,"22,768",
,,,,,,,
장녀 ,,"국민은행 0(352 감소), 푸르덴셜생명보험 15,218(552 증가), 중소기업은행 12,558(4,370 증가), 한국카카오은행(주) 70(70 증가), 흥국화재해상보험(주) 1,010(485 증가), IBK연금보험 3,300(1,800 증가), 신한은행 434(434 증가) ","25,231","11,588","4,229","32,590",
,,,,,,,
차남 ,,"푸르덴셜생명보험 15,218(552 증가), 중소기업은행 20, (주)KEB하나은행 163(163 증가), 신한금융투자(주) 48(48 증가), 신한은행 1,235(1,232 증가) ","14,689","1,995",0,"16,684",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"489,847","41,869",0,"531,716",,,
,,,,,,,
본인 ,,"농협은행 531,716(41,869 증가) ","489,847","41,869",0,"531,716",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"70,000",0,0,"70,000",,,
,,,,,,,
본인 ,,사인간채권 ,"70,000",0,0,"70,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"1,284,940",0,"1,133,546","151,394",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 6,394(14,546 감소) ","20,940",0,"14,546","6,394",일부 상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 도곡동 도곡렉슬아파트 임대보증금 감소 ,"1,100,000",0,"1,100,000",0,건물 매도로 인한 전세보증금 상환 
,,,,,,,
장녀 ,,사인간채무 ,"70,000",0,0,"70,000",변동없음 
,,,,,,,
장녀 ,금융기관채무 ,"신한은행 75,000(19,000 감소) ","94,000",0,"19,000","75,000",일부 상환 
,,,,,,,
총계 ,"2,458,028","1,589,050","482,946","3,564,132","증 감 액 : 1,106,104천원 (가액변동: -13,746천원) ",,
,,,,,,,
