소속 ,국회 ,직위 ,국회의원 ,성명 ,전현희 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,155,610","1,035,519","55,610","2,135,519",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 강남구 대치동 한보미도맨션 건물 159.15m² ,"1,100,000",0,0,"1,100,000",변동없음 
,,,,,,,
본인 ,아파트 (분양권) ,서울특별시 서초구 서초동 래미안 서초 에스티지S 건물 0.00m² (건물 84.80m² 감소) ,"55,610",0,"55,610",0,분양대금납부 
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 서초동 래미안 서초 에스티지S 건물 84.80m² (건물 84.80m² 증가) ,- ,"1,003,100",0,"1,003,100",소유권전환 
,,,,"(1,003,100",,,
,,,,         ),,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 강남구 수서동 로즈데일빌딩 건물 223.27m² (건물 223.27m² 증가) ,- ,"32,419",0,"32,419",신규 등록 
,,,,,,,
▶ 예금(소계) ,"156,507","24,016","45,159","135,364",,,
,,,,,,,
본인 ,,"우리은행 2,145(6,719 감소), 신한은행 29, 농협은행 55,060(16,097 감소), 유안타증권 137(1 증가) ","80,186","8,715","31,530","57,371",급여저축및생활비지출등 
,,,,,,,
모 ,,"국민은행 2,764(199 증가), 남서울신협 15,050(15,050 증가), 신한은행 3,676(2,759 감소), 우리은행 5,171(1,102 감소), (주)KEB하나은행 294 ","15,567","15,249","3,861","26,955",
,,,,,,,
장녀 ,,"중소기업은행 2,040(21 증가), 미래에셋대우(주) 1,018(6 증가), 농협은행 15,459(25 증가), 신한은행 32,521(9,768 감소) ","60,754",52,"9,768","51,038",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"106,521",0,"83,835","22,686",,,
,,,,,,,
본인 ,,"농협은행 22,686(83,835 감소) ","106,521",0,"83,835","22,686",정치자금 지출 등 
,,,,,,,
▶ 유가증권(소계) ,"187,200",0,"60,150","127,050",,,
,,,,,,,
장녀 ,상장주식 ,"CMG제약 30,000주 ","187,200",0,"60,150","127,050",평가액 변동 
,,,,,,,
▶ 채권(소계) ,"94,892",0,"25,000","69,892",,,
,,,,,,,
장녀 ,,사인간채권 감소 ,"94,892",0,"25,000","69,892",일부 환수 
,,,,,,,
▶ 채무(소계) ,"488,071","401,881","380,344","509,608",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"94,892",0,"25,000","69,892",일부 상환 
,,,,,,,
본인 ,금융기관채무 ,"삼성카드 60,881(60,881 증가), 우리은행 341,000(1,290 증가), 농협은행 37,835(15,634 감소) ","393,179","401,881","355,344","439,716",리스차량대출등 
,,,,,,,
▶ 비영리법인에 출연한 재산 ,,,,,,,
,,,,,,,
본인 ,출연 ,"(사)한국탄소중립협회, 출연재산: 5,000천원, 보유직위: 대표 ",- ,- ,- ,- ,변동없음 
,,,,,,,
총계 ,"1,212,659","657,654","-110,590","1,980,903","증 감 액 : 768,244천원 (가액변동: -60,150천원) ",,
,,,,,,,
