소속 ,국회 ,직위 ,국회의원 ,성명 ,전혜숙 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"525,000","28,000","30,000","523,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 광진구 군자동 광진두산위브파크 건물 131.35m² ,"495,000","28,000",0,"523,000",가액변동 
,,,,,,,
배우자 ,다가구주택 전세(임차)권 ,서울특별시 광진구 군자동 건물 0.00m² (건물 42.00m² 감소) ,"30,000",0,"30,000",0,전세권 만료 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"16,580","12,590","16,580","12,590",,,
,,,,,,,
본인 ,자동차 ,"2014년식 말리부 배기량(2,000cc) 증가 ",0,"6,295",0,"6,295",지분 변동으로 인한 재등록 
,,,,,,,
배우자 ,자동차 ,"2014년식 말리부 배기량(2,000cc) 감소 ","16,580",0,"16,580",0,지분 변동 
,,,,,,,
배우자 ,자동차 ,"2014년식 말리부 배기량(2,000cc) 증가 ",0,"6,295",0,"6,295",지분 변동으로 인한 재등록 
,,,,,,,
▶ 예금(소계) ,"333,840","237,327","143,790","427,377",,,
,,,,,,,
본인 ,,"중곡3동 1,074(28 증가), 중곡1동 1,097(28 증가), 삼성생명보험 0(1,422 감소), 신한은행 0(95 감소), 새마을금고 35,928(9,883 증가), 대구은행 0(16 감소), 중곡1동 2,400, 농협은행 305,584(101,523 증가), 중곡2.4동 1,260(30 증가), 국민은행 25,349(8,861 증가), 구의.광장 ","270,894","226,891","108,020","389,765",급여저축및생활비지출등 
,,,,,,,
,,"2,400, 중곡3동 2,400, 능동 3,699(34 증가), 구의.광장 611(15 증가), 송정.군자 5,563(2 증가), 중곡2.4동 2,400 ",,,,,
,,,,,,,
배우자 ,,"농협중앙회 5,359(115 감소), 우체국 2,226, 신한금융투자(주) 3 ","7,703",0,115,"7,588",
,,,,,,,
장남 ,,"신한은행 11(2,031 감소), 우체국 8, 농협중앙회 1, (주)KEB하나은행 8,640(11,475 감소) ","22,166",0,"13,506","8,660",
,,,,,,,
삼남 ,,"동양생명보험 0(1,744 감소), 신한은행 1,007(986 증가), 국민은행 6,014(13,396 감소), 우체국 5,485(802 증가), 우리은행 74, (주)KEB하나은행 6,158(4,032 증가), 신영증권 1,893(593 증가), 키움닷컴증권 1(2 감소), 농협은행 700(2,987 감소), 미래에셋대우(주) 32(3 증가) ","33,077","10,436","22,149","21,364",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"248,417","83,328",0,"331,745",,,
,,,,,,,
본인 ,,"농협은행 331,745(83,328 증가) ","248,417","83,328",0,"331,745",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"5,152","33,888","5,012","34,028",,,
,,,,,,,
삼남 ,상장주식 ,"에스케이하이닉 0주(15주 감소), 미래에셋대우 0주(110주 감소), 고려아연보통주 0주(2주 감소), 이마트보통주 7주(7주 증가), DB손해보험 2주, 포스코보통주 0주(3주 감소), 더블유홀딩컴퍼 1,838주(1,838주 증가), 셀트리온 보통주 142주(142주 증가), NAVER보통주 0주(1주 감소) ","5,152","33,888","5,012","34,028","평가액변동및주식매도,매입등 "
,,,,,,,
▶ 채권(소계) ,"28,171",0,"7,471","20,700",,,
,,,,,,,
삼남 ,,사인간채권 감소 ,"28,171",0,"7,471","20,700",일부환수 
,,,,,,,
▶ 채무(소계) ,"58,879","14,347","23,537","49,689",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 24,918(13,565 감소) ","38,483",0,"13,565","24,918",리스료 상환 
,,,,,,,
삼남 ,금융기관채무 ,"(주)KEB하나은행 24,771(4,375 증가) ","20,396","14,347","9,972","24,771",주식매입등 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,098,281","380,786","179,316","1,299,751","증 감 액 : 201,470천원 (가액변동: 27,998천원) ",,
,,,,,,,
