소속 ,국회 ,직위 ,국회의원 ,성명 ,전희경 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"180,000",0,0,"180,000",,,
,,,,,,,
배우자 ,단독주택 전세(임차)권 ,서울특별시 성북구 성북동 건물 110.00m² ,"180,000",- ,- ,"180,000",
,,,,,,,
▶ 예금(소계) ,"85,967","22,502","17,987","90,482",,,
,,,,,,,
본인 ,,"하나금융투자 543(8 증가), 신한은행 9(1 증가), 우리은행 6, 한화손해보험 7,513(832 증가), 농협은행 6,919(15,836 감소), (주)KEB하나은행 41(880 감소), 동양생명보험 233, 오창신협 1,333(29 증가), 국민은행 14 ","32,457","1,110","16,956","16,611",급여저축 등 
,,,,,,,
배우자 ,,"케이디비생명보험 13,500(2,400 증가), 현대해상화재보험 7,925(719 증가), 우체국 29,374(472 증가), 농협은행 20(333 감소) ","47,561","3,591",333,"50,819",
,,,,,,,
부 ,,"성북 31, 한국투자증권 53, 농협중앙회 523(1 증가), 신한은행 79(243 감소) ",928,1,243,686,
,,,,,,,
모 ,,"우체국 8, (주)KEB하나은행 42(455 감소) ",505,0,455,50,
,,,,,,,
장남 ,,"(주)KEB하나은행 11,344(8,900 증가), 농협은행 20 ","2,464","8,900",0,"11,364",
,,,,,,,
장녀 ,,"(주)KEB하나은행 10,932(8,900 증가), 농협은행 20 ","2,052","8,900",0,"10,952",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"59,144","112,286",0,"171,430",,,
,,,,,,,
본인 ,,"농협은행 171,430(112,286 증가) ","59,144","112,286",0,"171,430",정치자금(후원금)예금액 증가 
,,,,,,,
▶ 채권(소계) ,"150,000",0,0,"150,000",,,
,,,,,,,
본인 ,,사인간채권 ,"150,000",0,0,"150,000",
,,,,,,,
▶ 채무(소계) ,"217,634","38,924","6,996","249,562",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 7,738(4,996 감소), 농협은행 150,000(30,000 증가) ","132,734","30,000","4,996","157,738",의정차량(리스)할부금납부에 따른 채무감소및대출금상환 후 추가대출로 인한 채무증가 
,,,,,,,
배우자 ,금융기관채무 ,"농협은행 81,824(6,924 증가) ","74,900","8,924","2,000","81,824",생활자금 
,,,,,,,
부 ,금융기관채무 ,"새마을금고 10,000 ","10,000",0,0,"10,000",
,,,,,,,
총계 ,"257,477","95,864","10,991","342,350","증감액:84,873천원 ",,
,,,,,,,
