소속 ,국회 ,직위 ,국회의원 ,성명 ,정갑윤 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"9,280","1,154",0,"10,434",,,
,,,,,,,
배우자 ,임야 ,"울산광역시 울주군 두동면 만화리 산 133번지 1,648.42m² ","9,280","1,154",0,"10,434",가액변동 
,,,,,,,
▶ 건물(소계) ,"753,000","233,500","237,500","749,000",,,
,,,,,,,
본인 ,아파트 ,울산광역시 중구 우정동 우정아이파크아파트 건물 62.77m² (건물 62.78m² 감소) ,"448,000",0,"227,500","220,500",공유지분 반영 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 영등포구 당산동2가 코오롱 스타폴리스 건물 34.88m² ,"30,000",0,"10,000","20,000",전세계약금 변동 
,,,,,,,
배우자 ,아파트 ,"울산광역시 중구 우정동 우정아이파크아파트 건물 125.54m² 중 62.77m² (건물 총면적 125.54m² 증가, 지분면적 62.77m² 증가) ",- ,"220,500",0,"220,500",공유지분 반영 
,,,,"-220,500",,,
,,,,,,,
장남 ,아파트 ,울산광역시 중구 약사동 삼성래미안1차아파트 건물 104.57m² ,"275,000","13,000",0,"288,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"76,500",0,"7,430","69,070",,,
,,,,,,,
본인 ,자동차 ,"2016년식 EQ900 배기량(3,800cc) ","62,500",0,"7,190","55,310",가액변동 
,,,,,,,
본인 ,자동차 ,"2012년식 그랜저 배기량(3,000cc) ","14,000",0,240,"13,760",가액변동 
,,,,,,,
▶ 현금(소계) ,"20,000",0,"15,000","5,000",,,
,,,,,,,
본인 ,,현금 감소 ,"20,000",0,"15,000","5,000",소비 
,,,,,,,
▶ 예금(소계) ,"335,608","58,172","82,196","311,584",,,
,,,,,,,
본인 ,,"미래에셋생명보험 18,000, 미래에셋대우(주) 2, 우리은행 174, 삼성생명보험 40,273, 신한은행 21, 울산중앙신협 2,739, 농협은행 8,187(4,599 증가), 농협중앙회 2,124(2 증가), 울산중앙신협 60(60 증가), 경남은행 9,644(4,247 증가), 울산중부 0(37,500 감소), 울산중부 4,500(4,500 증가), 교보생명보험 6,996, 신용협동조합중앙회 신용공제사업부 37,839(2,743 증가), 울산중앙 681(14 증가) ","152,575","16,179","37,514","131,240","적금 해지로 대출금 상환, 생활비 소비 "
,,,,,,,
배우자 ,,"DB손해보험(주) 4,192(559 증가), 흥국생명보험 5,426(388 증가), 울산중앙신협 5,115(5,000 증가), 국민은행 17,114(2,929 감소), 삼성생명보험 11,334, 신한은행 48,553(3,061 증가), 울산중부 666(7 증가), 울산중앙신협 19,242(7,758 감소) ","113,314","39,196","40,868","111,642","적금 해지로 대출금 상환, 생활비 소비 "
,,,,,,,
장남 ,,"중소기업은행 2, 경남은행 1,295(2,978 감소), 에이비엘생명보험 28,134, DB생명보험(주) 37,572(2,232 증가), KB증권 27(7 증가), 우리은행 1,063(117 증가), (주)KEB하나은행 379(395 감소), 울산중앙신협 230 ","69,719","2,797","3,814","68,702",
,,,,,,,
▶ 유가증권(소계) ,"18,627",0,"7,826","10,801",,,
,,,,,,,
장남 ,상장주식 ,"한일진공 9,272주(2,690주 증가) ","18,627",0,"7,826","10,801",가액변동 
,,,,,,,
▶ 채무(소계) ,"495,212","20,000","109,443","405,769",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 29,867(17,476 감소), 농협은행 80,000(10,000 감소), 경남은행 41,663(54,513 감소) ","233,519","20,000","101,989","151,530",리스비상환및
,,,,,,,급여 등으로 일부상환 
,,,,,,,
장남 ,,사인간채무 ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
장남 ,금융기관채무 ,"경남은행 184,239(7,454 감소), 에이비엘생명보험 20,000 ","211,693",0,"7,454","204,239",일부 상환 
,,,,,,,
▶ 회원권(소계) ,"27,500",0,0,"27,500",,,
,,,,,,,
배우자 ,콘도미니엄 ,쌍방울 개발 ,"27,500",- ,- ,"27,500",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"342,327",0,"342,327",0,,,
,,,,,,,
차남 ,,고지거부 ,"342,327",0,"342,327",0,독립생계유지 
,,,,,,,
손자2 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자3 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,087,630","272,826","582,836","777,620","증 감 액 : -310,010천원 (가액변동: 6,724천원) ",,
,,,,,,,
