소속 ,국회 ,직위 ,국회의원 ,성명 ,정동영 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"70,182","1,730",0,"71,912",,,
,,,,,,,
본인 ,전 ,전라북도 순창군 구림면 율북리 391-1번지 762.00m² ,"3,855",0,0,"3,855",가액변동 없음 
,,,,,,,
본인 ,전 ,전라북도 순창군 구림면 율북리 388번지 357.00m² ,"1,392",0,0,"1,392",가액변동 없음 
,,,,,,,
본인 ,임야 ,"전라북도 순창군 구림면 율북리 산 49번지 68,648.00m² ","38,580",823,0,"39,403",가액변동 
,,,,,,,
본인 ,임야 ,"전라북도 순창군 구림면 율북리 산 47번지 29,873.00m² ","17,147",358,0,"17,505",가액변동 
,,,,,,,
본인 ,대지 ,전라북도 순창군 구림면 율북리 531-1번지 360.00m² ,"2,739",281,0,"3,020",가액변동 
,,,,,,,
본인 ,임야 ,"전라북도 임실군 덕치면 사곡리 산 144-1번지 10,005.00m² 중 3,335.00m² ","6,469",267,0,"6,736",가액변동 
,,,,,,,
본인 ,도로 ,전라북도 순창군 구림면 율북리 391-5번지 33.00m² ,0,1,0,1,가액변동 
,,,,,,,
▶ 건물(소계) ,"1,834,376","1,240,000","650,000","2,424,376",,,
,,,,,,,
본인 ,빌딩 전세(임차)권 ,서울특별시 영등포구 여의도동 정원빌딩 건물 208.00m² ,"20,000",0,0,"20,000",변동 없음 
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 도곡동 도곡한신아파트 건물 643.26m² 중 116.24m² ,"816,000","120,000",0,"936,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,전라북도 전주시 덕진구 송천동1가 송천4차아파트 건물 0.00m² (건물 178.71m² 감소) ,"300,000",0,"300,000",0,전세기간 만료 
,,,,,,,
본인 ,사무실 전세(임차)권 ,전라북도 전주시 덕진구 진북동 건물 137.04m² ,"10,000",0,0,"10,000",변동 없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,전라북도 전주시 덕진구 송천동2가 에코시티 더샵 1차아파트 건물 84.93m² (건물 84.93m² 증가) ,- ,"220,000",0,"220,000",전세권 신규 계약 
,,,,,,,
배우자 ,상가 ,"경기도 고양시 일산서구 주엽동 대지 44,489.70m² 중 46.20m² 건물 34,730.00m² 중 71.17m² ","142,376",0,0,"142,376",가액변동 없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 영등포구 여의도동 진주아파트 건물 0.00m² (건물 63.83m² 감소) ,"350,000",0,"350,000",0,전세기간 만료 
,,,,,,,
배우자 ,복합건물(주 택+상가) 전세(임차)권 ,서울특별시 영등포구 여의도동 여의도금호리첸시아 건물 119.21m² (건물 119.21m² 증가) ,- ,"900,000",0,"900,000",전세권 신규 계약 
,,,,,,,
장남 ,아파트 ,경기도 화성시 반월동 신영통현대타운 건물 158.75m² 중 158.75m² (건물 지분면적82.04m² 증가) ,"196,000",0,0,"196,000",가액변동 없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"49,360",0,"7,160","42,200",,,
,,,,,,,
본인 ,자동차 ,"2007년식 그랜저TG 아제라 배기량(3,300cc) ","8,190",0,"1,300","6,890",가액변동 
,,,,,,,
본인 ,자동차 ,"2017년식 더 뉴 모하비 4WD(다인승2종_지프) 배기량(2,959cc) ","41,170",0,"5,860","35,310",가액변동 
,,,,,,,
▶ 예금(소계) ,"229,917","131,338","29,083","332,172",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 1, KB증권 3, 송천 523(14 증가), 농협은행 50,020(18,294 증가), 동부 529(16 증가), 금암 521(12 증가), 한화생명보험 16,656, (주)KEB하나은행 11,651(10 증가), DB손해보험(주) 0(100 감소), 교보생명보험 19,221 ","80,879","43,325","25,079","99,125",급여로 예금 증가 
,,,,,,,
배우자 ,,"(주)KEB하나은행 332(332 증가), 국민은행 640(1 증가), 삼성생명보험 84,809(6,348 증가), 한화손해보험 19,545(2,398 증가), 우리은행 2,540(2,958 감소), 한화생명보험 36,663(6,028 증가), 농협은행 4,124(4,124 증가), 신영증권 50 ","132,430","19,519","3,246","148,703",
,,,,,,,
장남 ,,"삼성증권 2, 한국투자증권 6, 우리은행 2,200(260 증가), (주)KEB하나은행 64,238(56,726 증가), 국민은행 10,548(10,548 증가), 미래에셋대우(주) 1, NH투자증권 5,094 ","14,555","68,234",700,"82,089",
,,,,,,,
차남 ,,"미래에셋대우(주) 1, 농협은행 4, (주)KEB하나은행 50(58 감소), 우리은행 2,200(260 증가) ","2,053",260,58,"2,255",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"17,484","56,032",0,"73,516",,,
,,,,,,,
본인 ,,"농협중앙회 73,516(56,032 증가) ","17,484","56,032",0,"73,516",후원회에서 기부(2019년 1월 의정 보고서 제작비용으로 지불 예정) 
,,,,,,,
▶ 채무(소계) ,"1,023,862","460,000","3,610","1,480,252",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 30,000(30,000 증가) ",0,"30,000",0,"30,000",민주평화당 특별당비 납부 (정치자금계좌에서원금상환예정) 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 도곡동 도곡한신아파트 임대보증금 ,"750,000",0,0,"750,000",변동 없음 
,,,,,,,
배우자 ,,사인간채무 증가 ,"20,000","230,000",0,"250,000",아파트 전세자금 
,,,,,,,
배우자 ,금융기관채무 ,"농협은행 200,000(200,000 증가) ",0,"200,000",0,"200,000",아파트 전세자금 
,,,,,,,
배우자 ,건물임대채무 ,경기도 고양시 일산서구 주엽동 임대보증금 ,"10,000",0,0,"10,000",변동 없음 
,,,,,,,
장남 ,,사인간채무 ,"100,000",0,0,"100,000",변동 없음 
,,,,,,,
장남 ,금융기관채무 ,"(주)KEB하나은행 90,252(3,610 감소) ","93,862",0,"3,610","90,252",급여로 변제 
,,,,,,,
장남 ,건물임대채무 ,경기도 화성시 반월동 신영통현대타운 임대보증금 ,"50,000",0,0,"50,000",변동 없음 
,,,,,,,
▶ 회원권(소계) ,"20,000",0,0,"20,000",,,
,,,,,,,
본인 ,헬스 ,인터내셔날클럽매니지먼트그룹,"20,000",- ,- ,"20,000",가액변동 없음 
,,,,,,,
총계 ,"1,197,457","969,100","682,633","1,483,924","증 감 액 : 286,467천원 (가액변동: 114,570천원) ",,
,,,,,,,
