소속 ,국회 ,직위 ,국회의원 ,성명 ,정병국 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"346,720","9,196",0,"355,916",,,
,,,,,,,
본인 ,임야 ,"경기도 양평군 개군면 부리 산 7번지 8,431.00m² ","73,855",422,0,"74,277",가액변동 
,,,,,,,
본인 ,임야 ,"경기도 양평군 개군면 부리 산 7-1번지 7,866.00m² ","67,175",472,0,"67,647",가액변동 
,,,,,,,
본인 ,임야 ,경기도 양평군 개군면 부리 산 7-3번지 186.00m² ,"1,255",13,0,"1,268",가액변동 
,,,,,,,
본인 ,임야 ,경기도 양평군 개군면 부리 83번지 169.00m² ,"17,373",794,0,"18,167",가액변동 
,,,,,,,
본인 ,전 ,경기도 양평군 개군면 부리 80번지 248.00m² ,"10,639",248,0,"10,887",가액변동 
,,,,,,,
본인 ,전 ,경기도 양평군 개군면 부리 85-1번지 833.00m² ,"36,818",916,0,"37,734",가액변동 
,,,,,,,
본인 ,답 ,경기도 양평군 개군면 부리 34번지 503.00m² ,"11,719",554,0,"12,273",가액변동 
,,,,,,,
배우자 ,임야 ,경기도 양평군 개군면 내리 353-1번지 656.00m² ,"15,809",722,0,"16,531",가액변동 
,,,,,,,
배우자 ,임야 ,경기도 양평군 개군면 내리 354번지 231.11m² ,"5,569",254,0,"5,823",가액변동 
,,,,,,,
배우자 ,도로 ,경기도 양평군 개군면 내리 353-2번지 0.40m² ,4,0,0,4,가액변동 없음 
,,,,,,,
배우자 ,답 ,경기도 양평군 개군면 부리 77-4번지 56.00m² ,756,16,0,772,가액변동 
,,,,,,,
배우자 ,창고용지 ,경기도 양평군 개군면 부리 77-3번지 957.00m² ,"105,748","4,785",0,"110,533",가액변동 
,,,,,,,
▶ 건물(소계) ,"622,582","14,000",144,"636,438",,,
,,,,,,,
배우자 ,단독주택 ,경기도 양평군 개군면 부리 대지 660.00m² 건물 193.00m² ,"119,000","4,000",0,"123,000",가액변동 
,,,,,,,
배우자 ,기타 전세(임차)권 ,서울특별시 종로구 신교동 건물 238.75m² ,"500,000",0,0,"500,000",변동없음 
,,,,,,,
배우자 ,기타 ,경기도 양평군 개군면 부리 건물 18.00m² ,"3,582",0,144,"3,438",가액변동 
,,,,,,,
배우자 ,근린생활시설 전세(임차)권 ,서울특별시 종로구 이화동 목인헌 건물 19.20m² (건물 19.20m² 증가) ,- ,"10,000",0,"10,000",신규전세 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"17,220",0,"3,850","13,370",,,
,,,,,,,
본인 ,자동차 ,"2011년식 카니발리무진 배기량(3,500cc) ","17,220",0,"3,850","13,370",가액변동 
,,,,,,,
▶ 예금(소계) ,"288,613","45,456","10,049","324,020",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 145,488(9,329 증가), 양동신협 849, NH투자증권 1,542(132 증가), 농협은행 519(507 증가), 국민은행 310, 양동신협 410(410 증가) ","138,740","10,380",2,"149,118",급여저축 
,,,,,,,
배우자 ,,"대신증권 718, (주)KEB하나은행 0(123 감소), 한화투자증권 80(1 증가), 푸르덴셜생명보험 84,511(3,456 증가), 국민은행 13,453(5,278 증가), 현대해상화재보험 2,129(435 증가), 삼성생명보험 14,951(6,197 감소), 신한은행 271(98 감소), 삼성증권 157(1 증가), 씨티은행 5, AIA생명보험 9,306(8,643 증가), 한화생명보험 4,530, 라이나생명보험 548(201 증가) ","119,062","19,396","7,799","130,659",
,,,,,,,
장녀 ,,신한은행 410 ,410,0,0,410,
,,,,,,,
장남 ,,"신한은행 93, Bank of America 43,740(13,432 증가) ","30,401","15,680","2,248","43,833",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"3,273",0,"2,767",506,,,
,,,,,,,
본인 ,,"농협은행 506(2,767 감소) ","3,273",0,"2,767",506,후원금감소 
,,,,,,,
▶ 유가증권(소계) ,"6,206",0,477,"5,729",,,
,,,,,,,
본인 ,상장주식 ,KT&G 34주 ,"3,927",0,476,"3,451",보유주식 평가액 감소 
,,,,,,,
본인 ,비상장주식 ,한겨레 100주 ,500,0,0,500,
,,,,,,,
배우자 ,상장주식 ,"대우건설 2주, 대우인터내셔널 1주 ",29,0,1,28,
,,,,,,,
배우자 ,비상장주식 ,"(주)짐월드, 기명식보통주 3,500주 ","1,750",0,0,"1,750",
,,,,,,,
▶ 채무(소계) ,"726,370","172,473","90,464","808,379",,,
,,,,,,,
본인 ,금융기관채무 ,"푸르덴셜생명보험 25,628(25,628 증가), 농협은행 99,892(985 증가) ","98,907","26,613",0,"125,520",생활비 
,,,,,,,
배우자 ,,사인간채무 증가 ,"554,000","105,000","52,000","607,000",신규사업자금 및 악기대금 
,,,,,,,
배우자 ,금융기관채무 ,"푸르덴셜생명보험 40,860(40,860 증가), 삼성생명보험 0(1,130 감소), 신한은행 34,999(37,334 감소) ","73,463","40,860","38,464","75,859",사인간채무 일부상환 
,,,,,,,
▶ 골동품 및 예술품(소계) ,"63,000","50,000",0,"113,000",,,
,,,,,,,
배우자 ,,"회화 (김종학 화백 그림(80호), 145*90Cm, 김종학, 2006) ","50,000",- ,- ,"50,000",가액변동없음 
,,,,,,,
배우자 ,,"하프 (LYON AND HEALY(#23 GOLD), 2017.06.09) 증가 ","13,000","50,000",0,"63,000",잔금납부 
,,,,,,,
▶ 합명.합자.유한회사 출자지분(소계) ,0,"20,000",0,"20,000",,,
,,,,,,,
배우자 ,출자 ,"코케비, 출자가액: 20,000천원(20,000천원 증가), 지분비율: 100%(100.0% 증가), 연간매출액: 22,630천원(22,630천원 증가) ",- ,"20,000",0,"20,000",신규사업 
,,,,,,,
총계 ,"621,244","-33,821","-73,177","660,600","증감액:39,356천원 (가액변동: 8,725천원) ",,
,,,,,,,
