소속 ,국회 ,직위 ,국회의원 ,성명 ,정성호 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"79,202",313,0,"79,515",,,
,,,,,,,
본인 ,잡종지 ,"경기도 연천군 중면 210번지 10,172.00m² 중 10,172.00m² ","73,950",0,0,"73,950",가액변동 
,,,,,,,
본인 ,임야 ,"경기도 연천군 왕징면 산 123번지 10,017.00m² 중 1,488.00m² ","5,252",313,0,"5,565",가액변동 
,,,,,,,
▶ 건물(소계) ,"658,441","109,742","48,000","720,183",,,
,,,,,,,
본인 ,아파트 ,경기도 의정부시 신곡동 신곡은하수아파트 건물 134.73m² ,"196,000","5,000",0,"201,000",가액변동 
,,,,,,,
본인 ,사무실 ,경기도 의정부시 가능동 법전빌딩 대지 30.26m² 건물 65.70m² ,"98,441",742,0,"99,183",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 양주시 덕계동 나라빌딩 8층 건물 264.00m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
배우자 ,아파트 ,경기도 양주시 덕정동 주공4단지아파트 건물 107.90m² ,"156,000","4,000",0,"160,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경기도 양주시 고암동 중흥에스클래스아파트 건물 139.55m² ,"140,000",0,0,"140,000",변동없음 
,,,,,,,
차녀 ,오피스텔 전세(임차)권 ,"경기도 수원시 영통구 매탄동 조원빌 대지 0.00m² 건물 0.00m² (대지 449.00m² 감소, 건물 29.50m² 감소) ","48,000",0,"48,000",0,계약만료 
,,,,,,,
차녀 ,오피스텔 전세(임차)권 ,경기도 수원시 팔달구 인계동 효원파크스테이 건물 25.43m² (건물 25.43m² 증가) ,- ,"100,000",0,"100,000",신규계약 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"57,600",0,"8,680","48,920",,,
,,,,,,,
배우자 ,자동차 ,"2017년식 G80 3.3 배기량(3,342cc) ","57,600",0,"8,680","48,920",가액변동 
,,,,,,,
▶ 예금(소계) ,"2,152,821","1,132,562","1,113,105","2,172,278",,,
,,,,,,,
본인 ,,"현대해상화재보험 3,889(833 증가), 하나생명보험 24,841 (10,279 증가), 신한은행 987(61 증가), 신용협동조합중앙회 118, DB금융투자 6,390(4,294 증가), 농협은행 4,622(4,339 증가),한화투자증권81,양주중앙신협 30,000,신한생명보험 30,000, 한화생명보험 56,484, 농협중앙회 177,021(13,861 감소), 국민은행 8,444(4,023 증가), (주)KEB하나은행 2,407(800 증가), 한국투자증권 20, 양주신협 115(3 증가) ","334,648","207,226","196,455","345,419","급여저축및생활비지출, 자녀학비 지출 등 "
,,,,,,,
배우자 ,,"DB손해보험(주) 14,029(2,769 증가), (주)KEB하나은행 73,230 (64,635 증가), 한화투자증권 86(3 증가), 케이디비생명보험 20,100(3,600 증가), KB생명보험 120,080, 양주 51,000(1,000 증가), 국민은행 1,044,371(157,294 감소), KB증권 1, 우체국 19,933(2,860 증가), 농협중앙회 103,822(1,356 증가), 중소기업은행 51, 양주 18(6 증가), DB금융투자 61,510(1,334 증가), 신용협동조합중앙회 110, 신한생명보험 12,997(1,902 증가), 농협손해보험 9,000(1,200 증가), 믿음신협 393(2 증가), 양주중앙신협 50,000(20,000증가),한국투자증권1 ","1,637,359","756,745","813,372","1,580,732","급여저축및생활비지출, 자녀학비 지출 등 "
,,,,,,,
장녀 ,,"양주중앙신협 100, 국민은행 1,145(1,025 증가), (주)KEB하나 은행 2,400(800 증가), 양주중앙신협 40,000, 믿음신협 44(1 증가) ","41,863","41,826","40,000","43,689",
,,,,,,,
차녀 ,,"국민은행 6,502(2,101 감소), 우리은행 3,824(524 감소), 삼성화재해상보험 3,674(1,733 증가), 키움닷컴증권 1, 삼성전자 4,000(4,000 증가), 농협중앙회 30,000, 삼성전자 32,583(1,043 증가), 케이뱅크 79,308(58,775 증가) ","96,966","85,931","23,005","159,892",
,,,,,,,
장남 ,,"신한은행 2, 양주중앙신협 100, 양주중앙신협 40,000, 한국카카오은행(주) 34(34 증가), 우리은행 9(273 감소), (주)KEB하나은행 2,400(800 증가), 키움닷컴증권 1 ","41,985","40,834","40,273","42,546",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"223,484","157,663",0,"381,147",,,
,,,,,,,
본인 ,,"농협은행 381,147(157,663 증가) ","223,484","157,663",0,"381,147",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"338,490","344,340","338,490","344,340",,,
,,,,,,,
본인 ,국채 ,"물가01500-2106 300,000,000주 ","338,490","344,340","338,490","344,340",평가액 변동 
,,,,,,,
▶ 채권(소계) ,"500,000",0,0,"500,000",,,
,,,,,,,
본인 ,,사인간채권 ,"500,000",0,0,"500,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"248,993","222,519","22,634","448,878",,,
,,,,,,,
본인 ,금융기관채무 ,"신한은행 26,359(2,634 감소), 농협은행 12,020(12,020 증가) ","28,993","12,020","2,634","38,379",일부상환후재대출등 
,,,,,,,
본인 ,건물임대채무 ,경기도 의정부시 신곡동 신곡은하수아파트 임대보증금 증가 ,"20,000","210,000","20,000","210,000",신규 전세보증금 증가 
,,,,,,,
본인 ,건물임대채무 ,경기도 의정부시 가능동 법전빌딩 임대보증금 ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,경기도 양주시 덕정동 주공4단지아파트 임대보증금 ,"170,000",0,0,"170,000",변동없음 
,,,,,,,
장남 ,금융기관채무 ,한국카카오은행(주) 499(499 증가) ,0,499,0,499,신규 채무 
,,,,,,,
총계 ,"3,761,045","1,522,101","1,485,641","3,797,505","증감액:36,460천원 (가액변동: 1,375천원) ",,
,,,,,,,
