소속 ,국회 ,직위 ,국회의원 ,성명 ,정세균 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"3,142,315",0,0,"3,142,315",,,
,,,,,,,
배우자 ,임야 ,"경상북도 포항시 북구 장성동 산 232번지 64,790.00m² ","3,142,315",0,0,"3,142,315",
,,,,,,,
▶ 건물(소계) ,"1,738,102","96,000","238,102","1,596,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 마포구 상수동 신구강변연가아파트 건물 152.30m² ,"800,000","96,000",0,"896,000",가액변동 
,,,,,,,
본인 ,빌딩 전세(임차)권 ,서울특별시 종로구 종로6가 금자탑빌딩 5층 건물 145.44m² ,"20,000",- ,- ,"20,000",
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 종로구 사직동 광하문 풍림 스페이스본 건물 104.00m² ,"680,000",- ,- ,"680,000",
,,,,,,,
배우자 ,오피스텔 ,서울특별시 마포구 상수동 동방리버하임 건물 0.00m² (건물 106.50m² 감소) ,"238,102",0,"238,102",0,매각 
,,,,,"-649,000",,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"13,750","77,500","13,750","77,500",,,
,,,,,,,
본인 ,자동차 ,"2018년식 EQ900 배기량(3,800cc) 증가 ",0,"77,500",0,"77,500",신규 구매 
,,,,"-77,500",,,
,,,,,,,
배우자 ,자동차 ,"2010년식 제네시스 배기량(3,342cc) 감소 ","13,750",0,"13,750",0,매각 
,,,,,"-7,000",,
,,,,,,,
▶ 예금(소계) ,"78,531","675,152","3,365","750,318",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 1(1 증가), 진안 14(14 증가), 삼성생명 보험 1,185, 우리은행 445(200 감소), KB증권 1(1 증가), 농협은행 30,239(29,483 증가), 한화투자증권 1(1 증가), 유안타증권 1(1 증가), 국민은행 4,097(1,504 감소), (주)KEB 하나은행 1,388(1,569 감소), 농협중앙회 33(33 증가), 교보생명보험 60,000, SK증권 14(14 증가), 유진투자증권 5 (5 증가) ","71,144","29,645","3,365","97,424",급여저축 및 부동산매각대금 
,,,,,,,
배우자 ,,"국민은행 646,670(639,283 증가), 농협은행 6,224(6,224 증가) ","7,387","645,507",0,"652,894",
,,,,,,,
▶ 채무(소계) ,"599,961","100,000","95,154","604,807",,,
,,,,,,,
본인 ,,사인간채무 증가 ,"424,807","100,000",0,"524,807",금융기관채무 상환 위한 차용 
,,,,,,,
본인 ,금융기관채무 ,"농협중앙회 0(75,154 감소) ","75,154",0,"75,154",0,상환 
,,,,,,,
배우자 ,,사인간채무 ,"80,000",0,0,"80,000",
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 마포구 상수동 동방리버하임 임대보증금 감소 ,"20,000",0,"20,000",0,매각에 의한 상환 
,,,,,,,
▶ 비영리법인에 출연한 재산 ,,,,,,,
,,,,,,,
본인 ,출연 ,"(사단법인)미래농촌연구회, 출연재산: 95,600천원, 보유직위: 이사장 ",- ,- ,- ,- ,
,,,,,,,
본인 ,출연 ,"(사)미래농촌연구회, 출연재산: 10,586천원, 보유직위: 이사장 ",- ,- ,- ,- ,
,,,,,,,
총계 ,"4,372,737","748,652","160,063","4,961,326","증 감 액 : 588,589천원 (가액변동: 96,000천원) ",,
,,,,,,,
