소속 ,국회 ,직위 ,국회의원 ,성명 ,김광림 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"176,374","18,816","1,806","193,384",,,
,,,,,,,
본인 ,잡종지 ,"강원도 강릉시 안현동 94-147번지 2,977.00m² 중 396.85m² ","65,480","7,937",0,"73,417",평가금액 증가 
,,,,,,,
본인 ,임야 ,"경상북도 안동시 도산면 단천리 684번지 2,231.00m² ",591,73,0,664,평가금액 증가 
,,,,,,,
본인 ,대지 ,경상북도 안동시 도산면 단천리 685번지 350.00m² ,892,0,112,780,평가금액 감소 
,,,,,,,
본인 ,대지 ,경상북도 안동시 도산면 단천리 687번지 255.00m² ,805,0,102,703,평가금액 감소 
,,,,,,,
본인 ,전 ,"경상북도 안동시 도산면 단천리 688번지 3,557.00m² ","7,896",0,996,"6,900",평가금액 감소 
,,,,,,,
본인 ,전 ,"경상북도 안동시 도산면 단천리 689번지 2,129.00m² ","4,726",0,596,"4,130",평가금액 감소 
,,,,,,,
본인 ,전 ,"경상북도 안동시 도산면 단천리 692번지 22,342.00m² ","49,152","4,468",0,"53,620",평가금액 증가 
,,,,,,,
본인 ,전 ,"경상북도 안동시 도산면 단천리 697번지 1,056.00m² ","2,323",211,0,"2,534",평가금액 증가 
,,,,,,,
본인 ,임야 ,"경상북도 안동시 도산면 단천리 698번지 1,176.00m² ",301,37,0,338,평가금액 증가 
,,,,,,,
본인 ,대지 ,경상북도 안동시 도산면 단천리 690번지 615.00m² ,"3,056",344,0,"3,400",평가금액 증가 
,,,,,,,
배우자 ,임야 ,"강원도 강릉시 성산면 위촌리 산 152번지 15,273.00m² 중 3,818.25m² ","12,332","1,833",0,"14,165",평가금액 증가 
,,,,,,,
배우자 ,임야 ,"강원도 강릉시 성산면 위촌리 산 163번지 5,752.00m² 중 1,438.00m² ","4,242",934,0,"5,176",평가금액 증가 
,,,,,,,
배우자 ,잡종지 ,"강원도 강릉시 안현동 94-147번지 2,977.00m² 중 148.96m² ","24,578","2,979",0,"27,557",평가금액 증가 
,,,,,,,
▶ 건물(소계) ,"4,767,031","165,476","7,000","4,925,507",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 서초동 현대슈퍼빌 건물 108.08m² ,"720,000","20,000",0,"740,000",평가금액 증가 
,,,,,,,
본인 ,아파트 ,경상북도 안동시 동부동 한양아파트 건물 83.46m² ,"93,000",0,"7,000","86,000",평가금액 감소 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상북도 안동시 당북동 선메디컬빌딩 4층 건물 401.59m² ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 서초동 현대슈퍼빌 건물 108.08m² ,"720,000","20,000",0,"740,000",평가금액 증가 
,,,,,,,
배우자 ,상가 ,서울특별시 종로구 관훈동 대지 56.53m² 건물 57.41m² ,"1,180,903","125,476",0,"1,306,379",평가금액 증가 
,,,,,,,
배우자 ,빌딩 ,서울특별시 종로구 관훈동 대지 313.30m² 중 125.32m² 건물 745.50m² 중 298.20m² ,"1,953,128",0,0,"1,953,128",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"13,740",0,"2,120","11,620",,,
,,,,,,,
배우자 ,자동차 ,"2011년식 그랜저HG 배기량(2,999cc) ","13,740",0,"2,120","11,620",평가금액 감소 
,,,,,,,
▶ 예금(소계) ,"1,412,373","172,070","746,554","837,889",,,
,,,,,,,
본인 ,,"우리은행 39,204(66,692 감소), 현대라이프생명보험 5,400(650 증가), 새마을금고 1,070(20 증가), 백암 2,291(41 증가), 농협은행 68,132(664,451 감소), 한화투자증권 4, 한화생명보험 25,600, 국민은행 5,000, (주)KEB하나은행 189, 농협중앙회 8, 동양생명보험 100,000, 안동중앙신협 211, 오렌지라이프생명보험 102,865(102,865 증가), 용상 1,158(22 증가), 중앙 1,156(21 증가), 명신 1,079(18 증가) ","980,873","103,637","731,143","353,367","정치자금 차입, 사인간 채권 증가, 급여저축 "
,,,,,,,
배우자 ,,"한국증권금융 11, DB손해보험(주) 50,000, 에이비엘생명보험 47,000(5,500 증가), 유진투자증권 57, 삼성생명보험 31,826, 삼성증권 13, (주)KB손해보험 3,210(2,190 증가), 우리은행 200,805(44,682 증가), 한화생명보험 146,200, 현대라이프생명보험 5,400(650 증가) ","431,500","68,433","15,411","484,522",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"12,263","74,477",0,"86,740",,,
,,,,,,,
본인 ,,"농협은행 86,740(74,477 증가) ","12,263","74,477",0,"86,740",후원회기부금 증가 
,,,,,,,
▶ 채권(소계) ,"2,930,000","710,000","80,000","3,560,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,"280,000","710,000","80,000","910,000","정치자금 차입, 사인간 채권 신규, 사인간 채권 환수 "
,,,,,,,
배우자 ,,사인간채권 ,"2,650,000",0,0,"2,650,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"3,680,000","400,000","480,000","3,600,000",,,
,,,,,,,
배우자 ,,사인간채무 증가 ,"80,000","400,000","80,000","400,000","사인간 채무 신규, 사인간 채무 상환 "
,,,,,,,
배우자 ,금융기관채무 ,"우리은행 3,100,000(400,000 감소) ","3,500,000",0,"400,000","3,100,000",일부 상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 종로구 관훈동 임대보증금 ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"1,317,669",0,"1,317,669",0,,,
,,,,,,,
장남 ,,고지거부 ,"1,317,669",0,"1,317,669",0,독립생계유지 
,,,,,,,
총계 ,"6,949,450","740,839","1,675,149","6,015,140","증 감 액 : -934,310천원 (가액변동: 173,366천원) ",,
,,,,,,,
