소속 ,국회 ,직위 ,국회의원 ,성명 ,정양석 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"123,500",0,0,"123,500",,,
,,,,,,,
본인 ,임야 ,"경기도 광주시 퇴촌면 관음리 106-9번지 1,840.00m² 중 920.00m² ","123,500",0,0,"123,500",가액변동 없음 
,,,,,,,
▶ 건물(소계) ,"296,000",0,0,"296,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강북구 번동 금호아파트 건물 114.08m² ,"251,000",0,0,"251,000",가액변동 없음 
,,,,,,,
장녀 ,다가구주택 전세(임차)권 ,경기도 고양시 일산동구 중산동 건물 20.00m² ,"45,000",0,0,"45,000",변동 없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"7,600",0,0,"7,600",,,
,,,,,,,
본인 ,자동차 ,"2012년식 쏘울 배기량(1,600cc) ","7,600",- ,- ,"7,600",가액변동 없음 
,,,,,,,
▶ 예금(소계) ,"1,063,845","494,060","449,554","1,108,351",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 24,386(7,407 감소), 현대해상화재보험 600, 삼성생명보험 48,447(3,092 증가), 중소기업은행 102,159(9,958 증가), NH투자증권 0(97,216 감소), 농협은행 6,735(5,506 증가), (주)KB손해보험 9,300(1,800 증가), 국민은행 3,000, 삼양신협 12(1 증가), 라이나생명보험 8,813, 한국투자증권 44,661(114,512 감소), 교보생명보험 23,400(2,400 증가) ","467,891","38,541","234,919","271,513","본인, 배우자, 자녀의 급여 및 금융소득 증가 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 21,924(6,289 증가), DB손해보험(주) 3,304(593 증가), 하나금융투자 6,600(4,709 증가), 웰컴저축은행 0(39,000 감소), 미래에셋대우(주) 221,320(181,092증가),아주저축은행 35,158(35,158 증가), NH투자증권 93,610(83,420 증가), 상호저축은행중앙회 33,500(6,000 증가), DB생명보험(주) 8,865(626 증가), 한화생명보험 27,984(1,166 증가), 신한생명보험 3,864, 신한금융투자(주) 19(15,086 감소), 한국투자증권 699(474 증가) ","191,406","325,337","59,896","456,847",
,,,,,,,
장남 ,,"중소기업은행 18,000(6,000 증가), 신한은행 21(2,198 감소), 유진투자증권 0(58 감소), 한국투자증권 10,226(51,654 감소), 국민은행 56,810(18,000 증가), (주)KEB하나은행 14,760(4,690 증가), 미래에셋대우(주) 34,871(1,573 증가), 농협은행 1, NH투자증권 54,266(14,951 감소), DB손해보험(주) 1,514(220 증가) ","228,847","44,861","83,239","190,469","본인, 배우자, 자녀의 급여 및 금융소득 증가 "
,,,,,,,
장녀 ,,"(주)KEB하나은행 2,260(240 증가), 한국교직원공제회 20,876(7,524 증가), 아주저축은행 10(10 증가), DB손해 보험(주) 1,329(201 증가), 미래에셋대우(주) 94,519(10,465 감소), 웰컴저축은행 0(39,000 감소), 스탠다드차타드은행 833(2,323 감소), 우리은행 0(33 감소), 한국투자증권 10,226(1,802 감소), NH투자증권 59,469(59,469 증가) ","175,701","85,321","71,500","189,522",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"2,151",124,0,"2,275",,,
,,,,,,,
본인 ,,"중소기업은행 2,275(124 증가) ","2,151",124,0,"2,275",정치후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"68,918","45,503","20,239","94,182",,,
,,,,,,,
본인 ,회사채 ,"효성캐피탈138 0주(393주 감소), 애큐온캐피탈117-1 125주(125주 증가) ",393,127,393,127,"회사채, 유가증권 투자 및 평가액 증가 "
,,,,,,,
배우자 ,상장주식 ,"두산중공업 0주(200주 감소), GS 275주(275주 증가), 녹십자홀딩스 328주(328주 증가), 기아차 100주(5주 증가), 코오롱글로벌 359주(574주 감소), 텍셀네트컴 0주(495주 감소), 유안타증권 0주(23주 감소), 삼성전자 65주(65주 증가), 한화생명 1,684주(1,684주 증가), 한화테크윈 100주, KODEX 중국본토 0주(214주 감소) ","28,590","32,231","19,599","41,222",
,,,,,,,
배우자 ,국채 ,"BNTNF 10 01/01 103,918주 ","35,873","2,744",0,"38,617",
,,,,,,,
배우자 ,회사채 ,"대한항공47-2 967주(967주 증가), 두산인프라코어 149주, 두산인프라코어3 1,200주, 평택도시공사보상(황해-나) 493,000주 ","2,013",950,0,"2,963",
,,,,,,,
장남 ,상장주식 ,"TIGER 중국소비 3주(3주 증가), TIGER KTOP30 0주(1주 감소), 한진칼 0주(2주 감소), TIGER 농산물선 5주(5주 증가), ARIRANG 코스피5 0주(8주 감소), KINDEX 중국본토 40주(40주 증가), ARIRANG 미국나 39주(39주 증가), TIGER 원유선물E 9주(9주 증가), 한화생명 1,715주(1,715주 증가), 현대상선 0주(5주 감소) ",247,"7,771",247,"7,771",
,,,,,,,
장남 ,회사채 ,"효성캐피탈197 429주, 한화건설96 833주(833주 증가), 아주캐피탈322 472주 ",901,840,0,"1,741","회사채, 유가증권 투자 및 평가액 증가 "
,,,,,,,
장녀 ,회사채 ,"아주캐피탈322 472주, 효성캐피탈197 429주, 한화건설96 833주(833주 증가) ",901,840,0,"1,741",
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,562,014","539,687","469,793","1,631,908","증감액:69,894천원 (가액변동: -305천원) ",,
,,,,,,,
