소속 ,국회 ,직위 ,국회의원 ,성명 ,정우택 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,301,875","60,877",0,"1,362,752",,,
,,,,,,,
본인 ,임야 ,"경기도 용인시 처인구 이동면 묘봉리 산 24-1번지 1,971.00m² 중 394.00m² ","8,707",197,0,"8,904",가액변동 
,,,,,,,
본인 ,임야 ,"경기도 용인시 처인구 이동면 묘봉리 산 24번지 60,112.00m² 중 12,022.00m² ","151,477","2,404",0,"153,881",가액변동 
,,,,,,,
본인 ,도로 ,서울특별시 강북구 미아동 760-178번지 24.00m² 중 4.00m² ,"2,336",211,0,"2,547",가액변동 
,,,,,,,
본인 ,도로 ,서울특별시 강북구 미아동 760-179번지 1.00m² 중 0.16m² ,93,8,0,101,가액변동 
,,,,,,,
본인 ,도로 ,서울특별시 강북구 미아동 760-90번지 20.00m² 중 3.30m² ,"1,927",174,0,"2,101",가액변동 
,,,,,,,
본인 ,도로 ,서울특별시 중랑구 상봉동 104-67번지 141.20m² 중 23.50m² ,0,0,0,0,변동없음 
,,,,,,,
본인 ,임야 ,"경기도 여주시 교동 산 4-21번지 156,065.00m² 중 26,010.00m² ","1,128,834","57,222",0,"1,186,056",가액변동 
,,,,,,,
본인 ,임야 ,"충청북도 진천군 문백면 태락리 산 2-1번지 10,025.00m² 중 2,005.00m² ","8,501",661,0,"9,162",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,432,000","1,463,043",0,"2,895,043",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 서초동 아크로비스타 건물 220.55m² 중 154.00m² ,"974,400","112,000",0,"1,086,400",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,충청북도 청주시 상당구 석교동 육거리큰약국 별관2층 건물 165.00m² ,"20,000",0,0,"20,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,충청북도 청주시 상당구 용암동 중흥마을덕일마이빌아파트 건물 75.00m² ,"20,000",0,0,"20,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 서초동 아크로비스타 건물 220.55m² 중 66.00m² ,"417,600","48,000",0,"465,600",가액변동 
,,,,,,,
배우자 ,빌딩 ,"서울특별시 성동구 성수동2가 대지 1,002.30m² 중 216.62m² 건물 2,864.02m² 중 954.67m² (대지 지분면적 216.62m² 증가, 건물 지분면적 954.67m² 증가) ",- ,"1,303,043",0,"1,303,043",증여 
,,,,"(1,303,043",,,
,,,,         ),,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"36,780",0,"2,590","34,190",,,
,,,,,,,
본인 ,자동차 ,"2008년식 제네시스 배기량(3,342cc) ","14,220",0,"2,590","11,630",가액변동 
,,,,,,,
본인 ,자동차 ,"2018년식 EQ900 배기량(3,778cc) ","22,560",- ,- ,"22,560",장기렌터카 보증금 
,,,,,,,
▶ 예금(소계) ,"3,265,850","1,847,178","1,811,303","3,301,725",,,
,,,,,,,
본인 ,,"상진 119(3 증가), 청주중앙신협 114(3 증가), 미래에셋생명보험 79,920, 우리은행 652,242(607,797 증가), 신용협동조합중앙회 489(12 증가), 새마을금고 520(12 증가), DB금융투자 0(110,031 감소), KB증권 11,115(6,366 증가), NH투자증권 50, 농협은행 207,011(27,069 증가), 신한금융투자(주) 3, 진천 131(2 증가), 국민은행 793,171(175,388 감소), 한화생명보험 600,000, 에이비엘생명보험 6,000, 남청주신협 104(2 증가) ","1,995,142","1,472,356","1,116,509","2,350,989","예금이자, 급여저축 및 생활비 사용 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 2, 국민은행 339,151(337,426 감소), KB증권 111,560(4,704 증가), 삼성생명보험 75,719, 신한은행 1,370(9,027 감소), 메트라이프생명보험 84,000, AIA생명보험 16,771(700 증가), 우리은행 69,391(21,077 증가), 현대라이프생명보험 72,772, 한화생명보험 100,000, 교보생명보험 80,000 ","1,270,708","374,822","694,794","950,736",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"87,554",0,"4,137","83,417",,,
,,,,,,,
본인 ,,"농협은행 83,417(4,137 감소) ","87,554",0,"4,137","83,417",정치후원금 감소 및 지출 
,,,,,,,
▶ 유가증권(소계) ,"705,695",0,"305,814","399,881",,,
,,,,,,,
본인 ,국채 ,"BNTNF 1 0주(257주 감소), 물가01000-2606 0주(300,000,000주 감소) ","378,240",0,"297,207","81,033",국채해지후증여세납부 
,,,,,,,
본인 ,비상장주식 ,"대티즌닷컴 178,500주, 수도흥업 11,863주 ","237,815",0,0,"237,815",
,,,,,,,
배우자 ,국채 ,BNTNF 1 0주(257주 감소) ,"89,640",0,"8,607","81,033",
,,,,,,,
▶ 채무(소계) ,0,"64,600",0,"64,600",,,
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 성동구 성수동2가 임대보증금 증가 ,0,"64,600",0,"64,600",임대보증금 
,,,,,,,
▶ 회원권(소계) ,"15,700","1,300",0,"17,000",,,
,,,,,,,
본인 ,골프 ,블루원용인CC 증가 ,"15,700","1,300",0,"17,000",가액변동 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자2 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손녀1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손녀2 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손녀3 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"6,845,454","3,307,798","2,123,844","8,029,408","증 감 액 : 1,183,954천원 (가액변동: 219,587천원) ",,
,,,,,,,
