소속 ,국회 ,직위 ,국회의원 ,성명 ,정운천 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"25,448","3,341",0,"28,789",,,
,,,,,,,
본인 ,전 ,전라남도 해남군 마산면 학의리 322-1번지 730.00m² ,"6,022",394,0,"6,416",가액변동 
,,,,,,,
본인 ,,0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,전 ,"전라남도 해남군 현산면 황산리 109-13번지 5,457.00m² ","19,426","2,947",0,"22,373",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,324,007","21,650","28,407","1,317,250",,,
,,,,,,,
본인 ,공장 ,전라남도 해남군 송지면 어란리 대지 925.00m² 건물 396.00m² ,"28,407",0,"28,407",0,가액변동(합병) 
,,,,,,,
본인 ,단독주택 ,"전라남도 해남군 송지면 어란리 대지 1,256.00m² 건물 461.40m² (대지 925.00m² 증가, 건물 396.00m² 증가) ","15,600","21,650",0,"37,250",가액변동(합병) 
,,,,,,,
본인 ,아파트 전세(임차)권 ,전라북도 전주시 완산구 삼천동1가 삼천동 남양아파트 건물 0.00m² (건물 76.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 개포동 엘지개포자이아파트 건물 134.30m² 중 67.15m² ,"600,000",0,0,"600,000",가액변동없음 
,,,,,,,
본인 ,빌딩 전세(임차)권 ,전라북도 전주시 완산구 효자동2가 춘광빌딩 건물 204.33m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,전라북도 전주시 완산구 효자동2가 서희스타힐스 상가 건물 135.53m² ,0,0,0,0,
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 개포동 엘지개포자이아파트 건물 134.30m² 중 67.15m² ,"600,000",0,0,"600,000",가액변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,전라북도 전주시 완산구 삼천동1가 삼천남양아파트 건물 59.96m² ,"60,000",0,0,"60,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"28,598",0,0,"28,598",,,
,,,,,,,
본인 ,자동차 ,"2016년식 올뉴카니발하이리무진R2.2 배기량(2,199cc) ","10,040",- ,- ,"10,040",가액변동없음 
,,,,,,,
배우자 ,자동차 ,"2015년식 그랜저HG240(가솔린)MODERN 배기량(2,199cc) ","9,288",- ,- ,"9,288",가액변동없음 
,,,,,,,
배우자 ,자동차 ,"2017년식 k7 2.4[가솔린] 배기량(2,359cc) ","9,270",- ,- ,"9,270",가액변동없음 
,,,,,,,
▶ 예금(소계) ,"135,705","25,209","18,820","142,094",,,
,,,,,,,
본인 ,,"전북은행 8, 현대해상화재보험 1,278(1,278 증가), 삼성생명보험 21,557, 우체국 100, 새마을금고 2,800(1,172 감소), 농협은행 5,441(2,270 감소), (주)KB손해보험 5,400(1,440 증가), 국민은행 904(1,221 감소), 농협중앙회 11,668(10,252 증가), 광주은행 222, 교보생명보험 4,140 ","45,211","12,992","4,685","53,518",급여저축 및 생활비 지출 
,,,,,,,
배우자 ,,"(주)KEB하나은행 28, 한화투자증권 1, 현대해상화재보험 13,198 (5,733 증가), 국민은행 6,642(13,238 감소), 메트라이프생명 보험 61,683(4,613 증가), 농협은행 217(887 감소), 우리은행 24 ","85,572","10,347","14,126","81,793",
,,,,,,,
장녀 ,,"국민은행 2(9 감소), 농협은행 6,060(1,150 증가), 현대해상화재보험 720(720 증가), KB증권 1 ","4,922","1,870",9,"6,783",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"56,982",0,"5,578","51,404",,,
,,,,,,,
본인 ,,"새마을금고 51,404(5,578 감소) ","56,982",0,"5,578","51,404",
,,,,,,,
▶ 유가증권(소계) ,"896,940",0,0,"896,940",,,
,,,,,,,
본인 ,비상장주식 ,"케이케이엠씨영농법인 69,154주, 잇실크로드주식회사 80,000주 ","731,540",0,0,"731,540",가액변동 없음 
,,,,,,,
배우자 ,비상장주식 ,"코리아워터텍주식회사 33,080주 ","165,400",0,0,"165,400",
,,,,,,,
▶ 채권(소계) ,"165,000",0,0,"165,000",,,
,,,,,,,
배우자 ,,사인간채권 ,"165,000",0,0,"165,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"466,518","12,900","62,875","416,543",,,
,,,,,,,
본인 ,,사인간채무 ,"60,000",0,0,"60,000",변동없음 
,,,,,,,
본인 ,기타 ,sk네트웍스주식회사 감소 ,"29,400",0,"12,360","17,040",할부납입 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 307,539(36,379 감소), 메트라이프생명보험 12,900(12,900 증가) ","343,918","12,900","36,379","320,439",일부상환 
,,,,,,,
배우자 ,기타 ,sk네트웍스주식회사 감소 ,"10,016",0,"7,512","2,504",할부납입 
,,,,,,,
배우자 ,기타 ,SK네트웍스(주) 감소 ,"23,184",0,"6,624","16,560",할부납입 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"2,166,162","37,300","-10,070","2,213,532","증감액:47,370천원 (가액변동: -25,066천원) ",,
,,,,,,,
