소속 ,국회 ,직위 ,국회의원 ,성명 ,정유섭 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"492,633",0,"22,239","470,394",,,
,,,,,,,
본인 ,임야 ,"인천광역시 서구 불로동 산 197-1번지 7,587.00m² (270.00m² 감소) ","492,633",0,"22,239","470,394",면적정정및가액변동 
,,,,,,,
▶ 건물(소계) ,"1,246,339",0,0,"1,246,339",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 강남구 역삼동 역삼 자이아파트 건물 87.67m² ,"800,000",0,0,"800,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,인천광역시 부평구 부평동 3층 건물 482.30m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,아파트 ,인천광역시 부평구 부평동 래미안부평 건물 114.96m² ,"436,339",0,0,"436,339",가액변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"31,660","37,460","10,420","58,700",,,
,,,,,,,
본인 ,자동차 ,"2006년식 싼타페 배기량(2,188cc) 감소 ","7,120",0,"7,120",0,매도 
,,,,,"-3,000",,
,,,,,,,
본인 ,자동차 ,"2014년식 알페온3.0 DOHC 배기량(2,997cc) ","24,540",0,"3,300","21,240",가액변동 
,,,,,,,
장남 ,자동차 ,"2018년식 이쿼녹스 1.6 LT Exclusive AWD 배기량(1,598cc) 증가 ",0,"37,460",0,"37,460",매입 
,,,,,,,
▶ 예금(소계) ,"3,974,217","777,573","3,500,597","1,251,193",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 4,320(453 증가), 신한은행 0(3,195 감소), 중소기업은행 201, 신용협동조합중앙회 106(3 증가), NH투자 증권 228, 에셋플러스자산운용 19(454,732 감소), 농협은행 11,885(19,500 감소), 한화투자증권 1, 국민은행 298,518 (2,027,276 감소), 한화생명보험 70,485, 에이비엘생명보험 0(22,200 감소), 농협중앙회 13, 수협은행 8(419 감소), 한국투자증권 185, 교보생명보험 0(120,000 감소) ","3,032,835","281,252","2,928,118","385,969",비상장주식 매입 등 
,,,,,,,
배우자 ,,"부일 5,147(126 증가), 미래에셋대우(주) 4,075(371 증가), 새마을금고중앙회 공제사업부 26,136(3,921 증가), 키움닷컴 증권 2, 동양생명보험 24,000, 농협중앙회 0(1,691 감소), 펀드온라인코리아 주식회사 41,248(6,742 감소), NH투자증권 32, 부평중앙 16,955(16,902 증가), 우리은행 454,365(99,301 감소), 한화생명보험 16,415(680 증가), 오렌지라이프생명보험 100,000, 교보생명보험 33,105(6,019 증가), 에셋플러스자산운용 4(4 증가), 미래에셋생명보험 77,200(2,400 증가), 효원상조 520(120 증가)","876,395","478,308","555,499","799,204",
,,,,,,,
,,,,,,,
장남 ,,"신한은행 60, 하나금융투자 1, 부평중앙 1,010(1,010 증가), 우리은행 28,610(16,598 증가), 미래에셋대우(주) 36,339(16,575 감소) ","64,987","18,013","16,980","66,020",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"76,823","13,308",0,"90,131",,,
,,,,,,,
본인 ,,"국민은행 90,131(13,308 증가) ","76,823","13,308",0,"90,131",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"26,498","3,000,301",0,"3,026,799",,,
,,,,,,,
본인 ,비상장주식 ,"코리아익스프레스에어 7,840,000주(7,840,000주 증가) ",0,"3,000,000",0,"3,000,000",비상장주식 매입 
,,,,,,,
장남 ,상장주식 ,셀트리온헬스케 248주(4주 증가) ,"26,498",301,0,"26,799",
,,,,,,,
▶ 채권(소계) ,"1,103,000",0,"350,000","753,000",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"1,103,000",0,"350,000","753,000",일부 및 전액환수 
,,,,,,,
▶ 채무(소계) ,"637,760","670,000","637,760","670,000",,,
,,,,,,,
본인 ,,사인간채무 증가 ,0,"300,000",0,"300,000",비상장주식 매입 
,,,,,,,
본인 ,금융기관채무 ,"국민은행 370,000(370,000 증가) ",0,"370,000",0,"370,000",비상장주식 매입 
,,,,,,,
본인 ,기타 ,국세청 감소 ,"637,760",0,"637,760",0,양도세(토지매각) 전액상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장녀 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차녀 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"6,313,410","3,158,642","3,245,496","6,226,556","증 감 액 : -86,854천원 (가액변동: -3,300천원) ",,
,,,,,,,
