소속 ,국회 ,직위 ,국회의원 ,성명 ,정재호 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"932,000","140,000","11,000","1,061,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 고양시 덕양구 행신동 서정마을 신동아타운하우스 건물 187.00m² ,"380,000","100,000",0,"480,000","17년 전세보증금 인상액 100,000천원 반영 (총 증가액 231,554천원 중 100,000천원은 18년도 증가액) "
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,경기도 고양시 덕양구 행신동 4층 건물 99.83m² ,"5,000",0,0,"5,000",
,,,,,,,
배우자 ,아파트 ,경기도 고양시 일산동구 마두동 강촌우방아파트 건물 195.00m² ,"536,000",0,0,"536,000",
,,,,,,,
모 ,단독주택 ,"경상북도 고령군 쌍림면 산주리 대지 0.00m² 건물 0.00m² (대지 436.00m² 감소, 건물 46.28m² 감소) ","11,000",0,"11,000",0,매도 
,,,,,"-40,000",,
,,,,,,,
모 ,아파트 ,대구광역시 달성군 옥포읍 본리리 세광무지개마을 건물 43.35m² (건물 43.35m² 증가) ,- ,"40,000",0,"40,000",신규매입 
,,,,"-40,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"59,240",0,"9,000","50,240",,,
,,,,,,,
본인 ,자동차 ,"2016년식 카니발 리무진 배기량(3,342cc) ","30,240",- ,- ,"30,240",가액변동없음 
,,,,,,,
배우자 ,자동차 ,"2017년식 LF쏘나타하이브리드 배기량(2,000cc) ","29,000",0,"9,000","20,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"745,361","557,934","376,942","926,353",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 61,399(3,613 증가), 현대해상화재보험 3,918(1,313 증가), 우리은행 71, 삼성생명보험 3,204, 대구은행39,KB증권5,NH투자증권2,고양시산림조합 214(4 증가), 농협은행 18,263(2,959 감소), 신한금융투자(주) 30, (주)KEB하나은행 13,822(153,270 감소), 농협중앙회 10, 원당신협 230,050(230,050 증가) ","252,276","245,988","167,237","331,027",급여저축 및 생활비지출 등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 97,228(82,740 증가), 현대해상화재보험 1,353(478 증가), KB증권 4, 삼성생명보험 65,905(3,106 증가), 농협중앙회 31,150(13,439 감소), 신한은행 6, 한화손해보험 3,250(600 증가), 신용협동조합중앙회 1,783(52 증가), 일산신협 263,749(12,211 증가) ","378,680","219,026","133,278","464,428",
,,,,,,,
모 ,,"농협은행 10,030(970 감소), 농협중앙회 5,689(5 증가), 우체국 31,500, 후포 11(1 증가) ","48,194","43,086","44,050","47,230",
,,,,,,,
장남 ,,"신한은행 4, 현대해상화재보험 1,691(597 증가), 신용협동조합중앙회 54(18,551 감소), 삼성중공업 0(2 감소), 삼성생명보험 13,532(4,444 감소), (주)KEB하나은행 6,811(7,142 감소), 일산신협 56,842(46,842 증가) ","61,634","49,677","32,377","78,934",
,,,,,,,
장녀 ,,"일산신협 4,505, 신용협동조합중앙회 54(2 증가), 우리은행 175(155 증가) ","4,577",157,0,"4,734",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"10,162",0,"2,975","7,187",,,
,,,,,,,
본인 ,,"농협은행 7,187(2,975 감소) ","10,162",0,"2,975","7,187",정치자금 지출 
,,,,,,,
▶ 채권(소계) ,"440,000",0,"70,000","370,000",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"440,000",0,"70,000","370,000",일부환수 
,,,,,,,
▶ 채무(소계) ,"489,375","10,000","13,537","485,838",,,
,,,,,,,
본인 ,금융기관채무 ,"비엔케이캐피탈(주) 5,838(13,537 감소) ","19,375",0,"13,537","5,838",리스료 상환 
,,,,,,,
배우자 ,건물임대채무 ,경기도 고양시 일산동구 마두동 강촌우방아파트 임대보증금 증가 ,"470,000","10,000",0,"480,000",보증금 인상 
,,,,,,,
총계 ,"1,697,388","687,934","456,380","1,928,942","증 감 액 : 231,554천원 (가액변동: -9,000천원) ",,
,,,,,,,
