소속 ,국회 ,직위 ,국회의원 ,성명 ,정종섭 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"13,595",273,0,"13,868",,,
,,,,,,,
본인 ,임야 ,"경상북도 경주시 안강읍 강교리 산 65-4번지 30,307.00m² 중 10,102.34m² ","7,202",142,0,"7,344",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 경주시 안강읍 강교리 산 66-3번지 23,901.00m² 중 11,950.50m² ","6,393",131,0,"6,524",가액변동 
,,,,,,,
▶ 건물(소계) ,"3,235,202","469,988","20,000","3,685,190",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 잠원동 신반포2지구아파트 건물 150.58m² 중 75.29m² ,"724,000","104,000",0,"828,000",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 잠원동 신반포14 아파트 건물 52.37m² ,"408,000","108,000",0,"516,000",가액변동 
,,,,,,,
본인 ,오피스텔 ,서울특별시 서초구 서초동 프로비스타 대지 6.21m² 건물 60.28m² 중 33.77m² ,"218,730","17,204",0,"235,934",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,대구광역시 동구 효목동 태왕메트로시티 건물 0.00m² (건물 59.85m² 감소) ,"10,000",0,"10,000",0,계약 만료 
,,,,,,,
본인 ,사무실 전세(임차)권 ,대구광역시 동구 신천동 건물 111.04m² ,"20,000",0,0,"20,000",신규 계약 
,,,,,,,
본인 ,사무실 전세(임차)권 ,대구광역시 동구 신천동 건물 0.00m² (건물 119.84m² 감소) ,"10,000",0,"10,000",0,계약 만료 
,,,,,,,
본인 ,아파트 전세(임차)권 ,대구광역시 동구 효목동 태왕메트로시티 건물 59.85m² (건물 59.85m² 증가) ,- ,"10,000",0,"10,000",신규 계약 
,,,,,,,
배우자 ,오피스텔 ,"서울특별시 서초구 서초동 한화오벨리스크 대지 5.75m² 건물 64,216.00m² 중 33.57m² ","147,367","9,495",0,"156,862",가액변동 
,,,,,,,
배우자 ,상가 ,"경기도 파주시 교하읍 문발리 제별관동 지층 건물 0.00m² 중 0.00m² (건물 총면적 0.00m² 감소, 지분면적 0.00m² 감소) ",0,0,0,0,
,,,,,,,
배우자 ,상가 ,경기도 파주시 문발동 제별관동 지층 대지 49.60m² 건물 119.39m² 중 16.33m² (대지 0.04m² 감소) ,"141,947","3,699",0,"145,646",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 잠원동 신반포2지구아파트 건물 150.58m² 중 75.29m² ,"724,000","104,000",0,"828,000",가액변동 
,,,,,,,
배우자 ,자동차관련시 설 ,경기도 파주시 문발동 제은하관동 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,자동차관련시 설 ,경기도 파주시 문발동 제은하관동 대지 1.11m² 건물 2.81m² ,"3,162",97,0,"3,259",가액변동 
,,,,,,,
배우자 ,자동차관련시 설 ,경기도 파주시 문발동 제은하관동 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,자동차관련시 설 ,경기도 파주시 문발동 제은하관동 대지 0.96m² 건물 3.26m² ,"3,278",105,0,"3,383",가액변동 
,,,,,,,
배우자 ,상가 ,서울특별시 중구 남창동 금오빌딩 대지 5.15m² 건물 56.71m² ,"190,000",0,0,"190,000",가액변동없음 
,,,,,,,
배우자 ,상가 ,서울특별시 중구 남창동 금오빌딩 대지 10.00m² 건물 110.08m² ,"226,718","5,388",0,"232,106",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 잠원동 신반포14아파트 건물 52.37m² ,"408,000","108,000",0,"516,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"39,006","16,735","2,181","53,560",,,
,,,,,,,
본인 ,자동차 ,"2016년식 DH3.3Premium 배기량(3,342cc) ","18,975","16,735",0,"35,710",가액변동 
,,,,,,,
배우자 ,자동차 ,"2012년식 C200 배기량(1,800cc) ","20,031",0,"2,181","17,850",가액변동 
,,,,,,,
▶ 예금(소계) ,"728,892","80,207","187,267","621,832",,,
,,,,,,,
본인 ,,"삼성생명보험 15,100(1,000 증가), 삼성증권 37, 대구은행 11(12 감소), 농협은행 36,066(18,061 감소), 씨티은행 2,298(1,373 감소), 국민은행 9,521(1,590 감소), 한화생명보험 9,400(1,200 증가), SK증권 10 ","91,279","3,351","22,187","72,443",급여저축및채무상환등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 21,751(21,487 증가), DB손해보험(주) 5,921 (2,131 증가), 대신증권 35(5 증가), 푸르덴셜생명보험 137,099, 국민은행 6,953(1,254 증가), 메리츠화재해상보험 7,220(912 증가), KB캐피탈 6,303, 신한은행 17,811(139,083 감소), 삼성생명보험 22,842, 삼성증권 7(7 증가), 씨티은행 374(1 증가), 노란우산공제 35,550(5,850 증가), DB생명보험(주) 48,426(7,200 증가), 신한생명보험 3,090, 한화생명보험 19,000(2,400 증가), 하나생명보험 3,300(3,300 증가), 교보생명보험 0(18,080 감소), 농협생명보험 22,500(6,000 증가), 미래에셋생명보험 128,719 ","593,517","50,561","157,177","486,901",
,,,,,,,
장녀 ,,"(주)KEB하나은행 8,822, 키움닷컴증권 10(10 증가), American Express 143, Bank of America 1,835(4,708 감소), 우리은행 1,932(916 증가), 한국카카오은행(주) 567(567 증가), 수협은행 1,800(1,800 증가), IBK연금보험 1,360(1,360 증가) ","16,524","5,587","5,642","16,469",
,,,,,,,
차녀 ,,"에이비엘생명보험 9,400(2,400 증가), 한국카카오은행(주) 11,001(11,001 증가), 우리은행 18,147(4,397 증가), 키움닷컴증권 709(709 증가), 농협은행 10 ","20,760","20,708","2,201","39,267",
,,,,,,,
장남 ,,"신한은행 21(60 감소), (주)KEB하나은행 6,720, 우리은행 11 ","6,812",0,60,"6,752",
,,,,,,,
▶ 유가증권(소계) ,"10,216",0,0,"10,216",,,
,,,,,,,
본인 ,비상장주식 ,"훈넷 51,164주, 유니소프트 10,200주 ","10,216",0,0,"10,216",변동없음 
,,,,,,,
▶ 채무(소계) ,"884,167",0,"21,098","863,069",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 0(9,149 감소) ","9,149",0,"9,149",0,예금등으로전액상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 잠원동 신반포14 아파트 임대보증금 ,"550,000",0,0,"550,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 서초동 프로비스타 임대보증금 ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 190,309(5,360 감소), KB캐피탈 40,260(6,589 감소) ","242,518",0,"11,949","230,569",예금등으로일부상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 서초구 서초동 한화오벨리스크 임대보증금 ,"70,000",0,0,"70,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,경기도 파주시 교하읍 문발리 제별관동 지층 임대보증금 ,"2,500",0,0,"2,500",변동없음 
,,,,,,,
▶ 회원권(소계) ,"58,000","4,000",0,"62,000",,,
,,,,,,,
본인 ,골프 ,코리아 컨트리클럽 증가 ,"58,000","4,000",0,"62,000",가액변동 
,,,,,,,
총계 ,"3,200,744","571,203","188,350","3,583,597","증 감 액 : 382,853천원 (가액변동: 478,815천원) ",,
,,,,,,,
