소속 ,국회 ,직위 ,국회의원 ,성명 ,정진석 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"743,284","88,953",0,"832,237",,,
,,,,,,,
본인 ,임야 ,"충청북도 충주시 노은면 가신리 산 13번지 20,231.00m² ","26,097","3,237",0,"29,334",가액변동 
,,,,,,,
배우자 ,임야 ,"서울특별시 강남구 도곡동 산 32-1번지 17,094.00m² 중 1,899.33m² ","717,187","48,622",0,"765,809",가액변동 
,,,,,,,
배우자 ,임야 ,"서울특별시 강남구 도곡동 산 32-5번지 468.00m² 중 52.00m² (총면적 468.00m² 증가, 지분면적 52.00m² 증가) ",- ,"20,966",0,"20,966",상속 
,,,,"-20,966",,,
,,,,,,,
배우자 ,임야 ,"서울특별시 강남구 도곡동 산 32-7번지 360.00m² 중 40.00m² (총면적 360.00m² 증가, 지분면적 40.00m² 증가) ",- ,"16,128",0,"16,128",상속 
,,,,"-16,128",,,
,,,,,,,
▶ 건물(소계) ,"4,652,000","328,000",0,"4,980,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 압구정동 신현대아파트 건물 183.41m² 중 91.70m² ,"1,036,000","164,000",0,"1,200,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,충청남도 공주시 신관동 2층 건물 106.14m² ,"30,000",0,0,"30,000",
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 압구정동 신현대아파트 건물 183.41m² 중 91.70m² ,"1,036,000","164,000",0,"1,200,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,충청남도 공주시 신관동 삼환나우빌 건물 119.68m² ,"200,000",0,0,"200,000",
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 강남구 도곡동 로덴하우스 웨스트빌리지 건물 244.66m² ,"2,300,000",0,0,"2,300,000",
,,,,,,,
차녀 ,사무실 전세(임차)권 ,서울특별시 강남구 신사동 Sun & Vill 건물 35.20m² ,"50,000",0,0,"50,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"103,010",0,"33,406","69,604",,,
,,,,,,,
본인 ,자동차 ,"2011년식 에쿠스 VS500 배기량(5,000cc) ","47,350",0,"19,140","28,210",가액변동 
,,,,,,,
본인 ,자동차 ,"2010년식 제네시스 배기량(3,342cc) ","20,050",0,"8,730","11,320",가액변동 
,,,,,,,
배우자 ,자동차 ,"2017년식 싼타페 배기량(2,000cc) ","17,805",0,"2,768","15,037",가액변동 
,,,,,,,
차녀 ,자동차 ,"2017년식 싼타페 배기량(2,000cc) ","17,805",0,"2,768","15,037",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,761,383","1,039,682","1,053,155","1,747,910",,,
,,,,,,,
본인 ,,"우리은행 2,313(2,059 감소), 농협은행 74,938(21,628 감소), 씨티은행 125, (주)KEB하나은행 134,007(39,711 증가), 국민은행 7,254(2 증가), 오렌지라이프생명보험 60,000, 교보생명보험 52,551(1,200 증가) ","313,962","42,643","25,417","331,188","예금만기 후 재예치, 생활비지출등 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 413,974(82,821 감소), 하나금융투자 3,248(3,248 증가), PCA생명보험 0(104,000 감소), 국민은행 87,505(76,940 증가), 씨티은행 7,985(5 증가), 우리은행 194,885(22,358 감소), 하나생명보험 50,000, 새마을금고 3,198(1,540 증가), MG손해보험(주) 9,736(324 증가), 교보생명보험 36,800(2,400 증가), 미래에셋생명보험 104,000(104,000 증가) ","932,053","689,959","710,681","911,331",
,,,,,,,
장녀 ,,"(주)KEB하나은행 158,260(266 증가), 국민은행 896(530 감소), 하나금융투자 7,481(1,144 감소), 하나생명보험 35,000, PCA생명보험 0(46,500 감소), 미래에셋생명보험 46,500(46,500 증가) ","249,545","155,516","156,924","248,137",
,,,,,,,
차녀 ,,"국민은행 84(707 감소), 하나생명보험 35,000, (주)KEB하나은행 176,321(8,542 감소), PCA생명보험 0(45,000 감소), 하나금융투자 81(88 감소), 키움닷컴증권 768(768 증가), 미래에셋생명보험 45,000(45,000 증가) ","265,823","151,564","160,133","257,254",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"203,783",0,"22,090","181,693",,,
,,,,,,,
본인 ,,"농협중앙회 181,693(22,090 감소) ","203,783",0,"22,090","181,693",정치자금 지출 등 
,,,,,,,
▶ 유가증권(소계) ,"209,542","225,660","183,254","251,948",,,
,,,,,,,
배우자 ,상장주식 ,"POSCO 86주, SK이노베이션 460주(460주 증가), 현대차 700주, 에스피지 100주(100주 증가) ","137,795","187,068","137,795","187,068",일부 매매 및 평가액변동 
,,,,,,,
배우자 ,비상장주식 ,코리아로터리 726주 ,"6,541",0,726,"5,815",
,,,,,,,
장녀 ,상장주식 ,"에스피지 1,349주(1,883주 감소), 한화테크윈 0주(490주 감소), SK이노베이션 160주(160주 증가) ","39,719","28,720","30,951","37,488",
,,,,,,,
차녀 ,상장주식 ,"엔터메이트 271주(162주 감소), SK이노베이션 55주(55주 증가), 에스피지 1,759주(1,806주 감소) ","25,487","9,872","13,782","21,577",
,,,,,,,
▶ 채무(소계) ,"1,400,000",0,0,"1,400,000",,,
,,,,,,,
본인 ,금융기관채무 ,"우리은행 200,000 ","200,000",0,0,"200,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 압구정동 신현대아파트 임대보증금 ,"600,000",0,0,"600,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강남구 압구정동 신현대아파트 임대보증금 ,"600,000",0,0,"600,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"172,000",0,"92,000","80,000",,,
,,,,,,,
배우자 ,콘도미니엄 ,한솔오크밸리 감소 ,"92,000",0,"92,000",0,매도 
,,,,,"-92,000",,
,,,,,,,
배우자 ,헬스 ,신라호텔 ,"80,000",- ,- ,"80,000",변동없음 
,,,,,,,
총계 ,"6,445,002","1,682,295","1,383,905","6,743,392","증 감 액 : 298,390천원 (가액변동: 346,453천원) ",,
,,,,,,,
