소속 ,국회 ,직위 ,국회의원 ,성명 ,정춘숙 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"572,000","415,000","572,000","415,000",,,
,,,,,,,
본인 ,아파트 ,"경기도 군포시 산본동 주공7단지 건물 0.00m² 중 0.00m² (건물 총면적 58.46m² 감소, 지분면적 29.23m² 감소) ","101,000",0,"101,000",0,매도 
,,,,,"-140,500",,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 강서구 등촌동 서울특별시 강서구 공항대로45길 68-6 서광등촌마을 건물 0.00m² (건물 84.93m² 감소) ,"370,000",0,"370,000",0,전세권 만료 
,,,,,"-370,000",,
,,,,,,,
본인 ,아파트 ,"경기도용인시수지구풍덕천동 수지현대아파트건물84.51m² 중 42.26m² (건물 총면적 84.51m² 증가, 지분면적 42.26m² 증가) ",- ,"207,500",0,"207,500",매입 
,,,,"-207,500",,,
,,,,,,,
배우자 ,아파트 ,"경기도 군포시 산본동 주공7단지 건물 0.00m² 중 0.00m² (건물 총면적 58.46m² 감소, 지분면적 29.23m² 감소) ","101,000",0,"101,000",0,매도 
,,,,,"-140,500",,
,,,,,,,
배우자 ,아파트 ,"경기도용인시수지구풍덕천동 수지현대아파트건물84.51m² 중 42.25m² (건물 총면적 84.51m² 증가, 지분면적 42.25m² 증가) ",- ,"207,500",0,"207,500",매입 
,,,,"-207,500",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"5,120","1,480","5,120","1,480",,,
,,,,,,,
본인 ,자동차 ,"2017년식 카니발 배기량(2,199cc) 증가 ",0,"1,480",0,"1,480",리스 보증금 
,,,,,,,
배우자 ,자동차 ,"2007년식 투싼 배기량(2,000cc) 감소 ","5,120",0,"5,120",0,매도 
,,,,,"-1,200",,
,,,,,,,
▶ 예금(소계) ,"498,441","268,582","294,218","472,805",,,
,,,,,,,
본인 ,,"중소기업은행 245,812(120,564 증가), 삼성생명보험 1,440, 메리츠화재해상보험 6,487, 현대라이프생명보험 7,196(628 증가), KB증권 134(212 감소), 농협은행 70,527(130,774 감소), (주)KB손해보험 3,180(360 증가), 신한생명보험 17,147(2,055 증가), 서용인 500(500 증가), 수지신협 500(500 증가), 국민은행 1, (주)KEB하나은행 3,168(3,068 증가), 동양생명보험 12,881, IBK연금보험 12,160(4,080 증가), 교보생명보험 19,644(1,355 증가) ","398,653","261,815","259,691","400,777","급여저축 및 생활비,이사비용지출등 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 1,016(1,465 감소), 한국교직원공제회 2,706 (430 증가), 한화투자증권 49(1 증가), 삼성화재해상보험 502(502 증가), 수지신협 950(950 증가), 농협중앙회 568(61 증가), 중소기업은행 0(14,710 감소), 동양생명보험 4,057(1,059 증가), 농협은행 709(17,925 감소), 한화생명보험 25,560, 교보생명 보험 17,867(3,054 증가), 농협생명보험 18,000(300 증가)","99,727","6,767","34,510","71,984",
,,,,,,,
,,,,,,,
장남 ,,"농협중앙회 0(17 감소), 우리은행 44 ",61,0,17,44,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"187,049",0,"17,822","169,227",,,
,,,,,,,
본인 ,,"농협은행 169,227(17,822 감소) ","187,049",0,"17,822","169,227",정치자금 지출 증가 
,,,,,,,
▶ 채무(소계) ,"255,053","9,263","255,053","9,263",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 0(15,053 감소) ","15,053",0,"15,053",0,리스 계약자 변경 
,,,,,,,
본인 ,건물임대채무 ,경기도 군포시 산본동 주공7단지 임대보증금 감소 ,"120,000",0,"120,000",0,건물매도로인한전세금반환 
,,,,,,,
배우자 ,금융기관채무 ,"현대캐피탈 9,263(9,263 증가) ",0,"9,263",0,"9,263",리스 계약자 변경 
,,,,,,,
배우자 ,건물임대채무 ,경기도 군포시 산본동 주공7단지 임대보증금 감소 ,"120,000",0,"120,000",0,건물매도로인한전세금반환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,007,557","675,799","634,107","1,049,249","증감액:41,692천원 ",,
,,,,,,,
