소속 ,국회 ,직위 ,국회의원 ,성명 ,김광수 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"29,180",999,0,"30,179",,,
,,,,,,,
본인 ,대지 ,"전라북도 전주시 완산구 중화산동1가 196번지 1,845.00m² 중 51.25m² ","23,862",615,0,"24,477",가액변동 
,,,,,,,
본인 ,임야 ,"전라북도 정읍시 산내면 장금리 16-21번지 8,260.00m² ","4,749",347,0,"5,096",가액변동 
,,,,,,,
본인 ,임야 ,전라북도 정읍시 산내면 장금리 16-27번지 372.00m² ,569,37,0,606,가액변동 
,,,,,,,
▶ 건물(소계) ,"115,000","100,000","100,000","115,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,전라북도 전주시 완산구 서서학동 효성흑석마을아파트 건물 53.00m² ,"15,000",0,0,"15,000",
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 강서구 염창동 강변힐스테이트 건물 0.00m² (건물 109.70m² 감소) ,"100,000",0,"100,000",0,이사로 인한 전세권 상실 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 양천구 신정동 8단지 아파트 건물 75.55m² (건물 75.55m² 증가) ,- ,"100,000",0,"100,000",이사 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"22,070",0,"2,570","19,500",,,
,,,,,,,
본인 ,자동차 ,"2015년식 쏘나타 하이브리드 배기량(1,998cc) ","22,070",0,"2,570","19,500",가액변동 
,,,,,,,
▶ 예금(소계) ,"109,054","38,875","23,597","124,332",,,
,,,,,,,
본인 ,,"전주대건신협 48(1 증가), 삼성생명보험 22,721(901 증가), 우체국 6, 농협은행 34,142(3,141 감소), (주)KB손해보험 16,884(2,412 증가), 한화생명보험 41,500(18,000 증가), (주)KEB하나은행 20, 광주은행 6, 전주성가신협 436(3,153 감소) ","100,743","37,814","22,794","115,763",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"전주성가신협 1, 씨티은행 827(157 증가), 신한생명보험 6,400(904 증가), 농협은행 0(803 감소), 미래에셋생명보험 1,341 ","8,311","1,061",803,"8,569",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"40,996","25,567",0,"66,563",,,
,,,,,,,
본인 ,,"농협은행 66,563(25,567 증가) ","40,996","25,567",0,"66,563",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"42,083","3,349","42,083","3,349",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 0(2,083 감소), 농협은행 3,349(3,349 증가) ","2,083","3,349","2,083","3,349",대출금상환및마이너스통장개설 
,,,,,,,
배우자 ,금융기관채무 ,"농협은행 0(40,000 감소) ","40,000",0,"40,000",0,급여등으로대출금전액상환 
,,,,,,,
총계 ,"274,217","162,092","84,084","352,225","증감액:78,008천원 (가액변동: -1,571천원) ",,
,,,,,,,
