소속 ,국회 ,직위 ,국회의원 ,성명 ,정태옥 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,768,000","458,000",0,"2,226,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 잠원동 신반포한신아파트 건물 108.86m² ,"968,000",0,0,"968,000",
,,,,,,,
본인 ,아파트 ,경기도 용인시 기흥구 언남동 장미마을삼성래미안2차아파트 건물 101.45m² (건물 101.45m² 증가) ,- ,"238,000",0,"238,000",상속 
,,,,"-238,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,대구광역시 북구 산격동 산격대우아파트 건물 59.87m² (건물 59.87m² 증가) ,- ,"20,000",0,"20,000",월세보증금 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 서초구 잠원동 신반포 한신4차아파트 건물 137.10m² ,"800,000","200,000",0,"1,000,000",보증금 인상 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"4,042",300,0,"4,342",,,
,,,,,,,
본인 ,자동차 ,"1996년식 아반떼 오토메틱 배기량(1,495cc) 증가 ",0,300 (300) ,0,300,상속 
,,,,,,,
배우자 ,자동차 ,"2007년식 그랜저 배기량(2,500cc) ","4,042",- ,- ,"4,042",
,,,,,,,
▶ 예금(소계) ,"295,714","103,583","87,039","312,258",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 46,198(3,504 증가), 세림신협 30, 우리은행 3,414(2,136 감소), 삼성생명보험 2,004, 새마을금고 1,041(26 증가), 신용협동조합중앙회 103, 대구은행 192(192 증가), 농협은행 6,211(8,800 감소), 산격3동 1,000, 국민은행 12,034(162 증가), (주)KEB하나은행 32, 산격3동 0(689 감소), 북대구 1,041(30 증가), 교보생명보험 114,232(20,530 증가) ","174,713","43,629","30,810","187,532",급여저축 등 
,,,,,,,
배우자 ,,"미래에셋대우(주) 43,162(3,124 감소), 농협은행 2,613(10,305 감소), 교보생명보험 64,265(12,383 증가) ","111,086","55,183","56,229","110,040",
,,,,,,,
장녀 ,,"미래에셋대우(주) 197(197 증가), 우리은행 4,095(201 증가) ","3,894",398,0,"4,292",
,,,,,,,
장남 ,,"현대해상화재보험 4,506(1,047 증가), 우리은행 3,915(3,315 증가), 미래에셋대우(주) 1,973(11 증가) ","6,021","4,373",0,"10,394",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"1,138","2,337",0,"3,475",,,
,,,,,,,
본인 ,,"대구은행 3,475(2,337 증가) ","1,138","2,337",0,"3,475",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"48,171",2,"43,967","4,206",,,
,,,,,,,
본인 ,상장주식 ,SK텔레콤 1주 ,267,2,0,269,주식매도등 
,,,,,,,
배우자 ,상장주식 ,"셀트리온 3주(196주 감소), 삼성물산 31주 ","47,904",0,"43,967","3,937",
,,,,,,,
▶ 채권(소계) ,"94,098","27,049","40,000","81,147",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"94,098","27,049","40,000","81,147",환수 후 가계소비 
,,,,,,,
▶ 채무(소계) ,"779,134","659,018","226,000","1,212,152",,,
,,,,,,,
본인 ,금융기관채무 ,"우리은행 532,152(253,018 증가), 농협은행 500,000 ","779,134","479,018","226,000","1,032,152",전세자금 대출 등 
,,,,,,,
본인 ,건물임대채무 ,경기도 용인시 기흥구 언남동 장미마을삼성래미안2차아파트 임대보증금 증가 ,0,"180,000",0,"180,000",월세보증금 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,등록제외 ,- ,- ,- ,- ,사망 
,,,,,,,
총계 ,"1,432,029","-67,747","-54,994","1,419,276","증 감 액 : -12,753천원 (가액변동: -634천원) ",,
,,,,,,,
