소속 ,국회 ,직위 ,국회의원 ,성명 ,제윤경 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"2,174","20,291",0,"22,465",,,
,,,,,,,
배우자 ,묘지 ,"경상북도 영덕군 강구면 금진리 551번지 5,554.00m² 중 2,777.00m² ","2,174","20,291",0,"22,465",가액 변동 
,,,,,,,
▶ 건물(소계) ,"285,000",0,0,"285,000",,,
,,,,,,,
본인 ,아파트 ,경기도 파주시 야당동 자연에가3차 건물 65.44m² ,"285,000",0,0,"285,000",가액변동없음 
,,,,,,,
본인 ,아파트 ,경기도 파주시 야당동 자연에가3차 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,442,"5,538",0,"5,980",,,
,,,,,,,
배우자 ,자동차 ,"2000년식 EF쏘나타 배기량(1,836cc) ",442,"5,538",0,"5,980",가액변동 
,,,,,,,
▶ 예금(소계) ,"25,709","17,040",977,"41,772",,,
,,,,,,,
본인 ,,"신한은행 413(629 감소), 우리은행 4, 농협은행 27,612(11,417 증가), 수협은행 940(325 증가), DB손해보험(주) 8,820(967 증가) ","25,709","13,057",977,"37,789",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"DB손해보험(주) 326(326 증가), 국민은행 1,496(1,496 증가), 한국카카오은행(주) 6(6 증가) ",0,"1,828",0,"1,828",
,,,,,,,
차남 ,,"중소기업은행 181(181 증가), 연희 764(764 증가) ",0,945,0,945,
,,,,,,,
장녀 ,,"국민은행 2(2 증가), 중소기업은행 36(36 증가), 연희 976(976 증가), 신한은행 196(196 증가) ",0,"1,210",0,"1,210",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"151,022",0,"21,964","129,058",,,
,,,,,,,
본인 ,,"농협은행 129,058(21,964 감소) ","151,022",0,"21,964","129,058",정치자금 지출 등 
,,,,,,,
▶ 유가증권(소계) ,"34,000",0,0,"34,000",,,
,,,,,,,
본인 ,비상장주식 ,"(주)에듀머니 68,000주 ","34,000",0,0,"34,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"238,518","3,504","36,433","205,589",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"20,000",0,"20,000",0,급여등으로전액상환 
,,,,,,,
본인 ,금융기관채무 ,"농협은행 23,123(13,265 감소), 수협은행 178,962(3,168 감소) ","218,518",0,"16,433","202,085",급여등으로일부상환 
,,,,,,,
배우자 ,금융기관채무 ,"삼성카드 3,504(3,504 증가) ",0,"3,504",0,"3,504",생활비지출등을위한채무 
,,,,,,,
총계 ,"259,829","39,365","-13,492","312,686","증감액:52,857천원 (가액변동: 25,829천원) ",,
,,,,,,,
