소속 ,국회 ,직위 ,국회의원 ,성명 ,조경태 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"570,000",0,0,"570,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,부산광역시 사하구 장림2동 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,사무실 전세(임차)권 ,부산광역시 사하구 장림동 건물 132.00m² ,"10,000",0,0,"10,000",
,,,,,,,
본인 ,아파트 전세(임차)권 ,부산광역시 사하구 다대동 현대아파트 건물 78.30m² ,"130,000",0,0,"130,000",
,,,,,,,
배우자 ,아파트 ,서울특별시 강서구 염창동 강변코아루아파트 건물 84.77m² ,"430,000",0,0,"430,000",
,,,,,,,
▶ 예금(소계) ,"477,341","46,151",942,"522,550",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 55,465(10,516 증가), 농협생명보험 36,600 (4,200 증가), 삼성생명보험 106,614(2,873 증가), 농협은행 1,639(1,025 증가), 국민은행 4,247(41 증가), 승학신협 50 ","185,960","18,681",26,"204,615",급여저축 등 
,,,,,,,
배우자 ,,"국민은행 10,198(241 감소), 삼성생명보험 149,006(16,715 증가), 동양생명보험 275, 농협중앙회 916(1 증가), 오렌지 라이프생명 보험 68,593(654 증가), 교보생명보험 4,056, 부산은행 79,033(9,181 증가) ","285,767","26,970",660,"312,077",
,,,,,,,
모 ,,농협은행 342(84 감소) ,426,172,256,342,
,,,,,,,
장녀 ,,"국민은행 4,625(328 증가), 중소기업은행 891 ","5,188",328,0,"5,516",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"83,287",0,"4,973","78,314",,,
,,,,,,,
본인 ,,"농협은행 78,314(4,973 감소) ","83,287",0,"4,973","78,314",정치자금 지출 등 
,,,,,,,
▶ 채무(소계) ,"139,200",0,"44,370","94,830",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 94,830(34,370 감소) ","129,200",0,"34,370","94,830",예금에서 일부상환 
,,,,,,,
배우자 ,,사인간채무 감소 ,"10,000",0,"10,000",0,예금에서 전액상환 
,,,,,,,
총계 ,"991,428","46,151","-38,455","1,076,034","증감액:84,606천원 ",,
,,,,,,,
