소속 ,국회 ,직위 ,국회의원 ,성명 ,조배숙 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"351,482","16,348",0,"367,830",,,
,,,,,,,
본인 ,잡종지 ,"경기도 가평군 상면 상동리 75번지 15,405.00m² 중 8,174.00m² ","351,482","16,348",0,"367,830",가액 변동 
,,,,,,,
▶ 건물(소계) ,"1,204,788","881,000","98,298","1,987,490",,,
,,,,,,,
본인 ,아파트 ,전라북도 익산시 어양동 익산자이아파트 건물 84.93m² ,"191,000","21,000",0,"212,000",가액 변동 
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 서초동 아크로비스타 건물 138.96m² ,"816,000","136,000",0,"952,000",가액 변동 
,,,,,,,
본인 ,오피스텔 ,서울특별시 마포구 노고산동 신촌르메이에르타운2 건물 31.54m² ,"107,788",0,"8,298","99,490",가액 변동 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 마포구 노고산동 신촌르메이에르타운2 건물 0.00m² (건물 31.54m² 감소) ,"90,000",0,"90,000",0,계약 변경 
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 서초동 수광빌라트 건물 215.22m² (건물 215.22m² 증가) ,- ,"724,000",0,"724,000",모친 사망으로 상속 
,,,,"-724,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"132,217",0,"34,657","97,560",,,
,,,,,,,
본인 ,자동차 ,"2015년식 에쿠스 배기량(5,000cc) ","98,000",0,"30,210","67,790",가액 변동 
,,,,,,,
본인 ,자동차 ,"2017년식 카니발 배기량(2,199cc) ","34,217",0,"4,447","29,770",가액 변동 
,,,,,,,
▶ 예금(소계) ,"280,932","7,212","100,168","187,976",,,
,,,,,,,
본인 ,,"미래에셋생명보험 46,026, 신한은행 59,610(75,753 감소), 삼성생명보험 0(7,848 감소), 메리츠화재해상보험 118(118 증가), 신용협동조합중앙회 525(1 증가), NH투자증권 99, 신한금융투자(주) 2,045(319 증가), 농협은행 26,289(12,125 감소), 국민은행 7, 농협중앙회 385(288 감소), DB손해보험(주) 18,781(2,620 증가), 교보생명보험 31,765, 서울변호사신용협동조합 2,326 ","280,932","7,212","100,168","187,976",보험만기및전세금반환 
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"61,255",0,"55,797","5,458",,,
,,,,,,,
본인 ,,"농협은행 5,458(55,797 감소) ","61,255",0,"55,797","5,458",후원금감소및정치자금지출 
,,,,,,,
▶ 유가증권(소계) ,"9,797","1,435","1,087","10,145",,,
,,,,,,,
본인 ,상장주식 ,"인디에프 1,171주, 유화증권우 550주, 유화증권 17주 ","9,797","1,435","1,087","10,145",평가액 변동 
,,,,,,,
▶ 채권(소계) ,"20,000","20,000",0,"40,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,"20,000","20,000",0,"40,000",추가 대여 
,,,,,,,
▶ 채무(소계) ,"114,200","710,000","104,637","719,563",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 9,563(14,637 감소) ","24,200",0,"14,637","9,563",채무 상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 서초동 수광빌라트 임대보증금 증가 ,0,"600,000",0,"600,000",모친사망으로상속후임대차 계약 전세보증금 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 마포구 노고산동 신촌르메이에르타운2 임대보증금 증가 ,"90,000","110,000","90,000","110,000",전세보증금 상승 
,,,,,,,
▶ 회원권(소계) ,"19,500",0,0,"19,500",,,
,,,,,,,
본인 ,헬스 ,리츠칼튼호텔 피트니스센터 ,"19,500",- ,- ,"19,500",
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,등록제외 ,- ,- ,- ,- ,사망 
,,,,,,,
총계 ,"1,965,771","215,995","185,370","1,996,396","증감액:30,625천원 (가액변동: 130,741천원) ",,
,,,,,,,
