소속 ,국회 ,직위 ,국회의원 ,성명 ,조승래 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"82,608","9,172",859,"90,921",,,
,,,,,,,
배우자 ,답 ,충청남도 보령시 화산동 406번지 221.00m² ,"7,116",66,0,"7,182",가액변동 
,,,,,,,
배우자 ,임야 ,"충청남도 보령시 화산동 산 40번지 42,942.00m² 중 8,588.40m² ","75,492",0,859,"74,633",가액변동 
,,,,,,,
배우자 ,대지 ,"충청남도 보령시 화산동 486-1번지 499.00m² 중 249.50m² (총면적 499.00m² 증가, 지분면적 249.50m² 증가) ",- ,"9,106",0,"9,106",건물멸실로인한항목이동 
,,,,"-9,106",,,
,,,,,,,
▶ 건물(소계) ,"408,500","44,300","11,700","441,100",,,
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,대전광역시 유성구 궁동 누드캐슬 건물 105.37m² (건물 105.37m² 증가) ,- ,"26,000",0,"26,000",지역사무소 
,,,,,,,
배우자 ,아파트 ,대전광역시 유성구 봉명동 호반베르디움아파트 건물 84.93m² ,"304,000","12,000",0,"316,000",가액변동 
,,,,,,,
배우자 ,단독주택 ,"충청남도 보령시 화산동 대지 0.00m² 중 0.00m²건물 0.00m² 중 0.00m² (대지 지분면적 249.50m² 감소, 건물 지분면적 30.50m² 감소) ","11,700",0,"11,700",0,건물 멸실 
,,,,,,,
부 ,단독주택 ,대전광역시 서구 도마동 대지 151.80m² 건물 127.53m² ,"72,800","6,300",0,"79,100",가액변동 
,,,,,,,
부 ,연립주택 전세(임차)권 ,대전광역시 서구 괴정동 건물 20.00m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"19,060","21,400","3,740","36,720",,,
,,,,,,,
본인 ,자동차 ,"2015년식 쏘렌토 배기량(1,995cc) ","19,060",0,"3,740","15,320",가액변동 
,,,,,,,
배우자 ,자동차 ,"2018년식 티볼리 배기량(1,597cc) 증가 ",0,"21,400",0,"21,400",신규등록 
,,,,,,,
▶ 예금(소계) ,"194,942","111,932","57,375","249,499",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 22,852(1,957 증가), 한화손해보험 18,361(1,899 증가), 농협은행 9,832(1,291 감소), MG손해보험(주) 57(57 증가), 국민은행 47,351(31,652 증가), 농협중앙회13,071(5,265증가),대전유성신협 50(50증가) ","71,985","40,882","1,293","111,574",급여 및 사고보험금 저축 
,,,,,,,
배우자 ,,"(주)KEB하나은행 4, DB손해보험(주) 39(39 증가), 국민은행 9,969(5,049 증가), 푸르덴셜생명보험 19,264(1,095 증가), 메리츠화재해상보험 10,343(1,593 증가), 현대해상화재보험 4,897(398 증가), 동양생명보험 3,601(199 증가), 우체국 3,397, 신한은행 10, 우리은행 4, 농협은행 7,552(5,964 증가), 한화생명보험 2,367(1,917 증가), 농협생명보험 19,369(3,239 증가), 라이나생명보험 1,442(361 증가) ","62,404","20,310",456,"82,258",급여 및 사고보험금 저축 
,,,,,,,
부 ,,"농협손해보험0(3,450감소),대전서부 42,000,신한은행 986(164 증가), 농협중앙회 0(153 감소), 새마을금고 1,046(15 감소) ","47,486","42,172","45,626","44,032",
,,,,,,,
장녀 ,,"국민은행 1, 농협중앙회 5,599(2,568 증가) ","3,032","2,568",0,"5,600",
,,,,,,,
차녀 ,,"한밭 30, 중소기업은행 6,000(4,000 감소), 농협중앙회 5 ","10,035","6,000","10,000","6,035",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"288,864","138,781",0,"427,645",,,
,,,,,,,
본인 ,,"농협은행 427,645(138,781 증가) ","288,864","138,781",0,"427,645",정치자금 증가 
,,,,,,,
▶ 채무(소계) ,"93,789","8,660","1,311","101,138",,,
,,,,,,,
배우자 ,금융기관채무 ,"에스와이오토캐피탈 주식회사 8,660(8,660 증가), 농협은행 50,000 ","50,000","8,660",0,"58,660",자동차 할부 
,,,,,,,
부 ,,사인간채무 ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
부 ,금융기관채무 ,"신한은행 22,478(1,311 감소) ","23,789",0,"1,311","22,478",일부상환 
,,,,,,,
총계 ,"900,185","316,925","72,363","1,144,747","증 감 액 : 244,562천원 (가액변동: 13,767천원) ",,
,,,,,,,
