소속 ,국회 ,직위 ,국회의원 ,성명 ,조원진 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"172,000",0,0,"172,000",,,
,,,,,,,
배우자 ,전 ,"경상북도 청도군 이서면 구라리 603번지 1,220.00m² ","172,000",0,0,"172,000",
,,,,,,,
▶ 건물(소계) ,"396,600",0,0,"396,600",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,대구광역시 달서구 감삼동 감삼빌딩 4층 건물 170.00m² ,"10,000",0,0,"10,000",
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 영등포구 여의도동 건물 80.00m² ,"30,000",0,0,"30,000",
,,,,,,,
본인 ,아파트 ,대구광역시 달서구 성당동 성당포스코더샵아파트 건물 151.17m² ,"356,600",0,0,"356,600",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"21,140",0,"3,200","17,940",,,
,,,,,,,
본인 ,자동차 ,"2009년식 SM5 배기량(1,998cc) ","6,550",0,990,"5,560",감가상각 
,,,,,,,
본인 ,자동차 ,"2012년식 카니발리무진 배기량(3,470cc) ","14,590",0,"2,210","12,380",감가상각 
,,,,,,,
▶ 현금(소계) ,"5,000",0,0,"5,000",,,
,,,,,,,
본인 ,,현금 ,"5,000",0,0,"5,000",
,,,,,,,
▶ 예금(소계) ,"183,582","46,444","23,712","206,314",,,
,,,,,,,
본인 ,,"대구은행 734(167 증가), 농협은행 5,245(3,383 감소), 삼익신협 121, 대구대건신협 10, 국민은행 281(54 감소), (주)KEB하나은행 2, 농협중앙회 327, 동양생명보험 49, 두류1.2동 63, 골든브릿지투자증권 1, 새마을금고중앙회 공제사업부 23,858(3,079 증가) ","30,882","3,487","3,678","30,691",급여저축 등 
,,,,,,,
배우자 ,,"신용협동조합중앙회 신용공제사업부 17,500(6,000 증가), (주)KEB하나은행 6,997(6,997 증가), DB손해보험(주) 120(120 증가), 유안타증권 7,986(7,967 증가), 현대해상화재보험 3,500(963 증가), 삼익신협 56, 삼성생명보험 8,329(2,867 증가), 삼익신협 1,706(871 증가),대구은행 44(290 감소), 신한생명보험 115,179(15,743 증가), 우리은행 19(4,736 감소), 신영증권 2, 교보생명보험 0(15,000 감소)","139,936","41,528","20,026","161,438",
,,,,,,,
,,,,,,,
장남 ,,"우리은행 13,950(1,200 증가), (주)KEB하나은행 217(216 증가), 국민은행 13(13 증가), 중국은행 5(8 감소) ","12,764","1,429",8,"14,185",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"25,886",0,"1,599","24,287",,,
,,,,,,,
본인 ,,"농협중앙회 24,287(1,599 감소) ","25,886",0,"1,599","24,287",정치자금 지출 증가 
,,,,,,,
▶ 유가증권(소계) ,"28,009","6,307","17,444","16,872",,,
,,,,,,,
배우자 ,상장주식 ,"SK이노베이션 보 0주(72주 감소), 미래에셋 TIGER 500주(500주 증가), 에스케이하이닉 170주 ","27,729","6,307","17,444","16,592",일부매도및매입 
,,,,,,,
배우자 ,비상장주식 ,동화은행 56주 ,280,0,0,280,
,,,,,,,
▶ 채권(소계) ,"184,500",0,"39,500","145,000",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"184,500",0,"39,500","145,000",일부환수 
,,,,,,,
▶ 채무(소계) ,"515,324",0,"18,515","496,809",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 10,809(6,515 감소), 대구은행 148,000(12,000 감소), 국민은행 258,000 ","435,324",0,"18,515","416,809",급여 등으로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"신용협동조합중앙회 80,000 ","80,000",0,0,"80,000",
,,,,,,,
▶ 합명.합자.유한회사 출자지분(소계) ,"250,000",0,0,"250,000",,,
,,,,,,,
본인 ,출자 ,"북경유성공간상무유한공사, 출자가액: 250,000천원, 지분비율: 66.66%, 연간매출액: 2,200천원 ","250,000",- ,- ,"250,000",
,,,,,,,
총계 ,"751,393","52,751","66,940","737,204","증 감 액 : -14,189천원 (가액변동: -5,920천원) ",,
,,,,,,,
