소속 ,국회 ,직위 ,국회의원 ,성명 ,조응천 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"48,998","3,828",0,"52,826",,,
,,,,,,,
배우자 ,잡종지 ,부산광역시 기장군 정관읍 달산리 1235-1번지 38.28m² ,"48,998","3,828",0,"52,826",가액 변동 
,,,,,,,
▶ 건물(소계) ,"2,028,000","1,576,000","1,130,000","2,474,000",,,
,,,,,,,
본인 ,상가 전세(임차)권 ,경기도 남양주시 평내동 3층 건물 735.00m² ,"10,000",0,0,"10,000",변동 없음 
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 대치동 은마아파트 건물 84.43m² 중 42.22m² ,"444,000","68,000",0,"512,000",가액 변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 남양주시 호평동 건물 0.00m² (건물 153.18m² 감소) ,"420,000",0,"420,000",0,전세권 상실 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 남양주시 호평동 두산위브파크 건물 122.06m² (건물 122.06m² 증가) ,- ,"370,000",0,"370,000",전세권 취득 
,,,,,,,
배우자 ,아파트 ,"서울특별시 강남구 대치동 은마아파트 건물 0.00m² 중 0.00m² (건물 총면적 0.00m² 감소, 지분면적 0.00m² 감소) ",0,0,0,0,소재지 오기 정정 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 대치동 은마아파트 건물 84.43m² 중 42.22m² ,"444,000","68,000",0,"512,000",가액 변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 성동구 옥수동 대림e편한세상 옥스파크힐스 건물 0.00m² (건물 84.64m² 감소) ,"710,000",0,"710,000",0,전세권 상실 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 성동구 옥수동 옥수어울림아파트 건물 128.53m² (건물 128.53m² 증가) ,- ,"950,000",0,"950,000",전세권 취득 
,,,,,,,
장남 ,사무실 전세(임차)권 ,"서울특별시 강남구 청담동 재정빌딩 건물 79.34m² 중 39.67m² (건물 총면적 79.34m² 증가, 지분면적 39.67m² 증가) ",- ,"10,000",0,"10,000",전세권 취득 
,,,,,,,
차남 ,오피스텔 전세(임차)권 ,"서울특별시 서초구 반포동 인성빌 건물 29.98m² 중 14.99m² (건물 총면적 29.98m² 증가, 지분면적 14.99m² 증가) ",- ,"110,000",0,"110,000",전세권 취득 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"55,580","45,410","39,440","61,550",,,
,,,,,,,
본인 ,자동차 ,"2009년식 제네시스 배기량(3,778cc) ","17,230",0,"1,090","16,140",가액 변동 
,,,,,,,
배우자 ,자동차 ,"2018년식 ct 200h 배기량(1,798cc) 감소 ","38,350",0,"38,350",0,공유지분변경 
,,,,,,,
배우자 ,자동차 ,"2018년식 ct 200h 배기량(1,798cc) 증가 ",0,"13,705",0,"13,705",가액 변동 
,,,,,,,
차남 ,자동차 ,"2018년식 벨로스터 JS 배기량(1,591cc) 증가 ",0,"18,000",0,"18,000",매매 
,,,,,,,
차남 ,자동차 ,"2018년식 ct 200h 배기량(1,798cc) 증가 ",0,"13,705",0,"13,705",가액 변동 
,,,,,,,
▶ 예금(소계) ,"1,469,043","430,566","626,317","1,273,292",,,
,,,,,,,
본인 ,,"신한은행 34,002(2,401 증가), KB증권 429,751(13,769 증가), 농협은행 90,925(30,881 증가), (주)KEB하나은행 2,234(9,895 감소) ","519,756","282,627","245,471","556,912",전세권 취득으로 인한 임차보증금 지급 등 
,,,,,,,
배우자 ,,"KB생명보험 240,000, 국민은행 216,607(257,827 감소), 현대해상화재보험 0(54 감소), 삼성생명보험 200,000, 신한은행 15,500, 삼성증권 123, NH투자증권 11, 한국카카오은행(주) 987(987 증가) ","930,122","123,952","380,846","673,228",
,,,,,,,
장남 ,,"오렌지라이프생명보험 16,800, 신한은행 2,486(2,238 증가), 우리은행 11 ","17,059","2,238",0,"19,297",
,,,,,,,
차남 ,,"(주)KEB하나은행 2,007(1 증가), 한국카카오은행(주) 21,748(21,748 증가), 신한은행 100 ","2,106","21,749",0,"23,855",
,,,,,,,
▶ 유가증권(소계) ,"244,482","11,167","30,024","225,625",,,
,,,,,,,
본인 ,상장주식 ,"종근당홀딩스 100주(41주 감소), 알파벳A 20주, CJ우 100주 (126주 감소), 아마존 닷컴 24주, 삼성물산 100주(18주 감소) ","95,157","11,028","20,514","85,671",주가변동및일부매도 
,,,,,,,
본인 ,회사채 ,"글로벌채권(브라질)월 0주, 하나금융조건부(상) 50,000주 ","149,309",139,"9,510","139,938",
,,,,,,,
배우자 ,상장주식 ,THE E&M 20주 ,16,0,0,16,
,,,,,,,
▶ 채권(소계) ,0,"100,000",0,"100,000",,,
,,,,,,,
배우자 ,,사인간채권 증가 ,0,"100,000",0,"100,000",채권 발생 
,,,,,,,
▶ 채무(소계) ,"540,000","370,000","270,000","640,000",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 대치동 은마아파트 임대보증금 ,"270,000",0,0,"270,000",변동 없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강남구 대치동 은마아파트 2건 임대보증금 ,"270,000","270,000","270,000","270,000",변동 없음 
,,,,,,,
차남 ,,사인간채무 증가 ,0,"100,000",0,"100,000",채무 발생 
,,,,,,,
▶ 회원권(소계) ,"63,000",0,0,"63,000",,,
,,,,,,,
,골프 ,강촌컨트리클럽 ,"40,000",- ,- ,"40,000",변동 없음 
,,,,,,,
본인 ,헬스 ,호텔리츠칼튼서울 ,"11,500",- ,- ,"11,500",변동 없음 
,,,,,,,
배우자 ,헬스 ,호텔리츠칼튼서울 ,"11,500",- ,- ,"11,500",변동 없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"3,369,103","1,796,971","1,555,781","3,610,293","증 감 액 : 241,190천원 (가액변동: 149,766천원) ",,
,,,,,,,
