소속 ,국회 ,직위 ,국회의원 ,성명 ,조정식 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"503,000","9,000",0,"512,000",,,
,,,,,,,
본인 ,아파트 ,경기도 시흥시 정왕동 세종1차아파트 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,행정구역변경 등으로 인한 변경처리 
,,,,,,,
본인 ,아파트 ,경기도 시흥시 정왕동 세종1차아파트 건물 119.64m² ,"227,000","1,000",0,"228,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 시흥시 정왕동 뉴스타프라자 건물 222.01m² ,"20,000",0,0,"20,000",
,,,,,,,
배우자 ,아파트 ,경기도 시흥시 정왕동 배곧신도시 SK뷰 건물 84.50m² ,"256,000","8,000",0,"264,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"22,810",0,"5,820","16,990",,,
,,,,,,,
배우자 ,자동차 ,"2015년식 LF쏘나타2.0 배기량(1,999cc) ","22,810",0,"5,820","16,990",가액변동 
,,,,,,,
▶ 예금(소계) ,"384,280","36,341","71,290","349,331",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 28,047(1,413 증가), 달월신협 127, 미소신협 9,124(1,254 증가), 미래에셋대우(주) 1, 달월신협 53(3 증가), 신한은행 1, 농협은행 2,225(47,401 감소), 교보생명보험 6,725(362 증가), 삼성화재해상보험 3,300(1,200 증가) ","92,772","4,679","47,848","49,603",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"달월신협 127, 시흥중앙 122(4 증가), 신용협동조합중앙회 신용공제사업부 15,990(4,440 감소), 흥국생명보험 9,924, 새마을금고중앙회 공제사업부 739(125 증가), 미래에셋 대우(주) 1, 푸르덴셜생명보험 8,925(450 증가), 국민은행 3,117(2,065 증가), 현대해상화재보험 6,764(655 증가), 메리츠화재해상보험 4,997(699 증가), 삼성생명보험 24,831 (9,288 감소), 신한은행 15, 한화손해보험 3,563(502 증가), 농협은행 1,842(322 증가), 미소신협 121, 우리은행 887(386 증가), 교보생명보험 6,000, 농협생명보험 38,160, 달월신협 127(24 증가), 미래에셋생명보험 120,000(6,000 증가) ","248,748","16,158","18,654","246,252",
,,,,,,,
장남 ,,"농협생명보험 17,750(3,000 증가), 오렌지라이프생명보험 16,800(2,400 증가), 신한은행 0(1,337 감소), 중소기업은행 1,201(1,142 증가), 한국카카오은행(주) 2,006(2,006 증가), 우리은행 9,832(997 증가), 국민은행 1,200(1,200 증가), (주)KEB하나은행 1,300(1,300 증가), AIA생명보험 3,270(801 증가), 농협은행 117(793 감소) ","42,760","15,504","4,788","53,476",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"338,490","16,512",0,"355,002",,,
,,,,,,,
본인 ,,"농협은행 355,002(16,512 증가) ","338,490","16,512",0,"355,002",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"230,906",0,"20,620","210,286",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 12,185(721 감소) ","12,906",0,721,"12,185",일부상환 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 198,101(19,899 감소) ","218,000",0,"19,899","198,101",급여 등으로 상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,017,674","61,853","56,490","1,023,037","증감액:5,363천원 (가액변동: 3,180천원) ",,
,,,,,,,
