,국회 ,직위 ,국회의원 ,성명 ,조훈현 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"150,524","153,670",0,"304,194",,,
,,,,,,,
본인 ,임야 ,"충청남도 예산군 예산읍 향천리 산 52-1번지 15,771.00m² 중 6,937.50m² ","26,154",694,0,"26,848",가액변동 
,,,,,,,
본인 ,임야 ,"충청남도 보령시 천북면 하만리 산 126-0번지 25,388.00m² ","118,054","7,362",0,"125,416",가액변동 
,,,,,,,
배우자 ,임야 ,경기도 양평군 강하면 동오리 산 25-14번지 660.00m² ,"6,316",614,0,"6,930",가액변동 
,,,,,,,
배우자 ,대지 ,"경기도 용인시 처인구 원삼면 사암리 931번지 842.00m² 중 421.00m² (총면적 842.00m² 증가, 지분면적 421.00m² 증가) ",- ,"145,000",0,"145,000",신규토지매입 
,,,,"-145,000",,,
,,,,,,,
▶ 건물(소계) ,"1,819,274","90,000","61,360","1,847,914",,,
,,,,,,,
본인 ,단독주택 ,서울특별시 종로구 평창동 대지 522.00m² 건물 329.87m² ,"1,250,000","90,000",0,"1,340,000",가액변동 
,,,,,,,
본인 ,단독주택 ,서울특별시 성동구 성수동2가 대지 54.90m² 건물 34.43m² ,"171,000",0,0,"171,000",가액변동 
,,,,,,,
배우자 ,상가 ,서울특별시 종로구 돈의동 피카디리플러스 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,상가 ,서울특별시 종로구 돈의동 피카디리플러스 대지 3.91m² 건물 11.24m² ,"90,218",0,"35,064","55,154","공실, 가액변동 "
,,,,,,,
배우자 ,상가 ,경기도 포천시 소흘읍 송우리 송우웰빙타운 대지 11.87m² 중 5.94m² 건물 59.94m² 중 29.97m² ,"81,513",0,"6,769","74,744",가액변동 
,,,,,,,
배우자 ,상가 ,경기도 포천시 소흘읍 송우리 송우웰빙타운 대지 11.01m² 중 5.50m² 건물 55.62m² 중 27.81m² ,"72,515",0,"6,379","66,136",가액변동 
,,,,,,,
장남 ,상가 ,경기도 포천시 소흘읍 송우리 송우웰빙타운 대지 11.87m² 중 5.94m² 건물 59.94m² 중 29.97m² ,"81,513",0,"6,769","74,744",가액변동 
,,,,,,,
장남 ,상가 ,경기도 포천시 소흘읍 송우리 송우웰빙타운 대지 11.01m² 중 5.50m² 건물 55.62m² 중 27.81m² ,"72,515",0,"6,379","66,136",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"82,090",0,"14,050","68,040",,,
,,,,,,,
본인 ,자동차 ,"2016년식 K7 배기량(2,359cc) ","27,030",0,"3,870","23,160",가액변동 
,,,,,,,
본인 ,자동차 ,"2015년식 NX 300h 배기량(2,494cc) ","35,360",0,"6,530","28,830",가액변동 
,,,,,,,
배우자 ,자동차 ,"2016년식 K5 배기량(1,999cc) ","9,850",0,"1,825","8,025",가액변동 
,,,,,,,
삼녀 ,자동차 ,"2016년식 K5 배기량(1,999cc) ","9,850",0,"1,825","8,025",가액변동 
,,,,,,,
▶ 예금(소계) ,"692,064","83,330","144,396","630,998",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 1,513(9 증가), 삼성생명보험 25,518, 우리은행 32, KB증권 1, 농협은행 14,690(4,423 증가), 국민은행 1,030(685 증가), (주)KEB하나은행 104,268(8,740 감소), DB손해보험(주) 13,191(1,799 증가), 삼성화재해상보험 46,040(5,940 증가) ","202,167","39,436","35,320","206,283",부동산자산 매입으로 인한 예금자산 감소 
,,,,,,,
배우자 ,,"(주)KEB하나은행 10,045(7,408 감소), DB손해보험(주) 10,961(1,436 증가), 미래에셋대우(주) 5,578(5,438 증가), 한화투자증권 0(1 감소), 삼성화재해상보험 49,505(5,940 증가), KB증권 6, 삼성생명보험 40,621(2,877 증가), 동양생명보험 0(73,850 감소), 투자조합 70,000, 한화손해보험 2,726(348 증가), 신한생명보험 5,416(3,611 증가), 농협손해보험 0(158 감소) ","256,625","25,491","87,258","194,858",
,,,,,,,
장남 ,,"신한은행 0(6 감소), 삼성생명보험 72,396, (주)KEB하나은행 5,917(2,313 감소), 국민은행 0(4 감소), 우리은행 16(5 증가) ","80,647",60,"2,378","78,329",
,,,,,,,
삼녀 ,,"NH투자증권 54(11 증가), 한화생명보험 15,640(4,080 증가), IBK연금보험 7,200(3,600 증가), 국민은행 1, 우리은행 2,152(694 증가), 삼성생명보험 64,170, 투자조합 45,000, (주)KEB하나은행 17,311(9,482 감소) ","152,625","18,343","19,440","151,528",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"5,594","12,592",0,"18,186",,,
,,,,,,,
본인 ,,"농협은행 18,186(12,592 증가) ","5,594","12,592",0,"18,186",후원회금 증가로 인한 변동 
,,,,,,,
▶ 유가증권(소계) ,"4,697",0,"1,356","3,341",,,
,,,,,,,
본인 ,비상장주식 ,"우리담배 150,000주 ",0,0,0,0,비상장주식 매도 및 주가 하락으로 인한 변동 
,,,,,,,
배우자 ,비상장주식 ,엠씨티티바이오 0주(500주 감소) ,250,0,250,0,
,,,,,,,
삼녀 ,상장주식 ,"한하테크윈 15주, 두산인프라코어 100주, 아모레퍼시픽 10주 ","4,447",0,"1,106","3,341",
,,,,,,,
▶ 채무(소계) ,"540,530","9,223","18,892","530,861",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 7,422(5,283 감소), (주)KEB하나은행 240,537(9,463 감소) ","262,705",0,"14,746","247,959",채무일부변제 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 성동구 성수동2가 임대보증금 ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 189,223(9,223 증가), 삼성생명보험 12,610 ","192,610","9,223",0,"201,833",채무증가 
,,,,,,,
배우자 ,건물임대채무 ,경기도 포천시 소흘읍 송우리 송우웰빙타운 2건 임대보증금 ,"60,000",0,0,"60,000",변동없음 
,,,,,,,
삼녀 ,금융기관채무 ,"현대캐피탈 1,069(4,146 감소) ","5,215",0,"4,146","1,069",채무일부변제 
,,,,,,,
▶ 보석류(소계) ,"25,000",0,0,"25,000",,,
,,,,,,,
배우자 ,,"다이아몬드 (2.5캐럿, 무색) ","25,000",- ,- ,"25,000",변동없음 
,,,,,,,
▶ 골동품 및 예술품(소계) ,"175,000",0,0,"175,000",,,
,,,,,,,
본인 ,,"사진 (유럽시리즈, 160*120Cm, 김이타, 2010) ","40,000",- ,- ,"40,000",변동없음 
,,,,,,,
본인 ,,"동양화 (추경, 80*45Cm, 청전이상범, 미상) ","30,000",- ,- ,"30,000",변동없음 
,,,,,,,
본인 ,,"서양화 (무제, 116*90Cm, 고영훈, 2001) ","25,000",- ,- ,"25,000",변동없음 
,,,,,,,
본인 ,,"서양화 (바람, 162*130Cm, 이우한, 1992) ","80,000",- ,- ,"80,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"22,000",0,0,"22,000",,,
,,,,,,,
배우자 ,헬스 ,로제우스 헬스클럽 ,"22,000",- ,- ,"22,000",변동없음 
,,,,,,,
총계 ,"2,435,713","330,369","202,270","2,563,812","증 감 액 : 128,099천원 (가액변동: 22,154천원) ",,
,,,,,,,
