소속 ,국회 ,직위 ,국회의원 ,성명 ,주광덕 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"472,558","23,645",0,"496,203",,,
,,,,,,,
본인 ,전 ,"경기도 구리시 토평동 460-4번지 2,185.00m² ","464,800","23,300",0,"488,100",가액변동 
,,,,,,,
본인 ,임야 ,"강원도 동해시 비천동 산 79번지 141,323.00m² 중 34,482.00m² ","7,758",345,0,"8,103",가액변동 
,,,,,,,
▶ 건물(소계) ,"358,000","8,000",0,"366,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 남양주시 도농동 3층 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 남양주시 다산동 3층 건물 79.00m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
배우자 ,아파트 ,경기도 남양주시 도농동 부영그린타운 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,아파트 ,"경기도 남양주시 다산동 부영그린타운 건물 162.00m² (건물 162,288.00m² 감소) ","328,000","8,000",0,"336,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"27,000",0,"25,149","1,851",,,
,,,,,,,
본인 ,자동차 ,"2017년식 스포티지 배기량(1,685cc) ","27,000",0,"25,149","1,851",가액변동 
,,,,,,,
▶ 예금(소계) ,"151,364","27,543","24,097","154,810",,,
,,,,,,,
본인 ,,"신용협동조합중앙회 2,153(46 증가), 농협은행 3,170(8,849 감소), 농협중앙회 24,464(1,728 감소), (주)KEB하나은행 90(1 증가), 도농 312, 새마을금고중앙회 공제사업부 14,240(909 증가) ","54,050","7,122","16,743","44,429",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 5,852(840 감소), 에이비엘생명보험 8,134(1,161 감소), DB손해보험(주) 26,430(2,773 증가), 스탠다드차타드은행 56, 삼성화재해상보험 25,628(3,674 증가), 국민은행 5,659(5,659 증가), 흥국화재해상보험(주) 465(465 증가), 신한은행 4,232(2,607 감소), 농협중앙회 19,850(17 증가), 현대라이프생명보험 317(206 증가) ","88,437","13,193","5,007","96,623",
,,,,,,,
모 ,,"씨티은행 15(457 감소), 농협중앙회 3,176(122 증가) ","3,526",122,457,"3,191",급여저축및생활비지출등 
,,,,,,,
장녀 ,,"국민은행 726(691 증가), (주)KEB하나은행 45(36 증가), 스탠다드차타드은행 1,237(1 증가), 농협은행 150(205 감소), 우리은행 2 ","1,637",728,205,"2,160",
,,,,,,,
차녀 ,,"(주)KEB하나은행 188(1,174 감소) ","1,362",126,"1,300",188,
,,,,,,,
장남 ,,"신한은행 1,262(950 증가), 중소기업은행 4,050(2,768 증가), 국민은행 1,824(1,499 증가), 씨티은행 1, (주)KEB하나은행 900(600 증가), 우리은행 82, 농협은행 100(50 증가) ","2,352","6,252",385,"8,219",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"16,166","73,317",0,"89,483",,,
,,,,,,,
본인 ,,"농협은행 89,483(73,317 증가) ","16,166","73,317",0,"89,483",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"20,000",0,0,"20,000",,,
,,,,,,,
본인 ,,사인간채권 ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"93,447","40,153","32,100","101,500",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 31,457(31,457 증가), 신한은행 57,656(8,182 증가), 농협중앙회 5,568(514 증가), 오릭스캐피탈코리아 0(26,348 감소) ","80,876","40,153","26,348","94,681",일부상환후재대출등 
,,,,,,,
배우자 ,금융기관채무 ,"현대캐피탈 6,819(5,752 감소) ","12,571",0,"5,752","6,819",할부금 일부 상환 
,,,,,,,
▶금및백금(소계) ,"20,720",0,78,"20,642",,,
,,,,,,,
배우자 ,,"금, 24K, 450g 감소 ","20,720",0,78,"20,642",가액변동 
,,,,,,,
▶ 골동품 및 예술품(소계) ,"65,000",0,0,"65,000",,,
,,,,,,,
배우자 ,,"악기 (비올라, 16인치Cm, Giuseppe Lepri, 1937년) ","65,000",- ,- ,"65,000",가액변동없음 
,,,,,,,
▶ 회원권(소계) ,"6,000",0,0,"6,000",,,
,,,,,,,
배우자 ,콘도미니엄 ,베어스타운 타워콘도 ,"6,000",- ,- ,"6,000",가액변동없음 
,,,,,,,
총계 ,"1,043,361","92,352","17,224","1,118,489","증감액:75,128천원 (가액변동: -1,582천원) ",,
,,,,,,,
