소속 ,국회 ,직위 ,국회의원 ,성명 ,김규환 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"653,127","55,172",0,"708,299",,,
,,,,,,,
본인 ,전 ,"강원도 평창군 방림면 운교리 778번지 1,881.00m² ","28,779","1,505",0,"30,284",가액변동 
,,,,,,,
본인 ,전 ,강원도 평창군 방림면 운교리 779번지 109.00m² ,"1,667",87,0,"1,754",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 방림면 운교리 780번지 1,924.00m² ","29,437","1,539",0,"30,976",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 방림면 운교리 781번지 4,081.00m² ","69,377","4,081",0,"73,458",가액변동 
,,,,,,,
본인 ,전 ,강원도 평창군 방림면 운교리 820-3번지 276.00m² ,"5,161",276,0,"5,437",가액변동 
,,,,,,,
본인 ,전 ,강원도 평창군 방림면 운교리 820-4번지 81.00m² ,"1,287",73,0,"1,360",가액변동 
,,,,,,,
본인 ,전 ,강원도 평창군 방림면 운교리 821-1번지 133.00m² ,"2,114",120,0,"2,234",가액변동 
,,,,,,,
본인 ,전 ,강원도 평창군 방림면 운교리 822-1번지 230.00m² ,"3,657",207,0,"3,864",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 방림면 운교리 820번지 1,347.00m² ","25,188","1,347",0,"26,535",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 방림면 운교리 820-1번지 1,218.00m² ","22,776","1,218",0,"23,994",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 방림면 운교리 820-2번지 4,321.00m² ","82,963","4,753",0,"87,716",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 방림면 운교리 821번지 4,627.00m² ","80,972","4,627",0,"85,599",가액변동 
,,,,,,,
본인 ,전 ,강원도 평창군 방림면 운교리 822번지 762.00m² ,"13,335",762,0,"14,097",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 방림면 운교리 826번지 1,534.00m² ","1,580",15,0,"1,595",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 방림면 운교리 827번지 1,081.00m² ","1,113",11,0,"1,124",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 방림면 운교리 832-1번지 9,389.00m² ","153,040","9,389",0,"162,429",가액변동 
,,,,,,,
본인 ,대지 ,강원도 평창군 방림면 운교리 832-3번지 122.00m² ,"2,757",158,0,"2,915",가액변동 
,,,,,,,
본인 ,답 ,강원도 평창군 방림면 운교리 832-6번지 551.00m² ,"8,981",551,0,"9,532",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 방림면 운교리 834번지 1,709.00m² ","27,173","1,538",0,"28,711",가액변동 
,,,,,,,
본인 ,전 ,"강원도 평창군 방림면 운교리 835번지 1,871.00m² ","30,497","1,871",0,"32,368",가액변동 
,,,,,,,
본인 ,답 ,"경상남도 함안군 대산면 부목리 584-2번지 1,480.00m² ","33,300","12,580",0,"45,880",가액변동 
,,,,,,,
본인 ,답 ,경상남도 함안군 대산면 부목리 584-3번지 687.00m² ,"14,014","7,283",0,"21,297",가액변동 
,,,,,,,
배우자 ,임야 ,"경상남도 함안군 대산면 부목리 161-1번지 2,624.00m² ","13,959","1,181",0,"15,140",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,169,598","20,641","21,888","1,168,351",,,
,,,,,,,
본인 ,아파트 ,경상남도 김해시 관동동 팔판마을6단지푸르지오 건물 138.58m² ,"292,000",0,"21,000","271,000",가액변동 
,,,,,,,
본인 ,단독주택 ,강원도 평창군 방림면 운교리 대지 660.00m² 건물 165.07m² ,"112,354",0,888,"111,466",가액변동 
,,,,,,,
본인 ,오피스텔 ,서울특별시 마포구 상암동 디엠씨이안상암1단지 대지 7.32m² 건물 46.05m² ,"136,869","5,309",0,"142,178",가액변동 
,,,,,,,
배우자 ,상가 ,경상남도 김해시 무계동 대지 267.80m² 건물 155.58m² ,"258,375","15,332",0,"273,707",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 영등포구 영등포동8가 당산푸르지오아파트 건물 79.33m² ,"370,000",0,0,"370,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"24,530",0,"3,350","21,180",,,
,,,,,,,
본인 ,자동차 ,"2005년식 GS300 배기량(3,000cc) ","10,680",0,"1,050","9,630",가액변동 
,,,,,,,
본인 ,자동차 ,"2009년식 BH330 배기량(3,342cc) ","13,850",0,"2,300","11,550",가액변동 
,,,,,,,
▶ 예금(소계) ,"443,419","60,544","138,702","365,261",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 232(226 증가), 신한은행 1,260(326 감소), 우리은행 15, 농협은행 15,284(17,858 감소), (주)KEB하나은행 58,816(25,780 증가), 농협중앙회 2,154(51 증가), 한화생명보험 7,200, 한국투자증권 174(209 감소), 삼성화재해상보험 1,856(327 증가), 스탠다드차타드은행 18 ","79,018","33,201","25,210","87,009",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 120,434(61,076 감소), 동양생명보험 100,333, (주)KB손해보험 14,956(3,834 증가), 농협중앙회 19, 한화손해보험 5,971, 두산공작기계&한 1, 한화생명보험 0(30,000 감소), 농협은행 1,240(577 증가), 신한금융투자(주) 270(221 증가), 교보생명보험 12,000, 농협생명보험 16,000 ","357,668","25,353","111,797","271,224",
,,,,,,,
장녀 ,,"(주)KEB하나은행 5,033(1,695 감소), 국민은행 2, 우리은행 1, 부산은행 1, 한국카카오은행(주) 1,990(1,990 증가), 신한은행 1 ","6,733","1,990","1,695","7,028",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"38,105","66,060",0,"104,165",,,
,,,,,,,
본인 ,,"농협은행 104,165(66,060 증가) ","38,105","66,060",0,"104,165",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"24,108",937,"13,321","11,724",,,
,,,,,,,
본인 ,상장주식 ,"LG전자 20주, 신한지주 0주(14주 감소), 하나금융지주 0주(120주 감소), 두산인프라코어 38주(26주 감소), 대우조선해양 4주(3주 감소), 삼성중공업 220주, 대림산업 0주(25주 감소) ","13,110",99,"9,909","3,300",일부주식매도및주식명의변경 
,,,,,,,
본인 ,비상장주식 ,"대우중공업 89주(88주 감소), 대우중공우 42주 ","1,095",0,440,655,
,,,,,,,
배우자 ,상장주식 ,"포스코대우 4주, 대림산업 0주(5주 감소), 미래에셋대우 51주, 하나금융지주 120주(6주 감소), 대우조선해양 3주(3주 증가), 미래에셋대우우 170주, 두산인프라코어 26주(26주 증가), 삼성중공업 50주, 대신증권우 60주, 대우건설 7주 ","9,243",303,"2,877","6,669",
,,,,,,,
배우자 ,비상장주식 ,"대우송도개발1우 57주, 자일자동차판매1우 19주(19주 증가), 대우산업개발1우 13주, 대우중공업 88주(88주 증가), 대우 43주, 대우자동차판매(신설)1우 0주(19주 감소) ",660,535,95,"1,100",
,,,,,,,
▶ 채무(소계) ,"100,000",0,0,"100,000",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 마포구 상암동 디엠씨이안상암1단지 임대보증금 ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"2,252,887","203,354","177,261","2,278,980","증감액:26,093천원 (가액변동: 49,221천원) ",,
,,,,,,,
