소속 ,국회 ,직위 ,국회의원 ,성명 ,주호영 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"2,772,000","358,000",0,"3,130,000",,,
,,,,,,,
본인 ,아파트 ,대구광역시 수성구 두산동 대우트럼프월드수성아파트 건물 105.00m² ,"312,000","12,000",0,"324,000",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 반포동 반포아파트 건물 140.33m² 중 93.55m² ,"1,273,333","230,667",0,"1,504,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 반포동 반포아파트 건물 140.33m² 중 46.78m² ,"636,667","115,333",0,"752,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 용산구 한강로1가 대우월드마크용산 건물 114.68m² ,"550,000",- ,- ,"550,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"16,890",0,"6,740","10,150",,,
,,,,,,,
본인 ,자동차 ,"2005년식 그랜저 배기량(3,300cc) ","5,690",0,"3,200","2,490",가액변동 
,,,,,,,
차남 ,자동차 ,"2011년식 쏘나타 배기량(1,988cc) ","11,200",0,"3,540","7,660",가액변동 
,,,,,,,
▶ 현금(소계) ,"18,000",0,0,"18,000",,,
,,,,,,,
본인 ,,현금 ,"18,000",- ,- ,"18,000",
,,,,,,,
▶ 예금(소계) ,"563,757","49,971","315,496","298,232",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 20, 삼성생명보험 84,554(4,686 증가), 신한은행 490, 상동 1,197(30 증가), 수성2.3가 1,162, 대구 은행 0(24 감소), 중동 1,193(29 증가), NH투자증권 3, 농협 은행 65,408(41,286 감소), 수성1가 1,232(30 증가), 국민 은행 10,679(136 증가), 청운신협 1,241, (주)KEB하나 은행 4,778(4 증가), 청운신협 34(34 증가), 두레 1,122(23 증가), 지범 1,166(24 증가), 스탠다드차타드은행 1,440(612 증가) ","211,421","15,584","51,286","175,719",전세보증금 차액 상환 등 
,,,,,,,
배우자 ,,"미래에셋대우(주) 5, 신한은행 24,211(257,127 감소), 삼성생명보험 15,030, 대구은행 218(1,040 감소), AIA생명보험 2,723, NH투자증권 3, 우리은행 485(343 감소) ","301,185","5,636","264,146","42,675",
,,,,,,,
차남 ,,"농협은행 138(64 감소), (주)KEB하나은행 9,711(847 증가), 국민은행 8,000(6,000 증가), NH투자증권 506(5 증가), 군인공제회 764(614 증가), 한국카카오은행(주) 100(100 증가), 신한은행 60,619(21,185 증가) ","51,151","28,751",64,"79,838",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"40,744","115,651",0,"156,395",,,
,,,,,,,
본인 ,,"대구은행 156,395(115,651 증가) ","40,744","115,651",0,"156,395",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"963,000","387,000","720,000","630,000",,,
,,,,,,,
본인 ,금융기관채무 ,"스탠다드차타드은행 200,000 ","200,000",0,0,"200,000",
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 서초구 반포동 반포아파트 임대보증금 감소 ,"763,000","387,000","720,000","430,000",전세계약 변경 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"2,448,391","136,622","-397,764","2,982,777","증 감 액 : 534,386천원 (가액변동: 351,260천원) ",,
,,,,,,,
