소속 ,국회 ,직위 ,국회의원 ,성명 ,지상욱 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"3,500,000","636,000",0,"4,136,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 압구정동 한양아파트 건물 208.65m² ,"2,080,000","336,000",0,"2,416,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 중구 신당동 남산포레스트하우스 건물 219.89m² ,"1,400,000","300,000",0,"1,700,000",전세보증금 증액 
,,,,,,,
본인 ,상가 전세(임차)권 ,서울특별시 중구 신당동 건물 81.26m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"102,960",0,"13,020","89,940",,,
,,,,,,,
배우자 ,자동차 ,"2014년식 에쿠스 배기량(3,778cc) ","62,520",0,"7,960","54,560",가액변동 
,,,,,,,
배우자 ,자동차 ,"2015년식 카니발 배기량(2,199cc) ","40,440",0,"5,060","35,380",가액변동 
,,,,,,,
▶ 예금(소계) ,"2,019,326","1,557,134","1,591,267","1,985,193",,,
,,,,,,,
본인 ,,"하나금융투자 24, 중소기업은행 7,099(1,160 증가), KB증권 1,430(1 증가), 삼성증권 2,883(17 증가), 농협은행 29,283(11,740 증가), 신한금융투자(주) 7, 국민은행 202,706(153,582 증가), (주)KEB하나은행 7,420(2,048 증가), 흥국화재해상보험(주) 5,699(517 증가), 한국투자증권 1,041(5 증가) ","88,522","173,823","4,753","257,592",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 0(110 감소), 국민은행 1,475,909(375,397 증가), 삼성생명보험 3,582(84,000 감소), 농협중앙회 0(500,000 감소), AIA생명보험 200,922(8,392 증가) ","1,880,734","1,383,303","1,583,624","1,680,413",
,,,,,,,
장녀 ,,"국민은행 24,973(1,440 감소), 중소기업은행 10 ","26,423",5,"1,445","24,983",
,,,,,,,
차녀 ,,"국민은행 22,205(1,442 감소) ","23,647",3,"1,445","22,205",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"38,872","7,458",0,"46,330",,,
,,,,,,,
본인 ,,"농협은행 46,330(7,458 증가) ","38,872","7,458",0,"46,330",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"311,751","640,000","11,751","940,000",,,
,,,,,,,
본인 ,,사인간채무 증가 ,0,"500,000",0,"500,000",전세보증금 납입 등을 위해 차용 
,,,,,,,
본인 ,금융기관채무 ,"중소기업은행 300,000 ","300,000",0,0,"300,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 압구정동 한양아파트 임대보증금 증가 ,0,"140,000",0,"140,000",전세보증금 중 계약금 
,,,,,,,
배우자 ,금융기관채무 ,"현대캐피탈 0(11,751 감소) ","11,751",0,"11,751",0,전액 상환 
,,,,,,,
▶ 회원권(소계) ,"386,000",0,"177,000","209,000",,,
,,,,,,,
본인 ,헬스 ,JW메리어트호텔마르케스회원권 ,"19,000",- ,- ,"19,000",가액변동없음 
,,,,,,,
본인 ,골프 ,라데나골프클럽 개인회원권 감소 ,"60,000",0,"60,000",0,매매 
,,,,,"-59,000",,
,,,,,,,
배우자 ,헬스 ,반얀트리 클럽엔스파 회원권 ,"150,000",- ,- ,"150,000",가액변동없음 
,,,,,,,
배우자 ,헬스 ,JW메리어트호텔마르케스회원권 ,"40,000",- ,- ,"40,000",가액변동없음 
,,,,,,,
배우자 ,골프 ,한화골든베이골프엔리조트 감소 ,"117,000",0,"117,000",0,매매 
,,,,,"-200,000",,
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"5,735,407","1,560,592","1,769,536","5,526,463","증 감 액 : -208,944천원 (가액변동: 322,980천원) ",,
,,,,,,,
