소속 ,국회 ,직위 ,국회의원 ,성명 ,진영 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,0,"172,555",0,"172,555",,,
,,,,,,,
배우자 ,대지 ,서울특별시 성동구 도선동 20번지 25.82m² (25.82m² 증가) ,- ,"172,555",0,"172,555",상속 
,,,,"-172,555",,,
,,,,,,,
▶ 건물(소계) ,"6,251,113","110,959","300,000","6,062,072",,,
,,,,,,,
본인 ,오피스텔 ,서울특별시 용산구 한강로1가 대지 7.02m² 건물 42.39m² ,"143,051","2,019",0,"145,070",가액변동 
,,,,,,,
본인 ,복합건물(주 택+상가) 전세(임차)권 ,서울특별시 용산구 한강로1가 삼각빌딩 3층 건물 48.20m² ,"5,000",0,0,"5,000",변동사항없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 대치동 동부센트레빌아파트 건물 177.35m² ,"1,480,000","80,000",0,"1,560,000",가액변동 
,,,,,,,
배우자 ,상가 ,서울특별시 은평구 불광1동 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,상가 ,서울특별시 은평구 불광동 대지 57.54m² 건물 158.98m² ,"689,575","28,940",0,"718,515",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 용산구 한강로1가 건물 190.00m² ,"930,000",0,"300,000","630,000",전세보증금 일부 반환 
,,,,,,,
배우자 ,상가 전세(임차)권 ,서울특별시 용산구 용문동 건물 128.70m² ,"80,000",0,0,"80,000",변동사항없음 
,,,,,,,
배우자 ,아파트 (분양권) ,서울특별시 용산구 한강로3가 건물 135.38m² ,"1,743,400",0,0,"1,743,400",변동사항없음 
,,,,,,,
배우자 ,상가 (분양권) ,서울특별시 용산구 한강로3가 77호 건물 55.10m² ,"461,156",0,0,"461,156",변동사항없음 
,,,,,,,
배우자 ,상가 (분양권) ,서울특별시 용산구 한강로3가 84호 건물 54.84m² ,"458,931",0,0,"458,931",변동사항없음 
,,,,,,,
장남 ,아파트 전세(임차)권 ,서울특별시 용산구 이촌동 건물 59.88m² ,"260,000",0,0,"260,000",변동사항없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"38,740",0,"6,960","31,780",,,
,,,,,,,
본인 ,자동차 ,"2007년식 그랜저 배기량(2,656cc) ","6,630",0,"1,540","5,090",가액변동 
,,,,,,,
배우자 ,자동차 ,"2015년식 제네시스(GENESIS) 배기량(3,342cc) ","32,110",0,"5,420","26,690",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,701,243","576,998","766,909","1,511,332",,,
,,,,,,,
본인 ,,"신한은행 4,236(2,227 증가), 삼성생명보험 32,580(4,080 증가), 새마을금고 12,005(258 증가), NH투자증권 322,573 (11,652 증가), 농협은행 29,506(11,739 감소), 국민은행 16,107(204 증가), (주)KEB하나은행 3,510(1,605 증가), 한국산업은행 203,360(52,304 증가), 동양생명보험 71,028 ","634,314","203,955","143,364","694,905","급여소득, 사업소득, 금융소득,"
,,,,,,,"생활비, 유학비 송금, 가액변동 "
,,,,,,,
배우자 ,,"새마을금고중앙회 공제사업부 31,101(3,659 증가), 흥국생명 보험 60,000, 국민은행 26,357(16,324 감소), KB증권 50,533 (49,612 증가), 우체국 32,400(3,600 증가), 동양생명보험 71,028, 신한은행 662(74 감소), NH투자증권 102,098(150,078 감소), 씨티은행 12,602(5,993 증가), 새마을금고 1,235(36 증가), 한국산업은행 16(71,077 감소), 우리은행 8,133 (19,719 감소), 교보생명보험 59,664(5,446 증가), 한국투자 증권 41,267(18,036 감소) ","704,058","153,257","360,219","497,096",
,,,,,,,
모 ,,"국민은행 140,934(12,190 감소), 우리은행 0(50,000 감소), NH투자증권 52,540(52,540 증가) ","203,124","182,540","192,190","193,474",
,,,,,,,
장남 ,,"신한은행 0(12 감소), 한국카카오은행(주) 2,450(2,450 증가), 우리은행 35,070(11,985 증가), (주)KEB하나은행 0(805 감소), NH투자증권 7,286(24,994 감소) ","56,182","14,850","26,226","44,806",
,,,,,,,
장녀 ,,"신한은행 869(317 증가), NH투자증권 80,182(22,831 감소) ","103,565","22,396","44,910","81,051",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"4,714",0,"1,746","2,968",,,
,,,,,,,
본인 ,,"농협은행 2,968(1,746 감소) ","4,714",0,"1,746","2,968",정치자금 사용 
,,,,,,,
▶ 유가증권(소계) ,"176,252","558,337","24,859","709,730",,,
,,,,,,,
본인 ,공채 ,"BNTNB605/15/1 140,000좌 ","48,824",0,"4,683","44,141","가액변동, 회사채매입, 주식매수, 주식매도 "
,,,,,,,
배우자 ,상장주식 ,"삼성전기 150주(150주 증가), 대한항공 499주, GS리테일 500주(402주 감소), NH투자증권 2,300주, 아모레퍼시픽 600주(600주 증가), 삼성전자 400주(400주 증가) ","85,211","156,705","18,455","223,461",
,,,,,,,
배우자 ,공채 ,"BNTNB 608/15/1 124,000좌(84,000좌 증가) ","40,817",0,"1,721","39,096",
,,,,,,,
배우자 ,회사채 ,"신한미드스트림 200,863,271주(200,863,271주 증가), 국민은행3806 101,276주(101,276주 증가), SK해운61 99,433주(99,433주 증가) ",0,"401,009",0,"401,009",
,,,,,,,
장남 ,상장주식 ,"대림제지 1,400주 ","1,400",623,0,"2,023",
,,,,,,,
▶ 채무(소계) ,"1,969,999",0,"40,000","1,929,999",,,
,,,,,,,
배우자 ,금융기관채무 ,"신한은행 509,999 ","509,999",0,0,"509,999",변동사항없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 은평구 불광1동 임대보증금 ,"120,000",0,0,"120,000",변동사항없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강남구 대치1동 동부센트레빌아파트 임대보증금 ,"1,300,000",0,0,"1,300,000",변동사항없음 
,,,,,,,
장남 ,금융기관채무 ,"우리은행 0(40,000 감소) ","40,000",0,"40,000",0,상환 
,,,,,,,
총계 ,"6,202,063","1,418,849","1,060,474","6,560,438","증 감 액 : 358,375천원 (가액변동: 102,267천원) ",,
,,,,,,,
