소속 ,국회 ,직위 ,국회의원 ,성명 ,채이배 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"20,064","1,314",0,"21,378",,,
,,,,,,,
본인 ,전 ,"강원도 원주시 문막읍 동화리 산 39번지 7,166.00m² 중 1,194.30m² ","20,064","1,314",0,"21,378",개별공시지가 상승 
,,,,,,,
▶ 건물(소계) ,"393,000","244,000","193,000","444,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 동대문구 제기동 한신아파트 건물 77.00m² 중 38.50m² ,"100,000","20,000",0,"120,000",공시가격 상승 
,,,,,,,
본인 ,아파트 ,"서울특별시 종로구 익선동 현대뜨레비앙 건물 0.00m² 중 0.00m² (건물 총면적 60.00m² 감소, 지분면적 30.00m² 감소) ","96,500",0,"96,500",0,매도 
,,,,,"-145,000",,
,,,,,,,
본인 ,아파트 ,경기도 양주시 덕계동 양주푸르지오 건물 123.87m² (건물 123.87m² 증가) ,- ,"204,000",0,"204,000","대물변제 회수, 상속 "
,,,,"-204,000",,,
,,,,,,,
배우자 ,아파트 ,서울특별시 동대문구 제기동 한신아파트 건물 77.00m² 중 38.50m² ,"100,000","20,000",0,"120,000",공시가격 상승 
,,,,,,,
배우자 ,아파트 ,"서울특별시 종로구 익선동 현대뜨레비앙 건물 0.00m² 중 0.00m² (건물 총면적 60.00m² 감소, 지분면적 30.00m² 감소) ","96,500",0,"96,500",0,매도 
,,,,,"-145,000",,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"3,000",0,0,"3,000",,,
,,,,,,,
본인 ,자동차 ,"2002년식 EF쏘나타 배기량(2,000cc) ","3,000",- ,- ,"3,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"227,867","495,726","92,197","631,396",,,
,,,,,,,
본인 ,,"카카오뱅크 0(62 감소), 삼성생명보험 8,853, 우체국 47,316(4,075 증가), 아이비케이투자증권(주) 100,000(100,000 증가), 농협은행 14,823(17,057 감소), 대신증권 103,846(35,813 증가), 한국카카오은행(주) 52(52 증가), 유진투자증권 1,405(8,767 감소), (주)대신저축은행 9 ","162,250","147,370","33,316","276,304","부동산 매도 대금, 급여 저축액, 금융상품 수익 등 증가, 생활비지출등감소 "
,,,,,,,
배우자 ,,"대신증권 221,326(221,326 증가), 유진투자증권 503(9,722 감소), 미래에셋대우(주) 7, 국민은행 0(4 감소), 키움닷컴 증권 64(64 증가), 아이비케이투자증권(주) 117,985(117,985 증가), 우체국 14,844(40,313 감소), 신한은행 0(3 감소), 카카오뱅크 0(108 감소), 씨티은행 0(11 감소), 한국카카오 은행(주) 260(260 증가), 한국투자증권 103(1 증가) ","65,617","348,356","58,881","355,092",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"159,440","262,596","159,440","262,596",,,
,,,,,,,
본인 ,,"KB증권 262,596(262,596 증가), 농협은행 0(159,440 감소) ","159,440","262,596","159,440","262,596",정치자금계좌변경및잔액증가 
,,,,,,,
▶ 유가증권(소계) ,"3,396",0,758,"2,638",,,
,,,,,,,
배우자 ,상장주식 ,"대한전선보통주 375주, 동국제강보통주 1주, 현대자동차보통 19주 ","3,396",0,758,"2,638",평가액 변동 
,,,,,,,
▶ 채권(소계) ,"201,200",0,"201,200",0,,,
,,,,,,,
본인 ,,사인간채권 감소 ,"201,200",0,"201,200",0,대물변제 회수 
,,,,,,,
▶ 채무(소계) ,"211,200","21,386","17,200","215,386",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 194,000(7,200 감소) ","201,200",0,"7,200","194,000",일부 상환 
,,,,,,,
본인 ,건물임대채무 ,경기도 양주시 덕계동 양주푸르지오 임대보증금 증가 ,0,"20,000",0,"20,000",임대보증금 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 종로구 익선동 현대뜨레비앙 임대보증금 감소 ,"10,000",0,"10,000",0,매도에 따른 임대보증금 감소 
,,,,,,,
배우자 ,금융기관채무 ,"우체국 1,386(1,386 증가) ",0,"1,386",0,"1,386",생활비지출등 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,등록제외 ,- ,- ,- ,- ,사망 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"796,767","982,250","629,395","1,149,622","증 감 액 : 352,855천원 (가액변동: 40,556천원) ",,
,,,,,,,
