소속 ,국회 ,직위 ,국회의원 ,성명 ,천정배 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,087,915","18,782",0,"1,106,697",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,광주광역시 서구 풍암동 신암마을중흥3차아파트 건물 106.50m² ,"25,000",0,0,"25,000",
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 안산시 단원구 선부동 동보빌딩 건물 38.37m² ,"48,000",0,0,"48,000",
,,,,,,,
본인 ,사무실 ,서울특별시 서초구 서초동 금구빌딩 대지 17.80m² 건물 53.82m² ,"214,915","11,782",0,"226,697",가액 변동 
,,,,,,,
본인 ,아파트 ,서울특별시 동작구 상도동 상도엠코타운센트럴파크 건물 84.78m² ,"698,000",0,0,"698,000",
,,,,,,,
모 ,아파트 ,전라남도 목포시 석현동 근화네오빌아파트 건물 84.95m² ,"102,000","7,000",0,"109,000",가액 변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"28,630",0,"4,080","24,550",,,
,,,,,,,
본인 ,자동차 ,"2015년식 LF쏘나타 배기량(1,999cc) ","19,000",0,"2,950","16,050",가액 변동 
,,,,,,,
본인 ,자동차 ,"2009년식 오피러스2.7 배기량(2,700cc) ","9,630",0,"1,130","8,500",가액 변동 
,,,,,,,
▶ 예금(소계) ,"158,196","70,032","122,137","106,091",,,
,,,,,,,
본인 ,,"신한은행 465(1 증가), 우리은행 9, 신용협동조합중앙회 353(7 증가), 새마을금고 268(6 증가), 농협은행 4,820(872 감소), 삼청 4, 국민은행 2, 서울변호사신용협동조합 4,397(153 증가) ","11,023","3,642","4,347","10,318","생활비지출,채무상환등 "
,,,,,,,
배우자 ,,"미래에셋대우(주) 69, 국민은행 40,099(55,229 감소), 우리은행 477(184 증가) ","95,690","40,184","95,229","40,645",
,,,,,,,
부 ,,"수협은행 33, 농협중앙회 712(385 감소) ","1,130",0,385,745,
,,,,,,,
모 ,,"농협중앙회 27,489(5,721 증가), 신용협동조합중앙회 39(1 증가), 대신증권 26,127(2,176 감소), (주)KEB하나은행 728(484 증가) ","50,353","26,206","22,176","54,383",
,,,,,,,
▶ 채권(소계) ,"30,000",0,0,"30,000",,,
,,,,,,,
본인 ,,사인간채권 ,"30,000",0,0,"30,000",
,,,,,,,
▶ 채무(소계) ,"473,000","83,183","123,500","432,683",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"449,500",0,"100,000","349,500",일부채무상환 
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 0(3,500 감소), 농협은행 63,183(63,183 증가) ","3,500","63,183","3,500","63,183",생활비 등 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 서초동 금구빌딩 임대보증금 ,"20,000","20,000","20,000","20,000",
,,,,,,,
총계 ,"831,741","5,631","2,717","834,655","증감액:2,914천원 (가액변동: 14,702천원) ",,
,,,,,,,
