소속 ,국회 ,직위 ,국회의원 ,성명 ,최경환(崔炅煥) ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"238,000","229,000","10,000","457,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 마포구 중동 강림월드타운 건물 79.60m² ,"228,000","14,000",0,"242,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,광주광역시 북구 운암동 일신아파트 건물 0.00m² (건물 59.82m² 감소) ,"10,000",0,"10,000",0,이사로 인한 전세(임차)권 상실 
,,,,,"-10,000",,
,,,,,,,
본인 ,아파트 전세(임차)권 ,광주광역시 북구 운암동 일신아파트 건물 59.82m² (건물 59.82m² 증가) ,- ,"10,000",0,"10,000",이사로 인한 전세(임차)권 취득 
,,,,"-10,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,광주광역시 북구 양산동 2층 건물 148.76m² (건물 148.76m² 증가) ,- ,"5,000",0,"5,000",국회의원지역사무실
,,,,,,,임차보증금
,,,,,,,
장남 ,아파트 전세(임차)권 ,전라남도 여수시 웅천동 웅천지웰 건물 59.91m² (건물 59.91m² 증가) ,- ,"200,000",0,"200,000",전세(임차)권 취득 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"8,010","6,950","8,010","6,950",,,
,,,,,,,
장남 ,자동차 ,"2013년식 아반떼MD 배기량(1,591cc) ","8,010",0,"8,010",0,차량번호오류기재로 삭제 
,,,,,,,
장남 ,자동차 ,"2013년식 아반떼MD 배기량(1,591cc) 증가 ",0,"6,950",0,"6,950",차량번호오류정정 및 가액변동 
,,,,,,,
▶ 현금(소계) ,"10,000",0,0,"10,000",,,
,,,,,,,
본인 ,,현금 ,"10,000",0,0,"10,000",생활비 
,,,,,,,
▶ 예금(소계) ,"131,919","88,068","34,662","185,325",,,
,,,,,,,
본인 ,,"우리은행 5(5 증가), 새마을금고 106(3 증가), 농협은행 50,931(6,342 감소), 한화생명보험 9,456, (주)KEB하나은행 205(643 감소) ","67,680",26,"7,003","60,703",급여저축및생활비지출 
,,,,,,,
배우자 ,,"국민은행 13(13 증가), 삼성생명보험 0(9,147 감소), 우리은행 38,108(23,694 증가), 새마을금고 200(200 증가), 농협은행 10(10 증가), MG손해보험(주) 15(15 증가) ","23,561","36,452","21,667","38,346",
,,,,,,,
장남 ,,"현대라이프생명보험 6,440(1,680 증가), 신한생명보험 1,096(1,096 증가), 삼성생명보험 6,181(6,181 증가), (주)KEB하나은행 48,009(16,363 증가), 국민은행 4(4 증가), DB손해보험(주) 779(334 증가) ","36,851","28,238","2,580","62,509",
,,,,,,,
장녀 ,,"삼성증권 14,342(14,342 증가), 삼성생명보험 4,123(4,123 증가), 우리은행 5,302(1,487 증가), 신한은행 0(12 감소) ","3,827","23,352","3,412","23,767",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"48,477","8,549",0,"57,026",,,
,,,,,,,
본인 ,,"농협은행 57,026(8,549 증가) ","48,477","8,549",0,"57,026",후원금모금으로 인한 정치자금 잔액변동 
,,,,,,,
▶ 채무(소계) ,"129,765","125,000","3,688","251,077",,,
,,,,,,,
본인 ,금융기관채무 ,"(주)KEB하나은행 126,077(3,688 감소) ","129,765",0,"3,688","126,077",주택자금대출-일부상환 
,,,,,,,
장남 ,금융기관채무 ,"(주)KEB하나은행 125,000(125,000 증가) ",0,"125,000",0,"125,000",전세자금대출 
,,,,,,,
총계 ,"306,641","207,567","48,984","465,224","증 감 액 : 158,583천원 (가액변동: 14,000천원) ",,
,,,,,,,
