소속 ,국회 ,직위 ,국회의원 ,성명 ,최교일 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"328,496","310,199","94,555","544,140",,,
,,,,,,,
배우자 ,임야 ,"경상남도 밀양시 산내면 용전리 산 45-3번지 7,330.00m² 중 1,832.50m² ","3,976",367,0,"4,343",가액변동 
,,,,,,,
배우자 ,임야 ,경상남도 밀양시 산내면 용전리 산 45-4번지 177.00m² 중 44.25m² ,88,8,0,96,가액변동 
,,,,,,,
배우자 ,임야 ,경상남도 밀양시 산내면 용전리 산 45-5번지 169.00m² 중 42.25m² ,81,7,0,88,가액변동 
,,,,,,,
배우자 ,대지 ,경상남도 밀양시 하남읍 파서리 1038-1번지 111.00m² 중 27.75m² ,"2,861",280,0,"3,141",가액변동 
,,,,,,,
배우자 ,대지 ,경상남도 밀양시 하남읍 파서리 1065번지 76.00m² 중 19.00m² ,"1,884",299,0,"2,183",가액변동 
,,,,,,,
배우자 ,대지 ,경상남도 밀양시 하남읍 파서리 1065-2번지 143.00m² 중 35.75m² ,"3,546",561,0,"4,107",가액변동 
,,,,,,,
배우자 ,대지 ,경상남도 밀양시 하남읍 파서리 1065-3번지 80.00m² 중 20.00m² ,"1,984",314,0,"2,298",가액변동 
,,,,,,,
배우자 ,대지 ,경상남도 밀양시 하남읍 파서리 1066번지 175.00m² 중 43.75m² ,"4,283",424,0,"4,707",가액변동 
,,,,,,,
배우자 ,대지 ,경상남도 밀양시 하남읍 파서리 1067번지 175.00m² 중 43.75m² ,"4,283",424,0,"4,707",가액변동 
,,,,,,,
배우자 ,답 ,"경상남도 밀양시 하남읍 파서리 1068번지 2,832.00m² 중 708.00m² ","53,808","5,664",0,"59,472",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 밀양시 하남읍 파서리 1068-1번지 214.00m² 중 53.50m² ,"4,066",428,0,"4,494",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 밀양시 하남읍 파서리 1068-2번지 125.00m² 중 31.25m² ,"2,375",381,0,"2,756",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 밀양시 하남읍 파서리 1068-3번지 105.00m² 중 26.25m² ,"1,995",320,0,"2,315",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 밀양시 하남읍 파서리 1068-4번지 36.00m² 중 9.00m² ,684,72,0,756,가액변동 
,,,,,,,
배우자 ,대지 ,경상남도 밀양시 하남읍 파서리 1070번지 70.00m² 중 17.50m² ,"1,828",182,0,"2,010",가액변동 
,,,,,,,
배우자 ,대지 ,경상남도 밀양시 하남읍 파서리 1070-1번지 68.00m² 중 17.00m² ,"1,776",177,0,"1,953",가액변동 
,,,,,,,
배우자 ,대지 ,경상남도 밀양시 하남읍 파서리 1070-2번지 41.00m² 중 10.25m² ,"1,440",0,263,"1,177",가액변동 
,,,,,,,
배우자 ,전 ,"경상남도 밀양시 하남읍 파서리 1093-1번지 2,036.00m² 중 509.00m² ","25,500","3,360",0,"28,860",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 밀양시 하남읍 파서리 1105-2번지 183.00m² 중 45.75m² ,"6,313",595,0,"6,908",가액변동 
,,,,,,,
배우자 ,답 ,경상남도 밀양시 하남읍 파서리 1105-3번지 54.00m² 중 13.50m² ,"1,863",175,0,"2,038",가액변동 
,,,,,,,
배우자 ,공장용지 ,경상남도 밀양시 하남읍 파서리 1106번지 112.00m² 중 28.00m² ,"4,034",387,0,"4,421",가액변동 
,,,,,,,
배우자 ,전 ,경상남도 밀양시 하남읍 파서리 1106-3번지 22.00m² 중 5.50m² ,146,30,0,176,가액변동 
,,,,,,,
배우자 ,도로 ,경상남도 밀양시 하남읍 파서리 1106-4번지 12.00m² 중 3.00m² ,24,5,0,29,가액변동 
,,,,,,,
배우자 ,전 ,경상남도 밀양시 하남읍 파서리 1106-5번지 469.00m² 중 117.25m² ,"2,931",586,0,"3,517",가액변동 
,,,,,,,
배우자 ,전 ,"경상남도 밀양시 하남읍 파서리 1109번지 1,802.00m² 중 450.50m² ","11,262","2,253",0,"13,515",가액변동 
,,,,,,,
배우자 ,전 ,경상남도 밀양시 하남읍 파서리 1110-2번지 551.00m² 중 137.75m² ,"3,306",661,0,"3,967",가액변동 
,,,,,,,
배우자 ,전 ,"경상남도 밀양시 하남읍 파서리 1112번지 1,147.00m² 중 286.75m² ","6,882","1,376",0,"8,258",가액변동 
,,,,,,,
배우자 ,도로 ,경상남도 밀양시 하남읍 파서리 1262-5번지 18.00m² 중 4.50m² ,166,16,0,182,가액변동 
,,,,,,,
배우자 ,답 ,"경상북도 경주시 외동읍 개곡리 110번지 2,909.00m² 중 727.25m² ","29,453","3,273",0,"32,726",가액변동 
,,,,,,,
배우자 ,전 ,경상북도 경주시 외동읍 개곡리 111번지 625.00m² 중 156.25m² ,"6,265",406,0,"6,671",가액변동 
,,,,,,,
배우자 ,임야 ,"경상북도 경주시 외동읍 냉천리 산 74-3번지 2,380.00m² 중 595.00m² ","1,225",179,0,"1,404",가액변동 
,,,,,,,
배우자 ,도로 ,울산광역시 동구 전하동 688-12번지 45.00m² 중 11.25m² ,"3,136",11,0,"3,147",가액변동 
,,,,,,,
배우자 ,전 ,"울산광역시 북구 진장동 784-1번지 0.00m² 중 0.00m² (총면적 1,527.00m² 감소, 지분면적 381.75m² 감소) ","94,292",0,"94,292",0,토지구획정리로 인한 소유권 상실 
,,,,,,,
배우자 ,목장용지 ,"충청북도 청주시 흥덕구 강내면 사곡리 48번지 1,150.00m² 중 287.50m² ","17,192",661,0,"17,853",가액변동 
,,,,,,,
배우자 ,도로 ,울산광역시 동구 일산동 453-17번지 193.40m² 중 48.35m² ,"14,132",68,0,"14,200",가액변동 
,,,,,,,
배우자 ,도로 ,울산광역시 동구 전하동 688-16번지 45.00m² 중 11.25m² ,"3,136",11,0,"3,147",가액변동 
,,,,,,,
배우자 ,도로 ,울산광역시 동구 전하동 688-22번지 45.00m² 중 11.25m² ,"3,136",11,0,"3,147",가액변동 
,,,,,,,
배우자 ,도로 ,울산광역시 동구 전하동 688-26번지 45.10m² 중 11.28m² ,"3,144",12,0,"3,156",가액변동 
,,,,,,,
배우자 ,대지 ,"울산광역시 북구 명촌동 0-0번지 764.40m² 중 191.10m² (총면적 764.40m² 증가, 지분면적 191.10m² 증가) ",- ,"182,309",0,"182,309",토지구획정리로 인한 재등록 
,,,,"-182,309",,,
,,,,,,,
배우자 ,대지 ,"울산광역시 북구 명촌동 0-0번지 388.80m² 중 97.20m² (총면적 388.80m² 증가, 지분면적 97.20m² 증가) ",- ,"103,906",0,"103,906",토지구획정리로 인한 재등록 
,,,,"-103,906",,,
,,,,,,,
▶ 건물(소계) ,"3,084,338","2,136,368","2,768,000","2,452,706",,,
,,,,,,,
본인 ,아파트 ,"서울특별시 강남구 대치동 개포우성2차아파트 건물 0.00m² 중 0.00m² (건물 총면적 137.36m² 감소, 지분면적 68.68m² 감소) ","732,000",0,"732,000",0,매도 
,,,,,"-1,455,000",,
,,,,,,,
본인 ,상가 전세(임차)권 ,경상북도 영주시 가흥동 2층 건물 304.57m² ,"50,000",- ,- ,"50,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상북도 문경시 점촌동 3층 건물 139.00m² ,"2,000",- ,- ,"2,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상북도 예천군 예천읍 남본리 2층 건물 76.03m² ,"5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,아파트 ,"서울특별시서초구방배동 롯데캐슬아르떼건물216.20m²중 108.10m² (건물 총면적 216.20m² 증가, 지분면적 108.10m² 증가) ",- ,"1,065,000 (1,065,000) ",0,"1,065,000",매입 
,,,,,,,
배우자 ,아파트 ,"서울특별시 강남구 대치동 개포우성2차아파트 건물 0.00m² 중 0.00m² (건물 총면적 137.36m² 감소, 지분면적 68.68m² 감소) ","732,000",0,"732,000",0,매도 
,,,,,"-1,455,000",,
,,,,,,,
배우자 ,아파트 ,경상북도 영주시 휴천동 남산현대아파트 건물 85.00m² ,"104,000",0,"4,000","100,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 서초구 방배동 롯데캐슬아르떼아파트 건물 0.00m² (건물 216.30m² 감소) ,"1,300,000",0,"1,300,000",0,계약만료 
,,,,,,,
배우자 ,상가 ,서울특별시 강남구 개포동 대지 12.32m² 건물 54.00m² ,"159,338","6,368",0,"165,706",가액변동 
,,,,,,,
배우자 ,아파트 ,"서울특별시서초구방배동 롯데캐슬아르떼건물216.20m²중 108.10m² (건물 총면적 216.20m² 증가, 지분면적 108.10m² 증가) ",- ,"1,065,000 (1,065,000) ",0,"1,065,000",매입 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,0,"75,090",0,"75,090",,,
,,,,,,,
본인 ,자동차 ,"2015년식 올뉴카니발하이리무진 배기량(2,199cc) 증가 ",0,"31,680",0,"31,680",리스차량인수 
,,,,,,,
배우자 ,자동차 ,"2018년식 스팅어 배기량(3,342cc) 증가 ",0,"43,410",0,"43,410",매입 
