소속 ,국회 ,직위 ,국회의원 ,성명 ,최도자 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"286,502","32,000","11,286","307,216",,,
,,,,,,,
본인 ,아파트 ,전라남도 여수시 소호동 주은금호아파트 건물 73.58m² (건물 37.42m² 감소) ,"86,000","12,000",0,"98,000",가액변동 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 마포구 도화동 나눔오피스텔 건물 0.00m² (건물 29.12m² 감소) ,"10,000",0,"10,000",0,이사 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,"서울특별시 영등포구 여의도동 더하우스소호오피스텔 건물 2,750.00m² 중 26.87m² (건물 총면적 2,750.00m² 증가, 지분면적 26.87m² 증가) ",- ,"20,000",0,"20,000",이사 
,,,,,,,
배우자 ,복합건물(주 택+상가) ,전라남도 여수시 신기동 대지 211.60m² 건물 116.14m² ,"190,502",0,"1,286","189,216",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"33,166",0,"11,226","21,940",,,
,,,,,,,
배우자 ,자동차 ,"2008년식 제네시스(GENESIS) 배기량(2,000cc) ","12,270",0,"4,870","7,400",가액변동 
,,,,,,,
장남 ,자동차 ,"2011년식 SM3 배기량(1,600cc) ","5,006",0,126,"4,880",가액변동 
,,,,,,,
장남 ,자동차 ,"2014년식 sm5 배기량(2,000cc) ","15,890",0,"6,230","9,660",가액변동 
,,,,,,,
▶ 예금(소계) ,"332,260","212,982","158,887","386,355",,,
,,,,,,,
본인 ,,"우리은행 11,000(2,500 증가), 우체국 104,798(39,786 증가), 농협은행 71,284(30,006 증가), AIA생명보험 3,041(5,334 감소), 국민은행 801(1 증가), 한화생명보험 58,608(3,540 감소), 농협중앙회 107(7 증가), 쌍봉신협 1, 여수참조은신협 ","237,275","197,966","124,449","310,792","만기해약, 급여저축 등으로 증가 "
,,,,,,,
,,"52,142(1,091증가),여수제일신협 9,010(9,000증가) ",,,,,
,,,,,,,
배우자 ,,"DB손해보험(주) 1,920(360 증가), 여천 126(10,251 감소), 국민은행 22(5 증가), 삼성화재해상보험 640(120 증가), 에이아이지손해보험(주) 58(58 증가), 우체국 11,549(376 증가), (주)KB손해보험 6,204(1,164 증가), 농협중앙회 11, 중소기업은행 13, AIA생명보험 23,184(2,177 감소), 신한생명보험 2,018(876 증가), 우리은행 4,582(4,582 증가), 라이나생명보험 1,265(185 증가) ","56,294","9,657","14,359","51,592",
,,,,,,,
모 ,,"우체국 752(119 증가), 농협중앙회 1 ",634,119,0,753,"만기해약, 급여저축 등으로 증가 "
,,,,,,,
손녀1 ,,"사직2동 1,094(756 증가), 농협은행 350 ",688,"1,094",338,"1,444",
,,,,,,,
손녀2 ,,"사직2동 807(599 증가), 농협은행 300 ",508,807,208,"1,107",
,,,,,,,
장남 ,,"한화생명보험 0(10,800 감소), 우체국 2(2 증가), (주)KEB하나은행 457(267 증가), 국민은행 40(33 증가), 농협은행 6,000 ","16,997",335,"10,833","6,499",
,,,,,,,
차남 ,,"DB손해보험(주) 11,122(1,167 증가), 신한생명보험 0(8,700 감소), 광주은행 371(268 증가), (주)KEB하나은행 1,090, 국민은행 59(59 증가), 씨티은행 1,510(1,510 증가), 농협중앙회 10, 우체국 6 ","19,864","3,004","8,700","14,168",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"10,947","26,417",0,"37,364",,,
,,,,,,,
본인 ,,"농협은행 37,364(26,417 증가) ","10,947","26,417",0,"37,364",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"81,000",0,"32,400","48,600",,,
,,,,,,,
차남 ,상장주식 ,"썬테크 4,500주 ","81,000",0,"32,400","48,600",평가액변동 
,,,,,,,
▶ 채권(소계) ,0,"10,000",0,"10,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,0,"10,000",0,"10,000",자금대여 
,,,,,,,
▶ 채무(소계) ,"76,897","113,071","12,675","177,293",,,
,,,,,,,
배우자 ,금융기관채무 ,"KB국민카드 0(1,125 감소), AIA생명보험 720(1,550 감소) ","3,395",0,"2,675",720,일부상환 
,,,,,,,
배우자 ,건물임대채무 ,전라남도 여수시 신기동 임대보증금 ,"45,000",0,0,"45,000",변동없음 
,,,,,,,
장남 ,금융기관채무 ,"(주)KEB하나은행 34,073(15,571 증가), 국민은행 82,500(82,500 증가) ","18,502","98,071",0,"116,573",주택자금대출 
,,,,,,,
차남 ,금융기관채무 ,"신한카드 15,000(5,000 증가) ","10,000","15,000","10,000","15,000",가계자금대출 
,,,,,,,
총계 ,"666,978","168,328","201,124","634,182","증 감 액 : -32,796천원 (가액변동: -32,912천원) ",,
,,,,,,,
