소속 ,국회 ,직위 ,국회의원 ,성명 ,최연혜 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"119,206","4,942",0,"124,148",,,
,,,,,,,
장녀 ,전 ,경기도 이천시 마장면 이평리 367-1번지 388.00m² ,"56,687","2,173",0,"58,860",가액변동 
,,,,,,,
장녀 ,도로 ,경기도 이천시 마장면 이평리 367-9번지 12.00m² ,622,22,0,644,가액변동 
,,,,,,,
장녀 ,전 ,경기도 이천시 마장면 이평리 367-10번지 443.00m² ,"35,307","1,728",0,"37,035",가액변동 
,,,,,,,
장녀 ,대지 ,경기도 이천시 마장면 이평리 367-11번지 182.00m² ,"26,590","1,019",0,"27,609",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,150,435","54,070",0,"1,204,505",,,
,,,,,,,
본인 ,아파트 ,서울특별시 동작구 사당동 롯데캐슬아파트 건물 155.60m² ,"541,000","50,000",0,"591,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 마포구 서교동 건물 198.20m² ,"400,000",0,0,"400,000",변동없음 
,,,,,,,
배우자 ,단독주택 ,경기도 이천시 마장면 이평리 건물 199.72m² ,"208,000","4,000",0,"212,000",가액변동 
,,,,,,,
장녀 ,기타 ,경기도 이천시 마장면 이평리 900호 건물 18.00m² ,"1,435",70,0,"1,505",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"14,668",0,"1,711","12,957",,,
,,,,,,,
배우자 ,자동차 ,"2010년식 쏘울 배기량(1,582cc) ","4,296",0,529,"3,767",가액변동 
,,,,,,,
배우자 ,자동차 ,"2011년식 K7 2.4GDI 배기량(2,359cc) ","10,372",0,"1,182","9,190",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,231,427","477,800","453,008","1,256,219",,,
,,,,,,,
본인 ,,"KB생명보험 78,000, 삼성생명보험 30,250, 우리은행 997(662 감소), 농협은행 43,764(18,383 증가), 국민은행 14,059(6,008 증가), 케이디비생명보험 9,288(210 증가), 교보생명보험 30,750, 스탠다드차타드은행 123,545(50,611 증가) ","256,103","147,923","73,373","330,653",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"흥국생명보험 54,000, KB생명보험 50,000, 국민은행 10,408(556 감소), 디지비생명보험(주) 100,000, 동양생명보험 25,200, 신한은행 298,735(48,959 감소), 삼성증권 11,522(68 증가), 우리은행 2,122(640 감소), 신한금융투자(주) 107,435(31,447 증가), 교보생명보험 200,546 ","878,608","305,650","324,290","859,968",
,,,,,,,
장녀 ,,"국민은행 6,000, (주)KEB하나은행 2,285(7,422 감소), 중소기업은행 7,226(8,120 감소), 한국카카오은행(주) 164(231 감소) ","31,448","1,944","17,717","15,675",
,,,,,,,
차녀 ,,"국민은행 1,881(4,539 감소), 스탠다드차타드은행 29,732(17,461 증가), 신한은행 260(30,067 감소), 농협은행 10,850, 동양생명보험 7,200(1,800 증가) ","65,268","22,283","37,628","49,923",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"44,733","19,502",0,"64,235",,,
,,,,,,,
본인 ,,"농협중앙회 64,235(19,502 증가) ","44,733","19,502",0,"64,235",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"160,000","130,000","160,000","130,000",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"160,000","130,000","160,000","130,000",채권환수등 
,,,,,,,
▶ 채무(소계) ,"360,156","142,000","158,354","343,802",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 130,000, 스탠다드차타드은행 193,734(26,637 감소) ","350,371","130,000","156,637","323,734",일부상환등 
,,,,,,,
장녀 ,금융기관채무 ,"씨티은행 8,068(1,717 감소), 현대카드(주) 12,000(12,000 증가) ","9,785","12,000","1,717","20,068",생활비등을위한대출등 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"1,618",0,"1,618",0,,,
,,,,,,,
모 ,,등록제외 ,"1,618",0,"1,618",0,사망 
,,,,,,,
총계 ,"2,361,931","544,314","457,983","2,448,262","증감액:86,331천원 (가액변동: 57,301천원) ",,
,,,,,,,
