소속 ,국회 ,직위 ,국회의원 ,성명 ,최운열 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"332,066","32,971",0,"365,037",,,
,,,,,,,
배우자 ,대지 ,경기도 용인시 수지구 신봉동 759-13번지 559.00m² ,"330,983","32,926",0,"363,909",가액변동 
,,,,,,,
배우자 ,임야 ,"경기도 용인시 수지구 신봉동 산 142-4번지 1,915.00m² 중 28.00m² ","1,083",45,0,"1,128",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,472,000","32,000","246,400","1,257,600",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 방배동 현대멤피스아파트 건물 186.53m² ,"1,000,000","32,000",0,"1,032,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 반포동 에이아이디차관아파트 건물 72.51m² 중 14.50m² (건물 지분면적21.76m² 감소) ,"472,000",0,"246,400","225,600",일부권리이전 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"63,530",0,"9,330","54,200",,,
,,,,,,,
본인 ,자동차 ,"2016년식 E250 배기량(2,143cc) ","49,950",0,"6,750","43,200",가액변동 
,,,,,,,
배우자 ,자동차 ,"2008년식 제네시스 배기량(3,342cc) ","13,580",0,"2,580","11,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,673,896","537,538","564,524","1,646,910",,,
,,,,,,,
본인 ,,"미래에셋생명보험 86,000, 미래에셋대우(주) 254,862(9,533 감소), 삼성생명보험 51,518(4,008 증가), 신한은행 63, 한국교직원공제회 170,224(11,563 감소), 삼성증권 27, 농협은행 16,575(2,356 증가), 국민은행 25,339(24,001 감소), (주)KEB하나은행 10, 한국투자증권 5, 스탠다드차타드은행 182,306(34,342 증가) ","791,320","222,851","227,242","786,929","급여 저축 및 연금소득, 생활비지출등 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 11, 한국교직원공제회 180,448(11,057 감소), 미래에셋대우(주) 244,420(21,273 감소), 스탠다드차타드은행 138,207(21,474 감소), 메리츠종금증권 1(1 증가), 삼성생명보험 211,079(16,999 증가), 한화손해보험 11,480(6,888 증가), 농협은행 73,917(7,321 증가), 우리은행 1, 한국투자증권 417 ","882,576","314,687","337,282","859,981",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"194,219","64,365",0,"258,584",,,
,,,,,,,
본인 ,,"농협은행 258,584(64,365 증가) ","194,219","64,365",0,"258,584",정치자금(후원금) 증가 
,,,,,,,
▶ 유가증권(소계) ,"4,250","207,550","3,500","208,300",,,
,,,,,,,
본인 ,비상장주식 ,주식회사바이오리플라 150주 ,750,0,0,750,"평가액변동, 비상장주식에서 상장주식으로 전환 "
,,,,,,,
배우자 ,상장주식 ,"비피도 7,000주(7,000주 증가) ",0,"207,550",0,"207,550",
,,,,,,,
배우자 ,비상장주식 ,"(주)비피도 0주(7,000주 감소) ","3,500",0,"3,500",0,
,,,,,,,
▶ 채권(소계) ,"238,000",0,"12,000","226,000",,,
,,,,,,,
배우자 ,,사인간채권 감소 ,"238,000",0,"12,000","226,000",일부 환수 
,,,,,,,
▶ 채무(소계) ,"122,556",0,"76,741","45,815",,,
,,,,,,,
본인 ,금융기관채무 ,"메르세데스벤츠파이낸셜서비스코리아(주) 1,815(10,741 감소) ","12,556",0,"10,741","1,815",일부 상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시서초구반포동 에이아이디차관아파트임대보증금감소 ,"110,000",0,"66,000","44,000",일부권리이전으로 전세보증금 감소 
,,,,,,,
▶ 회원권(소계) ,"587,000",0,0,"587,000",,,
,,,,,,,
본인 ,골프 ,블랙스톤리조트 ,"540,000",- ,- ,"540,000",가액변동없음 
,,,,,,,
본인 ,콘도미니엄 ,레이크힐스 골프텔 ,"20,000",- ,- ,"20,000",가액변동없음 
,,,,,,,
배우자 ,콘도미니엄 ,오크밸리 휴양 콘도미니엄 ,"27,000",- ,- ,"27,000",가액변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손녀1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"4,442,405","874,424","759,013","4,557,816","증 감 액 : 115,411천원 (가액변동: 55,641천원) ",,
,,,,,,,
