소속 ,국회 ,직위 ,국회의원 ,성명 ,최인호 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"633,000","25,000",0,"658,000",,,
,,,,,,,
본인 ,아파트 ,부산광역시 해운대구 반여동 아시아선수촌아파트 건물 84.80m² ,"280,000","8,000",0,"288,000",가액변동 
,,,,,,,
본인 ,아파트 ,부산광역시 사하구 하단동 가락타운2단지아파트 건물 138.56m² ,"223,000","17,000",0,"240,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,부산광역시 사하구 괴정동 희망빌딩 5층 건물 274.00m² ,"20,000",0,0,"20,000","지역사무실, 변동없음 "
,,,,,,,
배우자 ,아파트 전세(임차)권 ,부산광역시 사하구 하단동 대진아파트 건물 58.50m² ,"110,000",0,0,"110,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"41,890",0,"5,870","36,020",,,
,,,,,,,
본인 ,자동차 ,"2010년식 베라크루즈 배기량(2,956cc) ","16,790",0,"2,660","14,130",가액변동 
,,,,,,,
본인 ,자동차 ,"2008년식 체어맨W 배기량(3,598cc) ","13,220",0,"1,610","11,610",가액변동 
,,,,,,,
배우자 ,자동차 ,"2014년식 SM3 배기량(1,598cc) ","11,880",0,"1,600","10,280",가액변동 
,,,,,,,
▶ 예금(소계) ,"207,798","202,184","117,124","292,858",,,
,,,,,,,
본인 ,,"우리은행 11(102 감소), 부산은행 11, 농협은행 65,693(21,146 증가), 국민은행 26,534(20,594 증가), 승학신협 50, 교보생명보험 23,351(1,596 증가) ","72,416","46,038","2,804","115,650",급여저축 등 예금증가 
,,,,,,,
배우자 ,,"(주)KEB하나은행 6, 케이디비생명보험 1,566(140 증가), 국민은행 34, 디지비생명보험(주) 50,000(50,000 증가), 중소기업은행 53,525(64,320 감소), 농협중앙회 50,000(50,000 증가), 롯데손해보험 4,034(430 증가), AIA생명보험 6,305(578 증가), 농협은행 2,806(555 증가), 우리은행 15, 부산은행 8,917(4,443 증가) ","135,382","156,146","114,320","177,208",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"206,271","9,460",0,"215,731",,,
,,,,,,,
본인 ,,"농협은행 215,731(9,460 증가) ","206,271","9,460",0,"215,731",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"50,772","20,000","42,195","28,577",,,
,,,,,,,
본인 ,금융기관채무 ,"우리은행 0(36,988 감소), KB캐피탈 8,577(5,207 감소) ","50,772",0,"42,195","8,577",저축예금으로 상환 
,,,,,,,
본인 ,건물임대채무 ,부산광역시 해운대구 반여동 아시아선수촌아파트 임대보증금 증가 ,0,"20,000",0,"20,000",임대보증금 
,,,,,,,
총계 ,"1,038,187","216,644","80,799","1,174,032","증 감 액 : 135,845천원 (가액변동: 19,130천원) ",,
,,,,,,,
