소속 ,국회 ,직위 ,국회의원 ,성명 ,최재성 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"374,000","560,000","190,000","744,000",,,
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,서울특별시 송파구 삼전동 건물 157.04m² (건물 157.04m² 증가) ,- ,"30,000",0,"30,000",신규 전세권 
,,,,,,,
배우자 ,다세대주택 전세(임차)권 ,서울특별시 송파구 석촌동 건물 0.00m² (건물 44.72m² 감소) ,"20,000",0,"20,000",0,전세권 만료 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경기도 남양주시 화도읍 차산리 (신창현풍림아이원1차아파트) 건물 0.00m² (건물 132.36m² 감소) ,"120,000",0,"120,000",0,전세권 만료 
,,,,,,,
배우자 ,아파트 ,경기도 남양주시 평내동 (평내마을우남퍼스트빌) 건물 84.90m² ,"184,000",0,0,"184,000",
,,,,,,,
배우자 ,다세대주택 전세(임차)권 ,서울특별시 송파구 석촌동 건물 57.51m² (건물 57.51m² 증가) ,- ,"480,000",0,"480,000",신규 전세권 
,,,,,,,
장남 ,다세대주택 전세(임차)권 ,"서울특별시 마포구 성산동 건물 0.00m² 중 0.00m² (건물 총면적 39.66m² 감소, 지분면적 19.38m² 감소) ","50,000",0,"50,000",0,전세권 만료 
,,,,,,,
장남 ,연립주택 전세(임차)권 ,"서울특별시 마포구 성산동 건물 71.16m² 중 35.58m² (건물 총면적 71.16m² 증가, 지분면적 35.58m² 증가) ",- ,"50,000",0,"50,000",신규 전세권 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"14,950","33,651","2,230","46,371",,,
,,,,,,,
본인 ,자동차 ,"2016년식 올뉴카니발2.2 배기량(2,199cc) 증가 ",0,"33,651",0,"33,651",신규매입 
,,,,,,,
배우자 ,자동차 ,"2011년식 베라크루즈 배기량(3,000cc) ","14,950",0,"2,230","12,720",가액변동 
,,,,,,,
▶ 예금(소계) ,"204,944","40,996","99,471","146,469",,,
,,,,,,,
본인 ,,"삼성생명보험 6,084, 우리은행 5(5 증가), 성남수정 100, 농협은행 8,212(7,922 증가), 국민은행 283(93,529 감소) ","100,286","7,927","93,529","14,684",전세자금 지출 등 
,,,,,,,
배우자 ,,"새마을금고중앙회 공제사업부 13,103(303 증가), 국민은행 5,224(5,901 감소), 삼성화재해상보험 1,309(462 증가), 현대해상화재보험 782(70 증가), 메리츠화재해상보험 5,224(595 증가), 농협중앙회 6,145(1,133 증가), 삼성생명보험 13,392, 메트라이프생명보험 43,280(2,902 증가), 평내 60, 농협은행 9, 농협손해보험 4,450(350 증가), 우리은행 8,554(8,554 증가), 농협생명보험 6,800(600 증가) ","99,264","15,010","5,942","108,332",
,,,,,,,
장남 ,,"신한은행 44, 우체국 4, 평내 13, 국민은행 2,561(2,193 증가), (주)KEB하나은행 20,824(15,859 증가), 우리은행 7(7 증가) ","5,394","18,059",0,"23,453",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,0,"70,816",0,"70,816",,,
,,,,,,,
본인 ,,"농협은행 70,816(70,816 증가) ",0,"70,816",0,"70,816",정치자금계좌 추가 
,,,,,,,
▶ 채무(소계) ,"56,167","252,756","1,190","307,733",,,
,,,,,,,
본인 ,금융기관채무 ,"우리은행 32,756(32,756 증가), 농협은행 29,977(1,190 감소) ","31,167","32,756","1,190","62,733",전세자금 대출 등 
,,,,,,,
배우자 ,금융기관채무 ,"우리은행 220,000(220,000 증가) ",0,"220,000",0,"220,000",전세자금 대출 등 
,,,,,,,
배우자 ,건물임대채무 ,경기도 남양주시 평내동 (평내마을우남퍼스트빌) 임대보증금 ,"25,000",0,0,"25,000",
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"537,727","452,707","290,511","699,923","증 감 액 : 162,196천원 (가액변동: -2,230천원) ",,
,,,,,,,
