소속 ,국회 ,직위 ,국회의원 ,성명 ,추경호 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,405,000",0,0,"1,405,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 도곡동 래미안도곡카운티 건물 106.78m² 중 106.78m² ,"690,000",0,0,"690,000",가액변동 없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,대구광역시 달성군 화원읍 구라리 대곡역신동아파밀리에 건물 84.98m² ,"20,000",0,0,"20,000",변동 없음 
,,,,,,,
본인 ,상가 전세(임차)권 ,대구광역시 달성군 화원읍 명곡리 화원빌딩 5층 건물 187.76m² ,"5,000",0,0,"5,000",변동 없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 도곡동 래미안도곡카운티 건물 106.78m² 중 53.39m² ,"690,000",0,0,"690,000",가액변동 없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"7,180",0,"1,030","6,150",,,
,,,,,,,
본인 ,자동차 ,"2009년식 그랜저 배기량(2,700cc) ","7,180",0,"1,030","6,150",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,407,959","164,481","221,237","1,351,203",,,
,,,,,,,
본인 ,,"하나금융투자 433,250(6,146 증가), 농협은행 1,809(209 증가), 국민은행 111,176(8,806 감소) ","548,686","6,425","8,876","546,235",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"하나금융투자 469,023(87,835 감소), 미래에셋대우(주) 20,938(5,477 감소), KB생명보험 36,000, 국민은행 169,387(31,527 증가), KB증권 49(34 증가), 신한은행 109,571(7,446 증가) ","859,273","158,056","212,361","804,968",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"201,030",0,"13,784","187,246",,,
,,,,,,,
본인 ,,"농협은행 187,246(13,784 감소) ","201,030",0,"13,784","187,246",후원금 감소 
,,,,,,,
▶ 유가증권(소계) ,410,"78,646",0,"79,056",,,
,,,,,,,
배우자 ,상장주식 ,"쌍용정보통신 6주(6주 증가), 쌍용양회 110주(88주 증가) ",410,289,0,699,평가액변동및회사채매입 
,,,,,,,
배우자 ,회사채 ,"브라질국채 272,000주(272,000주 증가) ",0,"78,357",0,"78,357",
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"291,023",0,"291,023",0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
장녀 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차녀 ,,고지거부 ,"291,023",0,"291,023",0,독립생계유지 
,,,,,,,
총계 ,"3,312,602","243,127","527,074","3,028,655","증 감 액 : -283,947천원 (가액변동: -1,030천원) ",,
,,,,,,,
