소속 ,국회 ,직위 ,국회의원 ,성명 ,추미애 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,176,652","55,357",0,"1,232,009",,,
,,,,,,,
본인 ,아파트 ,서울특별시 광진구 구의3동 현대프라임아파트 건물 183.87m² ,"729,000","33,000",0,"762,000",가액변동 
,,,,,,,
본인 ,오피스텔 ,서울특별시 영등포구 여의도동 엘지에클라트오피스텔 대지 9.08m² 건물 55.04m² ,"153,652","6,357",0,"160,009",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 광진구 자양1동 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,소재지 오기정정으로 인한 변경처리 
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 광진구 자양동 서원빌딩 건물 151.00m² ,"30,000",0,0,"30,000",소재지 오기정정(변경전: 서울특별시 광진구 자양1동 ) 
,,,,,,,
시모 ,아파트 ,서울특별시 도봉구 방학동 이에스에이아파트 건물 84.87m² ,"264,000","16,000",0,"280,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"44,210","3,200","12,930","34,480",,,
,,,,,,,
본인 ,자동차 ,"2004년식 그랜저XG 배기량(3,497cc) 감소 ","3,110",0,"3,110",0,차량 폐차 
,,,,,,,
본인 ,자동차 ,"2017년식 카니발 리무진 배기량(3,300cc) ","37,900",0,"6,620","31,280",가액변동 
,,,,,,,
장녀 ,자동차 ,"2011년식 벨로스터 배기량(1,600cc) 감소 ","3,200",0,"3,200",0,차량 모델명 오기정정으로 인한 변경처리 
,,,,,,,
장녀 ,자동차 ,"2012년식 벨로스터 배기량(1,600cc) 증가 ",0,"3,200",0,"3,200",차량 모델명 오기정정 (변경전: 2011년식 벨로스터) 
,,,,,,,
▶ 예금(소계) ,"235,733","137,540","129,139","244,134",,,
,,,,,,,
본인 ,,"우리은행 276(1 증가), 신한은행 8,828(40,955 감소), 농협은행 112,375(39,660 증가), 구의동 11,961(5,834 증가), 씨티은행 1,245(48 감소), 구의동 16, 국민은행 4, 라이나생명보험 1,489(177 증가) ","131,525","101,151","96,482","136,194","급여, 저축 증가, 생활비 지출 "
,,,,,,,
배우자 ,,"국민은행 333, 신한은행 27,035(4,653 증가), 농협중앙회 19(11 증가), 농협은행 2 ","22,725","7,216","2,552","27,389",
,,,,,,,
시모 ,,"국민은행 567(355 증가), 중소기업은행 0(50 감소), 삼성생명 보험 0(1,422 감소), 씨티은행 4, 신한은행 76(2 증가), 한화투자증권 22, 우리은행 12,089(12,003 증가), 우체국 3, 농협중앙회 33(29 증가) ","1,877","12,411","1,494","12,794",
,,,,,,,
장녀 ,,"중소기업은행 4,487(3,666 증가), 메리츠종금증권 67(67 증가), 현대라이프생명보험 3,720(900 증가), 씨티은행 3, 케이뱅크 185(185 증가), 신한은행 60(2,940 감소), 미래에셋생명보험 0(146 감소) ","6,790","5,699","3,967","8,522",
,,,,,,,
차녀 ,,"미래에셋대우(주) 21,895(5,273 감소), 신한은행 12,044(1,157 증가), 우리은행 79(49 증가), 농협은행 1,104(7,097 감소) ","46,286","5,274","16,438","35,122",
,,,,,,,
장남 ,,"신한은행 6,025(1,721 증가), 국민은행 1(4 감소), 미래에셋대우(주) 18,087(4,134 감소) ","26,530","5,789","8,206","24,113",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"224,936","69,200",0,"294,136",,,
,,,,,,,
본인 ,,"농협중앙회 294,136(69,200 증가) ","224,936","69,200",0,"294,136",정치자금 증가액 
,,,,,,,
▶ 채권(소계) ,"40,500",0,"30,000","10,500",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"40,500",0,"30,000","10,500",채권액 일부환수 
,,,,,,,
▶ 채무(소계) ,"329,577","155,644","134,482","350,739",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 영등포구 여의도동 엘지에클라트오피스텔 임대보증금 ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"신한은행 150,000(56,724 감소) ","206,724",0,"56,724","150,000",급여등으로일부상환 
,,,,,,,
시모 ,금융기관채무 ,"삼성생명보험 0(960 감소), 신한은행 165,339(78,846 증가) ","87,453","155,644","77,758","165,339",생활비사용등을위한채무증가 
,,,,,,,
장녀 ,금융기관채무 ,"신한은행 15,400 ","15,400",0,0,"15,400",변동없음 
,,,,,,,
총계 ,"1,392,454","109,653","37,587","1,464,520","증감액:72,066천원 (가액변동: 48,737천원) ",,
,,,,,,,
