소속 ,국회 ,직위 ,국회의원 ,성명 ,추혜선 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"5,236",476,0,"5,712",,,
,,,,,,,
모 ,전 ,전라남도 완도군 완도읍 군내리 40번지 476.00m² ,"5,236",476,0,"5,712",가액변동 
,,,,,,,
▶ 건물(소계) ,"519,000","1,000",0,"520,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 안양시 동안구 호계동 호계2차 현대홈타운 건물 115.08m² ,"400,000",0,0,"400,000",변동없음 
,,,,,,,
모 ,아파트 ,광주광역시 남구 진월동 대주1차아파트 건물 84.41m² ,"119,000","1,000",0,"120,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"38,040",0,"2,029","36,011",,,
,,,,,,,
배우자 ,자동차 ,"2016년식 모하비 디젤 2wo vip 배기량(3,000cc) 감소 ",0,- ,- ,0,권리명세 수정 
,,,,,,,
배우자 ,자동차 ,"2016년식 모하비 디젤2WD VIP 배기량(3,000cc) ","38,040",0,"2,029","36,011",가액변동 
,,,,,,,
▶ 예금(소계) ,"137,289","63,000","52,601","147,688",,,
,,,,,,,
본인 ,,"삼성생명보험 8,633(453 증가), 한화손해보험 11,980(1,259 증가), 우체국 1,860, 농협은행 15,188(12,269 감소), 흥국 화재해상보험(주) 22,147(2,240 증가), (주)KEB하나은행 7 ","68,132","3,952","12,269","59,815",봉급저축. 저축이자 
,,,,,,,
배우자 ,,"수협은행 0(3 감소), 국민은행 11(107 감소), 에이아이지손해 보험(주) 1,148(246 증가), 신한은행 1,782(4,098 감소), 중소기업은행 1,531(8,113 감소), 우체국 4,427(437 증가), 우리은행 20, 악사(AXA)손해보험 1,092(168 증가) ","21,481",851,"12,321","10,011",
,,,,,,,
부 ,,"수협중앙회 4, 국민은행 802(1,764 감소) ","2,570",0,"1,764",806,
,,,,,,,
모 ,,"광주은행 345(2,002 감소), 국민은행 59,590(32,328 증가), 에이 아이지손해보험(주) 927(156 증가), 우체국 6,469(405 증가) ","36,444","52,889","22,002","67,331",
,,,,,,,
장녀 ,,"수협중앙회 4,184(4 증가), 국민은행 899(606 증가) ","4,473","4,790","4,180","5,083",
,,,,,,,
차녀 ,,"국민은행 11(50 감소), 우체국 4,619(507 증가), 한국카카오은행(주) 11(11 증가), 성남제일 1(15 감소) ","4,189",518,65,"4,642",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"98,327",0,"20,814","77,513",,,
,,,,,,,
본인 ,,"농협은행 77,513(20,814 감소) ","98,327",0,"20,814","77,513",정치후원금모금 및정치활동지출 
,,,,,,,
▶ 채무(소계) ,"412,388",0,"36,771","375,617",,,
,,,,,,,
본인 ,금융기관채무 ,"삼성생명보험 2,010, 농협은행 356,909(24,943 감소) ","383,862",0,"24,943","358,919",봉급으로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"KB캐피탈 16,698(11,828 감소) ","28,526",0,"11,828","16,698",봉급으로 상환 
,,,,,,,
총계 ,"385,504","64,476","38,673","411,307","증감액:25,803천원 (가액변동: -553천원) ",,
,,,,,,,
