소속 ,국회 ,직위 ,국회의원 ,성명 ,표창원 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"286,000",0,0,"286,000",,,
,,,,,,,
본인 ,상가 전세(임차)권 ,경기도 용인시 기흥구 보정동 메트로프라자 8층 건물 183.54m² ,"30,000",0,0,"30,000",변동 없음 
,,,,,,,
배우자 ,아파트 ,경기도 용인시 기흥구 언남동 하마비마을 동일하이빌2차 아파트 건물 142.14m² ,"256,000",0,0,"256,000",가액변동 없음 
,,,,,,,
▶ 예금(소계) ,"182,949","35,991","21,410","197,530",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 55,828(3,366 증가), 신한은행 5, 우리은행 3, 농협은행 11,018(12,431 감소), 국민은행 14,449(3,901 감소), 한화생명보험 0(4,128 감소), 농협중앙회 57, (주)KEB하나은행 5,102(783 감소), 삼성화재해상보험 6,222(1,119 증가) ","109,442","4,510","21,268","92,684",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"국민은행 39,494(26,571 증가), 삼성화재해상보험 8,466(1,535 증가), 푸르덴셜생명보험 48,563(3,308 증가), 농협중앙회 141, 삼성생명보험 5,244 ","70,494","31,414",0,"101,908",
,,,,,,,
차남 ,,"국민은행 1,724(2 증가) ","1,722",2,0,"1,724",
,,,,,,,
장녀 ,,"국민은행 1,150(141 감소), 한국카카오은행(주) 64(64 증가) ","1,291",65,142,"1,214",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"84,493",0,"15,541","68,952",,,
,,,,,,,
본인 ,,"농협은행 68,952(15,541 감소) ","84,493",0,"15,541","68,952",후원금 감소 
,,,,,,,
▶ 유가증권(소계) ,"10,000","10,000","10,000","10,000",,,
,,,,,,,
본인 ,비상장주식 ,"(주)표창원범죄과학연구소 0주(2,000주 감소) ","10,000",0,"10,000",0,명의 이전 
,,,,,,,
배우자 ,비상장주식 ,"(주)표창원범죄과학연구소 2,000주(2,000주 증가) ",0,"10,000",0,"10,000",
,,,,,,,
▶ 채권(소계) ,"12,000","20,000","12,000","20,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,"12,000","20,000","12,000","20,000",전액환수및신규채권 
,,,,,,,
▶ 채무(소계) ,"25,552",0,"5,867","19,685",,,
,,,,,,,
본인 ,금융기관채무 ,"삼성카드 19,685(5,867 감소) ","25,552",0,"5,867","19,685",일부 상환 
,,,,,,,
▶ 지식재산권 ,,,,,,,
,,,,,,,
본인 ,저작재산권 ,다수를 위한 소수의 희생은 정당한가? (철수와 영희) (소득금액: 856천원) ,- ,- ,- ,- ,추가 신고 
,,,,,,,
본인 ,저작재산권 ,셜록의 사건일지(문학수첩) (소득금액: 176천원) ,- ,- ,- ,- ,추가 신고 
,,,,,,,
본인 ,저작재산권 ,"왜 나는 범죄를 공부하는가 (다산북스) (소득금액: 1,103천원) ",- ,- ,- ,- ,추가 신고 
,,,,,,,
본인 ,저작재산권 ,공범들의 도시 (김영사) (소득금액: 385천원) ,- ,- ,- ,- ,추가 신고 
,,,,,,,
본인 ,저작재산권 ,숨겨진심리학(토네이도미디어그룹주식회사) (소득금액: 204천원) ,- ,- ,- ,- ,추가 신고 
,,,,,,,
본인 ,저작재산권 ,"표창원의 사건추적 (넥서스) (소득금액: 5,491천원) ",- ,- ,- ,- ,추가 신고 
,,,,,,,
본인 ,저작재산권 ,"정의의 적들, 새로고침 (한겨레출판주식회사) (소득금액: 46천원) ",- ,- ,- ,- ,추가 신고 
,,,,,,,
본인 ,저작재산권 ,"한국의 연쇄살인 (알에이치코리아) (소득금액: 2,308천원) ",- ,- ,- ,- ,추가 신고 
,,,,,,,
본인 ,저작재산권 ,"한국의 CSI (비즈니스북스) (소득금액: 1,846천원) ",- ,- ,- ,- ,추가 신고 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"549,890","65,991","53,084","562,797","증감액:12,907천원 ",,
,,,,,,,
