소속 ,국회 ,직위 ,국회의원 ,성명 ,하태경 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"7,935",801,0,"8,736",,,
,,,,,,,
본인 ,임야 ,"경상북도 상주시 모서면 호음리 615번지 2,688.00m² ","3,682",296,0,"3,978",가액 변동 
,,,,,,,
본인 ,전 ,경상북도 상주시 모서면 호음리 615번지 721.00m² ,"4,253",505,0,"4,758",가액 변동 
,,,,,,,
▶ 건물(소계) ,"945,846","552,170","318,102","1,179,914",,,
,,,,,,,
본인 ,아파트 ,경기도 안양시 만안구 안양동 삼성래미안아파트 건물 79.32m² ,"284,000","22,000",0,"306,000",가액 변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,대전광역시 서구 둔산동 가람아파트 건물 164.52m² ,"310,000",0,0,"310,000",변동 없음 
,,,,,,,
배우자 ,상가 (분양권) ,"세종특별자치시 대평동 3-1생활권 C3-3BL 아마존타워 대지 0.00m² 중 0.00m²건물 0.00m² 중 0.00m² (대지 지분면적 12.23m² 감소, 건물 지분면적 68.95m² 감소) ","318,102",0,"318,102",0,소유권 전환 
,,,,,,,
배우자 ,상가 ,"세종특별자치시 대평동 3-1생활권 C3-3BL 아마존타워 대지 1,000.00m² 중 12.23m² 건물 1,000.00m² 중 68.95m² (대지 지분면적 12.23m² 증가, 건물 지분면적 68.95m² 증가) ",- ,"530,170",0,"530,170",소유권 전환 
,,,,"-530,170",,,
,,,,,,,
모 ,상가 ,부산광역시 해운대구 반송동 건물 16.59m² ,"33,744",0,0,"33,744",변동 없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"19,500",0,"6,300","13,200",,,
,,,,,,,
본인 ,자동차 ,"2012년식 그랜저 배기량(2,999cc) ","14,500",0,"1,300","13,200",가액 변동 
,,,,,,,
배우자 ,자동차 ,"2006년식 카니발 배기량(2,902cc) 감소 ","5,000",0,"5,000",0,매매 
,,,,,"-3,000",,
,,,,,,,
▶ 예금(소계) ,"333,259","134,573","158,498","309,334",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 113(56 증가), 부산은행 108, 삼성생명보험 32,700(3,600 증가), 우리은행 210(1 증가), (주)KB손해보험 12,936, 농협은행 4,155(12,289 감소), 국민은행 521(1 증가), SK증권 297 ","59,671","4,111","12,742","51,040",생활비등지출 
,,,,,,,
배우자 ,,"한국교직원공제회 64,921(6,977 증가), (주)KEB하나은행 5, 국민은행 7, 삼성생명보험 15,804, 신한은행 2,087(30,463 감소), 롯데손해보험 2,625(730 증가), 우리은행 1(186 감소), 신한생명보험 13,250(3,100 증가), 농협은행 213(107 증가), 미래에셋생명보험 27,756(2,400 증가) ","144,004","13,421","30,756","126,669",
,,,,,,,
모 ,,"반송1.3동 37(1 증가), 농협중앙회 119,508(1,968 증가), 해운대신협 36(1 증가), 삼성생명보험 7,515 ","125,126","116,970","115,000","127,096",
,,,,,,,
장남 ,,"대전중부 1(1 증가), 국민은행 1,903(2 증가), (주)KEB하나은행 2 ","1,903",3,0,"1,906",
,,,,,,,
장녀 ,,"국민은행 1,177(61 증가), (주)KEB하나은행 6(6 증가) ","1,116",67,0,"1,183",
,,,,,,,
차남 ,,"국민은행 1,440(1 증가) ","1,439",1,0,"1,440",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"133,766","24,267",0,"158,033",,,
,,,,,,,
본인 ,,"우체국 1, 농협중앙회 158,032(24,267 증가) ","133,766","24,267",0,"158,033",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"14,560","2,618","14,560","2,618",,,
,,,,,,,
본인 ,상장주식 ,"토필드 0주(352주 감소), CJ E&M 0주(143주 감소), 에스케이텔링크 0주(1주 감소), CJ ENM 14주(14주 증가) ","14,560","2,618","14,560","2,618",매도 
,,,,,,,
▶ 채권(소계) ,"30,000",0,0,"30,000",,,
,,,,,,,
본인 ,,사인간채권 ,"30,000",0,0,"30,000",변동 없음 
,,,,,,,
▶ 채무(소계) ,"583,818","446,331","212,068","818,081",,,
,,,,,,,
본인 ,건물임대채무 ,경기도 안양시 만안구 안양동 삼성래미안아파트 임대보증금 ,"350,000",0,0,"350,000",변동 없음 
,,,,,,,
배우자 ,,사인간채무 ,"20,000",0,0,"20,000",변동 없음 
,,,,,,,
배우자 ,금융기관채무 ,"한국교직원공제회 35,000(35,000 증가), 신한은행 26,831(26,831 증가), 상호저축은행중앙회 0(212,068 감소), 농협은행 330,000(330,000 증가) ","212,068","391,831","212,068","391,831",부동산구입위해대출 
,,,,,,,
배우자 ,기타 ,사학연금 증가 ,0,"54,500",0,"54,500",부동산구입위해대출 
,,,,,,,
모 ,금융기관채무 ,"삼성생명보험 1,750 ","1,750",0,0,"1,750",변동 없음 
,,,,,,,
총계 ,"901,048","268,098","285,392","883,754","증 감 액 : -17,294천원 (가액변동: 21,501천원) ",,
,,,,,,,
